Question,Option A,Option B,Option C,Option D,Correct Answer,Points
Who was the first Chairman of the Legislative Council of Uttar Pradesh?,Justice Vishambar Dayal,Satish Mahana,Rajarshi Purushottam Das Tandon,Chandrabhaal,d,1
Who served as Chief Minister of Uttar Pradesh for the shortest duration?,Yogi Adityanath,Ms. Mayawati,Akhilesh Yadav,Jagdambika Pal,d,1
What is the total number of Lok Sabha seats in Uttar Pradesh?,31,100,403,80,d,1
What is the current membership of the Legislative Council in Uttar Pradesh?,31,80,100,403,c,1
What is the current number of seats in the Legislative Assembly of Uttar Pradesh?,80,100,425,403,d,1
Which district in Uttar Pradesh has the maximum number of assembly seats?,Mahoba,Shravasti,Prayagraj,Lalitpur,c,1
Which of the following districts have the least number of assembly seats?,Lucknow/Kanpur,Varanasi/Allahabad,Mahoba/Shravasti/Chitrakoot/Hamirpur/Lalitpur,Ghaziabad/Noida,c,1
For how long did Jagdambika Pal serve as the Chief Minister of Uttar Pradesh?,31 days,31 months,31 hours,31 years,c,1
How many Lok Sabha seats are there in Uttar Pradesh?,31,100,80,403,c,1
Identify the INCORRECT statement regarding Ms. Mayawati:,She served as Chief Minister for maximum times.,She was the first Dalit Chief Minister.,She served as Governor.,She served as Chief Minister for maximum times,c,1
Which of the following is the largest parliamentary constituency in Uttar Pradesh in terms of the number of voters?,Lucknow,Kanpur,Allahabad,Ghaziabad,d,1
In which year was the Allahabad High Court established?,1862,1864,1866,1868,c,1
Who was the first Chief Justice of the Allahabad High Court?,John Edge,Robert Stuart,Walter Morgan,Alfred Wills,c,1
Where is the division bench of the Allahabad High Court located?,Prayagraj,Varanasi,Lucknow,Meerut,c,1
In which year was the Family Court established in Uttar Pradesh?,1980,1982,1984,1986,c,1
In how many districts of Uttar Pradesh are Commercial Courts constituted?,10,12,13,15,c,1
What is the sanctioned strength of judges in the Allahabad High Court?,120,140,150,160,d,1
In which year was the post of Lokayukta created in Uttar Pradesh?,1972,1975,1977,1980,b,1
"Until the year 2012, what was the tenure of the Lokayukta in Uttar Pradesh?",5 years,6 years,7 years,8 years,d,1
"As of February 2024, what is the revised tenure of the Lokayukta in Uttar Pradesh?",6 years or till the age of 65 years,5 years or till the age of 70 years,7 years or till the age of 72 years,8 years or till the age of 75 years,b,1
To whom does the Lokayukta submit his resignation?,Chief Minister,Chief Justice of Allahabad High Court,Governor,Speaker of the Legislative Assembly,c,1
Who is the present (7th) Lokayukta of Uttar Pradesh?,Justice Virendra Singh,Justice N. K. Mehrotra,Justice Sanjay Mishra,Justice Vishwambhar Dayal,c,1
Which Lokayukta has had the longest tenure in Uttar Pradesh (3607 days)?,Justice Vishwambhar Dayal,Justice Sanjay Mishra,Justice N. K. Mehrotra,Justice Virendra Singh,c,1
In how many phases were the 18th Uttar Pradesh Assembly elections held?,5 phases,6 phases,7 phases,8 phases,c,1
How many seats did the Bharatiya Janata Party win in the 18th Uttar Pradesh Assembly elections?,202 seats,225 seats,255 seats,273 seats,c,1
How many women candidates were elected in the 18th Uttar Pradesh Assembly?,52,42,47,57,c,1
On what date did Yogi Adityanath take oath as Chief Minister of Uttar Pradesh?,20-Mar-22,15-Mar-22,30-Mar-22,25-Mar-22,d,1
How many times has President's rule (Article 356) been imposed in Uttar Pradesh so far?,8 times,12 times,10 times,6 times,c,1
During which period was the last instance of President's rule imposed in Uttar Pradesh?,"March 8, 2002 to May 3, 2002","February 25, 1968 to March 10, 1969","March 10, 2002 to May 5, 2002","February 20, 1968 to April 30, 1969",a,1
Which Constitutional Amendment granted constitutional status to Panchayati Raj?,72nd Constitutional Amendment 1992,75th Constitutional Amendment 1993,73rd Constitutional Amendment 1992,74th Constitutional Amendment 1993,c,1
Which Constitutional Amendment conferred constitutional status upon municipal bodies?,72nd Constitutional Amendment 1992,73rd Constitutional Amendment 1992,74th Constitutional Amendment 1992,75th Constitutional Amendment 1993,c,1
In which year was the Uttar Pradesh Panchayat Law passed?,1952,1942,1947,1957,c,1
From what date did the Uttar Pradesh Panchayat Law (Amendment) Bill 1994 come into force in the state?,12-Apr-94,22-Apr-94,2-May-94,12-May-94,b,1
How is the head of the Gram Panchayat elected?,Indirectly (by the public),Indirectly,Directly (by the public),Directly,c,1
How is the Block Chief of the Area Panchayat elected?,Directly (by the public),Directly,Indirectly (by the public),Indirectly,d,1
What is the approximate population range for the formation of a Nagar Panchayat?,"5,000 - 25,000","10,000 - 50,000","15,000 - 100,000","20,000 - 75,000",c,1
What should be the approximate population for the formation of a Municipal Corporation?,1 lakh or more,3 lakh or more,5 lakh or more,10 lakh or more,c,1
How many districts of Uttar Pradesh are included in the National Capital Region (NCR)?,Six districts,Seven districts,Nine districts,Eight districts,d,1
Which of the following districts of Uttar Pradesh are proposed to be included in the NCR?,"Mathura, Aligarh, Hathras, Saharanpur, Bijnor","Lucknow, Kanpur, Varanasi, Allahabad","Agra, Firozabad, Mainpuri, Etah","Bareilly, Moradabad, Rampur, Pilibhit",a,1
Which of the following is NOT considered a planned city of Uttar Pradesh?,Noida,Greater Noida,Lucknow,New Kanpur City,c,1
"Which of the following is NOT one of the largest divisions of Uttar Pradesh, each having 6 districts?",Kanpur,Lucknow,Meerut,Saharanpur,d,1
In which year was the Uttar Pradesh Information Commission established?,2002,2014,2005,1994,c,1
What is the tenure of the Information Commissioner of Uttar Pradesh?,5 years or till the age of 62 years,6 years or till the age of 65 years,3 years or till the age of 60 years,3 years or till the age of 65 years,d,1
Who was the first Chief Information Commissioner of Uttar Pradesh?,Raj Kumar Vishwakarma,A. P. Mishra,Babita Chauhan,M.A. Khan,d,1
When was the Uttar Pradesh Human Rights Commission formed?,23-Apr-94,7-Oct-02,14-Sep-05,9-Mar-93,b,1
Who was the first chairman of the Uttar Pradesh Human Rights Commission?,Babita Chauhan,M.A. Khan,Raj Kumar Vishwakarma,Justice A. P. Mishra,d,1
What is the tenure of the Chairman of the Human Rights Commission of Uttar Pradesh?,5 years or till the age of 65 years,6 years or till the age of 70 years,3 years or till the age of 70 years,3 years or till the age of 60 years,c,1
In which year was the Uttar Pradesh State Women's Commission formed?,1993,1994,2002,2005,c,1
Who is the current chairperson of the Uttar Pradesh Women's Commission?,Justice A. P. Mishra,M.A. Khan,Raj Kumar Vishwakarma,Babita Chauhan,d,1
When was the Uttar Pradesh State Election Commission formed?,9-Mar-93,23-Apr-94,7-Oct-02,14-Sep-05,b,1
Where is the headquarters of the Uttar Pradesh State Election Commission located?,Prayagraj,Ghaziabad,"Lalkuan, Lucknow",Varanasi,c,1
Under which Act was the Uttar Pradesh Special Security Force (UPSSF) formed?,Uttar Pradesh Police Act - 2010,Uttar Pradesh Security Act - 2015,Uttar Pradesh Special Security Force Act - 2020,Uttar Pradesh Security Force Act - 2000,c,1
When was the NRI Department (for Non-Resident Indians) formed in Uttar Pradesh?,9-Mar-93,23-Apr-94,7-Oct-02,18-Jul-14,d,1
When was the Uttar Pradesh Public Service Commission (UPPSC) established?,1-Apr-37,9-Mar-93,23-Apr-94,18-Jul-14,a,1
Where is the headquarters of the Uttar Pradesh Public Service Commission (UPPSC) located?,Lucknow,Kanpur,Prayagraj,Ghaziabad,c,1
Where is the headquarters of Uttar Pradesh Subordinate Services?,Prayagraj,Kanpur,Lucknow,Ghaziabad,c,1
In which of the following cities is the Police Commissioner system NOT applicable in Uttar Pradesh?,Lucknow,Gautam Buddha Nagar,Allahabad,Ghaziabad,c,1
In which city is the headquarters of the Uttar Pradesh Education Service Commission located?,Kanpur,Lucknow,Prayagraj,Varanasi,c,1
When was the Uttar Pradesh State Tourism Development Corporation (UPSTDC) established?,28-Sep-06,"April, 1983",20-Sep-74,1976,c,1
In which year was the Uttar Pradesh State Biodiversity Board established?,20-Sep-74,28-Sep-06,"April, 1983",1976,b,1
The Uttar Pradesh New and Renewable Energy Development Agency (UPNEDA) was established in which year?,2003,1974,1983,2000,c,1
What year was the Uttar Pradesh State Road Transport Corporation (UPSRTC) established?,1975,1976,2003,1961,b,1
Where is the headquarters of the Uttar Pradesh State Road Transport Corporation (UPSRTC) located?,Lucknow,Prayagraj,Kanpur,Varanasi,c,1
When was the Uttar Pradesh Rural Road Development Authority (UPRRDA) established?,2000,1975,2003,2007,c,1
In which city is the headquarters of the Uttar Pradesh Rural Road Development Authority (UPRRDA) located?,Prayagraj,Kanpur,Lucknow,Varanasi,c,1
In what year was the Uttar Pradesh Power Corporation Limited (UPPCL) established?,1985,2007,1974,2000,d,1
The headquarters of the Uttar Pradesh State Industrial Development Corporation (UPSIDC) is located in which city?,Lucknow,Prayagraj,Kanpur,Varanasi,c,1
When was Uttar Pradesh Jal Nigam established?,1961,1974,1975,2000,c,1
Uttar Pradesh Industrial Development Authority (UPSIDA) was established in which year?,1961,1974,1975,1985,a,1
In what year was the Uttar Pradesh Expressway Development Authority (UPEIDA) established?,2000,2003,2007,2010,c,1
Which of the following is the most produced grain in Uttar Pradesh?,Rice,Wheat,Barley,Maize,b,1
How many districts of Uttar Pradesh are located in the 'Bundelkhand' region?,5,6,7,8,c,1
On which date was Value Added Tax (VAT) implemented in Uttar Pradesh?,1-Jan-07,1-Jan-08,1-Jan-09,1-Jan-10,b,1
In which year was the Zamindari Abolition and Land Reforms Act implemented in Uttar Pradesh?,1950,1951,1952,1953,c,1
When was the 'Right to Free and Compulsory Education Act' implemented in Uttar Pradesh?,2008,2009,2010,2011,c,1
In which year was the Public Service Tribunal established?,1974,1975,1976,1977,c,1
"In what year did the Land Acquisition, Rehabilitation and Resettlement Act occur?",2010,2011,2012,2013,d,1
The Uttar Pradesh Education Service Commission was established on which date?,1-Aug-23,20-Sep-74,28-Sep-06,"April, 1983",a,1
In which year did the Real Estate (Regulation and Development) Act come into force?,2018,2017,2016,2015,c,1
Which of the following is NOT a main crop of the Western Plain Zone?,Sugarcane,Wheat,Rice,Gram,d,1
Which of the following is a main crop of the Bundelkhand Zone?,Sugarcane,Barley,Rice,Maize,c,1
The Bhabar and Terai region is formed from which rock group?,Bundelkhand Gneiss,Tertiary,Quaternary,Vindhyan,c,1
Ganga-Yamuna plain began in which period?,Archaic,Tertiary,Pleistocene,Quaternary,c,1
From which rock group were the Shivalik ranges formed?,Vindhyan Rock Group,Bundelkhand Gneiss,Quaternary Formation,Tertiary Formation,d,1
Bundelkhand Gneiss is formed from which rocks?,Sedimentary rocks,Metamorphic rocks,Ancient rocks of the Archaic period,Volcanic rocks,c,1
Which minerals are found in the Vindhyan rock group?,Coal and petroleum,Gold and silver,Limestone and dolomite,Iron and manganese,c,1
The Bhabar region is a narrow strip of what?,North of the Shivaliks,South of the Vindhyas,South of the Shivaliks,North of the Himalayas,c,1
What is the approximate maximum width of the Bhabar region?,2-4 km,20-30 km,8-16 km,40-50 km,c,1
From where to where does the Bhabar region extend?,Saharanpur to Prayagraj,Lucknow to Varanasi,Saharanpur to Kushinagar,Kanpur to Gorakhpur,c,1
What shapes do the rivers make in the Bhabar region?,Delta and Estuary,Oxbow lake and Meander,Alluvial fan and alluvial cone,Waterfall and Canyon,c,1
What effect does the width of Bhabar have on moving from west to east?,The width increases,The width remains constant,The width decreases,The width fluctuates,c,1
What are the main crops of the Bundelkhand Zone?,"Rice, wheat, and sugarcane","Wheat, gram, rice, and sorghum","Rice, sugarcane, and sorghum","Wheat, sugarcane, and gram",b,1
The Vindhyan Rock Group is formed by?,Bundelkhand Gneiss,Quaternary Rocks,Tertiary Formation,Vindhyan Rock Group,d,1
Why does the water of rivers go underground in the Bhabar region?,Due to sandy soil,Due to clayey soil,Due to rocky soil,Due to alluvial soil,c,1
Which rock group forms Bundelkhand Nisme?,Quaternary Rock Group,Tertiary Rock Group,Vindhyan Rock Group,Bundelkhand Gneiss Rock Group,c,1
The Bhabar region is a narrow strip located in which direction relative to the Shivaliks?,North,South,East,West,b,1
The Bhabar region extends from which location to which location?,Lucknow to Allahabad,Kanpur to Varanasi,Saharanpur to Kushinagar,Agra to Mathura,c,1
What happens to the width of the Bhabar region as one moves from west to east?,The width increases,The width decreases,The width remains constant,The width fluctuates randomly,b,1
The flat area with fine sediments to the south of the Bhavar is called?,Bhangar,Khadar,Lowland area,Delta,c,1
What is the average width of the Terai region?,10-20 km (up to 70-80 km in the east),20-40 km (up to 90-100 km in the east),15-30 km (up to 80-90 km in the east),25-35 km (up to 100-110 km in the east),c,1
Which of the following crops are most cultivated in the Terai region?,Wheat and Barley,Paddy and Sugarcane,Maize and Jowar,Cotton and Jute,b,1
Which river defines the western boundary of the Ganga-Yamuna plain area?,Gandak River,Ghaghara River,Yamuna River,Ganga River,c,1
By what other name is the Khadar region known?,Bangar area,Old alluvial area,Alluvial area,Plateau area,c,1
Which region's rivers are particularly known for the formation of ravines?,Bangar region,Terai region,Khadar region,Bundelkhand plateau,c,1
Which area in India is most affected by gully erosion?,Terai Region,"Chambal Valley region (Etawah, Agra)",Bundelkhand Plateau,Doab Region,b,1
What is the average height of the Bundelkhand plateau?,100 meters,200 meters,300 meters,400 meters,c,1
"Match the following regions with their soil types:

Column I
(Region)
A. Bangar
B. Khadar

Column II
(Soil Type)
1. New alluvial soil
2. Old alluvial soil","A-1, B-2","A-2, B-1","A-1, B-3","A-3, B-2",b,1
What type of soil is deposited in the Bangar region?,New alluvial soil,Red soil,Old alluvial soil,Black soil,c,1
Which rocks form the Bundelkhand plateau?,Granite rocks,Sandstone rocks,Gneiss rocks,Limestone rocks,c,1
Which of the following statements is INCORRECT regarding the Terai region?,Its width increases from west to east.,It is characterized by marshy soil.,Paddy and sugarcane are major crops cultivated there.,It is primarily composed of old alluvial soil.,d,1
The Khadar region is primarily composed of which type of soil?,Old alluvial soil,Gneiss rocks,New alluvial soil,Marshy soil,c,1
Which type of erosion is responsible for the formation of ravines in the Khadar region?,Sheet erosion,Wind erosion,Gully erosion,Wave erosion,c,1
Which of the following rivers is NOT mentioned as a major river of the southern plateau region?,Chambal,Sindh,Betwa,Yamuna,d,1
What is the distinguishing feature of the Bangar area?,Presence of new alluvial soil,Presence of marshy soil,High areas where floodwaters do not reach,Area near the Nepal border,c,1
What type of soil is primarily found in the Bangar region?,New alluvial soil,Marshy soil,Old alluvial soil,Gneiss rocks,c,1
"Which area is considered more fertile, Bangar or Khadar?",Bangar region,Both are equally fertile,Khadar region,Neither is fertile,c,1
Identify the INCORRECT statement regarding the Terai region:,The soil is harmful for health due to marshy soil.,Paddy and sugarcane are cultivated the most.,Its width decreases from west to east.,The rivers reappear in this region.,c,1
"According to the text, what are the primary crops cultivated in the Bundelkhand region?","Rice, maize, and barley","Jowar, gram, and wheat","Sugarcane, cotton, and jute","Tea, coffee, and rubber",b,1
What type of grass is specifically mentioned as being found in the Bundelkhand region?,Couch grass,Timothy grass,Blas grass,Fescue grass,c,1
Which rivers collectively define the northern border of the Bundelkhand plateau?,Ganga and Yamuna,Betwa and Ken,Son and Ghaghra,Rapti and Gandak,a,1
The Vindhyan mountain ranges constitute the southern border of which plateau?,Malwa Plateau,Deccan Plateau,Bundelkhand Plateau,Chota Nagpur Plateau,c,1
"According to the text, which river marks the eastern boundary of the southern plateau region?",Betwa River,Ken River,Pahuj River,Yamuna River,b,1
Which rivers together form the western boundary of the southern plateau region?,Ganga and Yamuna,Betwa River and Pahuj River,Ghaghra and Son,Rapti and Gandak,b,1
Which tehsils of Prayagraj district are identified as being part of the southern plateau?,Soraon and Phulpur,Karchana and Meja,Handia and Bara,Koraon and Jasra,b,1
In which tehsil of Chitrakoot district are the Vindhyan mountain ranges situated?,Mau tehsil,Karvi tehsil,Rajapur tehsil,Manikpur tehsil,b,1
"What is the name of the highest peak in Uttar Pradesh, as mentioned in the text?",Nanda Devi,Kamet,Amsot Peak,Trisul,c,1
"Amsot Peak, the highest peak of Uttar Pradesh, is part of which hill range?",Aravali Hills,Shivalik Hills,Vindhya Range,Satpura Range,b,1
Which districts in Uttar Pradesh are most severely affected by wind erosion?,Lucknow and Kanpur,Varanasi and Allahabad,Mathura and Agra,Gorakhpur and Basti,c,1
Which type of soil erosion is predominantly observed in the western region of Uttar Pradesh?,Sheet Erosion,Rill Erosion,Gully Erosion,Inter-rill Erosion,c,1
What type of erosion is identified as occurring in the eastern northern region of Uttar Pradesh?,Gully Erosion,Rill Erosion,Sheet Erosion,Stream Bank Erosion,c,1
"In Uttar Pradesh, the rivers generally flow from which direction to which direction?",South-East to North-West,North-East to South-West,North-West to South-East,South-West to North-East,c,1
What type of drainage system is typically found in the plains of Uttar Pradesh?,Radial drainage system,Trellis drainage system,Dendritic drainage system,Parallel drainage system,d,1
"On the basis of origin, into how many parts have the rivers of Uttar Pradesh been divided?",2 parts,3 parts,4 parts,5 parts,b,1
"According to the text, which of the following are the main crops of the Bundelkhand region?","Rice, maize, and barley","Jowar, gram, and wheat","Sugarcane, cotton, and jute","Tea, coffee, and rubber",b,1
Which rivers are mentioned as determining the northern boundary of the Bundelkhand plateau?,Ganga and Gomti,Yamuna and Betwa,Yamuna and Ganga,Betwa and Ken,c,1
"According to the text, which rivers determine the western boundary of the southern plateau region?",Yamuna and Ganga,Ganga and Gomti,Betwa River and Pahuj River,Ken and Betwa,c,1
Which tehsils of Prayagraj district are specified as being included in the southern plateau?,Soraon and Phulpur tehsils,Handia and Meja tehsils,Maija and Karchana tehsils,Koraon and Bara tehsils,c,1
"Amsot Peak is a part of which hill, according to the text?",Aravali Hills,Shivalik Hills,Vindhyan Hills,Satpura Hills,b,1
"What is the number of agro-climatic zones in Uttar Pradesh, according to the text?",5,7,9,11,c,1
What type of erosion is specified as occurring in the western region of the state?,Sheet Erosion,Rill Erosion,Gully erosion,Inter-rill Erosion,c,1
"According to the text, what type of erosion occurs in the eastern northern region of the state?",Gully erosion,Rill Erosion,Sheet Erosion,Bank Erosion,c,1
What type of erosion occurs in the southern region of the state as mentioned in the text?,Sheet Erosion,Rill Erosion,Gully erosion,Wind Erosion,b,1
The Vindhyan mountain ranges are located on which border of the Bundelkhand plateau?,Eastern,Western,Northern,Southern,d,1
"What is the name of the highest peak of Uttar Pradesh, and in which district is it located?",Nanda Devi Peak (Chamoli),Dudhwa Peak (Lakhimpur Kheri),Amsot Peak (Saharanpur),Kanchenjunga (Pilibhit),c,1
"According to the text, how many agro-climatic zones are there in Uttar Pradesh?",5,7,9,11,c,1
What is identified as the primary cause of soil erosion in Uttar Pradesh?,Deforestation,Wind,Agriculture,Water,d,1
What type of erosion is prevalent in the western region of Uttar Pradesh?,Sheet Erosion,Rill Erosion,Gully Erosion,Wave Erosion,c,1
"Which rivers, according to the text, define the northern boundary of the Bundelkhand plateau?",Ganga and Yamuna rivers,Betwa and Ken rivers,Rapti and Gomti rivers,Ghaghra and Son rivers,a,1
"According to the text, what mountain ranges form the southern border of the Bundelkhand plateau?",Shivalik Ranges,Himalayan Ranges,Vindhyan Mountain Ranges,Aravalli Ranges,c,1
Which river is identified as determining the eastern boundary of the southern plateau region?,Betwa River,Ken River,Pahuj River,Yamuna River,b,1
"Which tehsils of Prayagraj district are included in the southern plateau, according to the provided text?",Soraon and Phulpur tehsils,Handia and Meja tehsils,Maija and Karchana tehsils,Koraon and Bara tehsils,c,1
"According to the text, what causes maximum soil erosion in the state of Uttar Pradesh?",Deforestation,Wind,Agriculture,Water,d,1
"According to the Irrigation and Water Resources Department, into how many river basins are all the rivers of Uttar Pradesh divided?",6,10,8,12,c,1
