Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
Who was the last Mauryan ruler?,Ashoka,Brihadratha,Chandragupta,Bindusara,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
The Sanchi Stupa was originally built by which ruler?,Kanishka,Harshavardhana,Ashoka,Chandragupta Maurya,c,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
Which dynasty ruled over the region of Assam in ancient times?,Gupta Dynasty,Varman Dynasty,Maurya Dynasty,Kushan Dynasty,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
What was the main occupation of the Early Vedic people?,Agriculture,Trade,Pastoralism,Craftsmanship,c,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
The term 'Yavana' is frequently mentioned in ancient Indian texts. What does it refer to?,Chinese traders,Greek people,Roman soldiers,Persian emissaries,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
"In which modern-day country is Lumbini, the birthplace of Buddha, located?",India,Nepal,Sri Lanka,Bhutan,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
Which of the following sites is known for its rock-cut caves during the Mauryan period?,Sanchi,Ajanta,Barabar,Ellora,c,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
Who propounded the Ajivika sect?,Mahavira,Goshala Maskariputra,Gautama Buddha,Parshvanatha,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
Which of the following is a major site of the Indus Valley Civilization located in Gujarat?,Kalibangan,Lothal,Mohenjo-daro,Harappa,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
Who was the author of Arthashastra?,Kalhana,Banabhatta,Kautilya,Megasthenes,c,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
What was the capital of Magadha under the Mauryas?,Pataliputra,Rajagriha,Vaishali,Taxila,a,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
The term 'Nirvana' is associated with which religion?,Jainism,Buddhism,Hinduism,Ajivika,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
Which region did the ancient Kirata Kingdom roughly correspond to?,Punjab,Nepal,Bengal,Kashmir,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
During which Stone Age did the domestication of animals begin?,Paleolithic,Mesolithic,Neolithic,Chalcolithic,c,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
Who among the following was a contemporary of both Buddha and Mahavira?,Bindusara,Bimbisara,Chandragupta Maurya,Ashoka,b,Ancient History,"Stone Age in India facts, sites, tools, culture latest exam questions 2025-2026, Indus Valley Civilization sites, town planning, seals, drainage, trade questions, Vedic Civilization early and later Vedic society polity economy religion questions, Rise of Mahajanapadas capitals rulers administration important questions, Rise of Magadha dynasties Haryanka Shishunaga Nanda facts questions, Jainism Buddhism Bhagavata Shaivism founders teachings symbols councils questions, Maurya Empire administration Ashoka inscriptions art economy questions, Post Mauryan Empire Indo Greek Shaka Kushan Satavahana facts questions, Gupta Empire administration art literature science golden age questions, South Indian Dynasties Chola Chalukya Pallava administration temple architecture questions, Frontier Dynasties Gandhara Kamboja Assam Nepal facts questions, Ancient Indian Art and Literature Vedas Upanishads Epics Sangam literature questions, Miscellaneous Ancient History important one liner factual questions for exams",1
