Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
When was the Environment (Protection) Act enacted in India?,1972,1986,1980,1974,b,"Population, Ecology & Urbanisation (India context)",1
The Project Tiger was launched in India in which year?,1973,1982,1975,1980,a,"Population, Ecology & Urbanisation (India context)",1
"According to the Census 2011, what is the population density of India (persons per sq km)?",382,325,368,350,a,"Population, Ecology & Urbanisation (India context)",1
Which of the following is a major air pollutant?,Oxygen,Carbon Dioxide,Nitrogen,Carbon Monoxide,d,"Population, Ecology & Urbanisation (India context)",1
The Silent Valley National Park is located in which state of India?,Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,c,"Population, Ecology & Urbanisation (India context)",1
Which city in India is known as the 'City of Lakes'?,Udaipur,Mysore,Jaipur,Srinagar,a,"Population, Ecology & Urbanisation (India context)",1
What is the name of the program launched by the Government of India to clean the Ganga River?,National Ganga River Basin Authority,Ganga Action Plan,Namami Gange Programme,Clean Ganga Mission,c,"Population, Ecology & Urbanisation (India context)",1
"What is the full form of CPCB, related to pollution control in India?",Central Pollution Control Board,Council for Prevention of Chemical Burn,Central Public Cleaning Bureau,Committee for Protection of Coastal Belts,a,"Population, Ecology & Urbanisation (India context)",1
In which year was the Wildlife Protection Act implemented in India?,1972,1980,1986,1974,a,"Population, Ecology & Urbanisation (India context)",1
"According to Census 2011, which Indian state has the highest literacy rate?",Tamil Nadu,Kerala,Karnataka,Goa,b,"Population, Ecology & Urbanisation (India context)",1
"If 'A' means '+', 'B' means '-', 'C' means 'x', and 'D' means '/', then what is the value of 100 C 10 A 4 B 20 D 5?",116,106,104,114,a,Reasoning & General Aptitude,1
What is the average of the first 50 natural numbers?,25.5,25,26,24.5,a,Reasoning & General Aptitude,1
"Two numbers are in the ratio 3:5. If 9 is subtracted from each, the ratio becomes 12:23. Find the smaller number.",33,36,42,39,a,Reasoning & General Aptitude,1
"A container contains 40 litres of milk. From this container, 4 litres of milk was taken out and replaced by water. This process was repeated further two times. How much milk is now contained by the container?",29.16 litres,28 litres,30 litres,30.16 litres,a,Reasoning & General Aptitude,1
"What is the missing number in the series: 2, 6, 12, 20, 30, 42, ?",56,52,54,48,a,Reasoning & General Aptitude,1
"If A is taller than B, B is taller than C, and C is taller than D, then who is the shortest?",D,B,A,C,a,Reasoning & General Aptitude,1
"A sum of money is to be distributed among A, B, C in the ratio 2:3:5. If A's share is Rs 20, then what is the total sum?",Rs 100,Rs 50,Rs 80,Rs 120,a,Reasoning & General Aptitude,1
"If the average of 5 numbers is 20, and the average of 3 of these numbers is 12, what is the average of the remaining 2 numbers?",34,28,30,32,a,Reasoning & General Aptitude,1
A vendor mixes 21 kg of rice at Rs. 4 per kg with 9 kg of rice at Rs. 5 per kg. Find the average price per kg of the mixture.,Rs. 4.30,Rs. 4.60,Rs. 4.70,Rs. 4.40,a,Reasoning & General Aptitude,1
What is the value of (108 ÷ 36) × ¼ + 2/5 × 3/4?,1.15,2.25,0.45,0.75,a,Reasoning & General Aptitude,1
"What number should be added to 6, 14, 18 and 38 so that they are in proportion?",2,1,3,4,a,Reasoning & General Aptitude,1
Find the average of all prime numbers between 30 and 50,39.8,38.3,41.2,34.1,a,Reasoning & General Aptitude,1
"If a clock shows 9:20, what is the angle between the hour and minute hands?",160 degrees,150 degrees,140 degrees,170 degrees,a,Reasoning & General Aptitude,1
Two vessels A and B contain milk and water mixed in the ratio 5:3 and 2:3. In what ratio must these mixtures be mixed to form a new mixture containing half milk and half water?,7:9,9:7,2:3,3:2,a,Reasoning & General Aptitude,1
"A fruit seller had some oranges. He sells 60% of them and still has 280 oranges. Originally, how many oranges did he have?",700,420,500,680,a,Reasoning & General Aptitude,1
Choose the antonym for 'Fragile'.,Delicate,Brittle,Sturdy,Weak,c,General English,1
Identify the misspelt word.,Accommodate,Occasion,Neccessary,Immediately,c,General English,1
Choose the appropriate preposition: He is good ______ Mathematics.,at,in,on,with,a,General English,1
Fill in the blank with the correct form of verb: The price of these jeans ______ very high.,are,is,were,have,b,General English,1
"Change into indirect speech: He said, 'I am busy'.",He said that he is busy.,He said that I was busy.,He said that he was busy.,He says that he was busy.,c,General English,1
Select the antonym of 'optimistic'.,Positive,Pessimistic,Cheerful,Hopeful,b,General English,1
Fill in the blank with a suitable article: She is ______ honest woman.,a,an,the,no article,b,General English,1
Choose the correct preposition: The book is ______ the table.,in,at,on,over,c,General English,1
"Convert to indirect speech: She said, 'What a beautiful flower!'",She exclaimed that what a beautiful flower it was.,She exclaimed that it was a very beautiful flower.,She said that it was a beautiful flower.,She exclaimed that it is a very beautiful flower.,b,General English,1
"जो देखने योग्य हो, वाक्यांश के लिए एक शब्द क्या है?",दर्शनीय,अविश्वसनीय,श्रोत्रिय,स्पर्शनीय,a,General Hindi,1
निम्न में से 'अभिमान' शब्द में कौन सा उपसर्ग है?,अति,अ,अभि,अन,c,General Hindi,1
'चालाकी' शब्द में कौन सा प्रत्यय है?,ई,आई,की,आ,b,General Hindi,1
 'इति श्री' का क्या अर्थ है?,आरंभ,समापन,मध्य,विस्तार,b,General Hindi,1
'अनायास' शब्द का सही अर्थ क्या है?,बिना प्रयास के,प्रयास के साथ,थोड़ा प्रयास,निरंतर प्रयास,a,General Hindi,1
 'अक्ल का दुश्मन' मुहावरे का अर्थ क्या है?,बुद्धिमान,मूर्ख,चालाक,बलवान,b,General Hindi,1
 'प्रत्येक' शब्द में कौन सा उपसर्ग है?,प्र,प्रति,परा,परि,b,General Hindi,1
'लिखाई' शब्द में कौन सा प्रत्यय है?,ई,आई,वाई,अ,b,General Hindi,1
Which district in Uttar Pradesh is known for its production of 'Aonla' (Indian Gooseberry)?,Pratapgarh,Allahabad,Lucknow,Kanpur,a,Uttar Pradesh Special Knowledge,1
"According to the 2011 census, what is the approximate population density of Uttar Pradesh (people per sq km)?",829,680,950,710,a,Uttar Pradesh Special Knowledge,1
The 'Kisan Mitra' scheme was launched in Uttar Pradesh to benefit which segment of the population?,Farmers,Students,Unemployed youth,Senior citizens,a,Uttar Pradesh Special Knowledge,1
Which of the following is the state animal of Uttar Pradesh?,Swamp Deer,Tiger,Lion,Elephant,a,Uttar Pradesh Special Knowledge,1
Uttar Pradesh shares its border with how many states of India?,8 States and 1 Union Territory,6 States and 2 Union Territories,7 States,9 States,a,Uttar Pradesh Special Knowledge,1
Which district of Uttar Pradesh is famous for its brassware industry?,Moradabad,Varanasi,Agra,Lucknow,a,Uttar Pradesh Special Knowledge,1
What is the primary objective of the 'Uttar Pradesh Mukhyamantri Bal Seva Yojana'?,Supporting children who have lost their parents due to COVID-19,Providing free education to girls,Offering financial aid to farmers,Improving healthcare facilities in rural areas,a,Uttar Pradesh Special Knowledge,1
The Dudhwa National Park is located in which district of Uttar Pradesh?,Lakhimpur Kheri,Pilibhit,Bahraich,Shravasti,a,Uttar Pradesh Special Knowledge,1
Uttar Pradesh is the largest producer of which crop in India?,Sugarcane,Rice,Wheat,Pulses,a,Uttar Pradesh Special Knowledge,1
"According to the 2011 Census, what is the literacy rate of Uttar Pradesh?",67.68%,75.00%,58.20%,80.10%,a,Uttar Pradesh Special Knowledge,1
What type of device is a scanner?,Input,Output,Storage,Processing,a,Elementary Knowledge of Computers,1
Which Microsoft Office application is primarily used for creating presentations?,Word,Excel,PowerPoint,Access,c,Elementary Knowledge of Computers,1
What is the latest version of Microsoft Windows as of November 2024?,Windows 10,Windows 8,Windows 11,Windows 7,c,Elementary Knowledge of Computers,1
Which of the following is a popular vector graphics editor?,GIMP,Inkscape,MS Paint,IrfanView,b,Elementary Knowledge of Computers,1
Which of the following is a high-level programming language?,Assembly Language,Machine Code,C++,Binary,c,Elementary Knowledge of Computers,1
What number system has a base of 2?,Decimal,Octal,Hexadecimal,Binary,d,Elementary Knowledge of Computers,1
Which logic gate gives an output of 1 only when both inputs are 1?,OR,NOT,AND,XOR,c,Elementary Knowledge of Computers,1
What is the file extension for a Microsoft Word 2007 and later document?,.txt,.docx,.xls,.pdf,b,Elementary Knowledge of Computers,1
What is the function of the Windows key on a keyboard?,Opens the Start Menu,Closes the current window,Saves the current file,Prints the current document,a,Elementary Knowledge of Computers,1
Which design tool is most suitable for creating page layouts for books and magazines?,Adobe Photoshop,Adobe Illustrator,Adobe InDesign,Corel Painter,c,Elementary Knowledge of Computers,1
Which of the following is an interpreted programming language?,C,Java,Python,C++,c,Elementary Knowledge of Computers,1
What is the decimal equivalent of the binary number 1010?,5,8,10,12,c,Elementary Knowledge of Computers,1
Which logic gate inverts the input signal?,AND,OR,NOT,XOR,c,Elementary Knowledge of Computers,1
Which Microsoft Office application is used for managing databases?,Word,Excel,PowerPoint,Access,d,Elementary Knowledge of Computers,1
What is the shortcut key to paste text in Microsoft Windows?,Ctrl + C,Ctrl + X,Ctrl + V,Ctrl + Z,c,Elementary Knowledge of Computers,1
Choose the correct passive voice of the sentence: 'The police caught the thief.',The thief had been caught by the police.,The thief was being caught by the police.,The thief was caught by the police.,The thief has been caught by the police.,c,General English,1
What is the meaning of the idiom 'To bite the bullet'?,To avoid a difficult situation,To delay a decision,To face a difficult or unpleasant situation with courage,To celebrate a victory,c,General English,1
Find the antonym of 'Artificial'.,Synthetic,False,Natural,Imitation,c,General English,1
Which of the following is the best one-word substitute for 'A person who loves mankind'?,Misanthrope,Philanthropist,Misogynist,Egotist,b,General English,1
Identify the correct sentence improvement for the underlined part: 'He is wanting to go to the market.',He wants to go to the market.,He is wanted to go to the market.,He was wanting to go to the market.,No improvement,a,General English,1
What does the idiom 'A piece of cake' mean?,A generous helping of dessert,A difficult task,Something very easy,A valuable item,c,General English,1
Choose the antonym of 'Courage'.,Bravery,Valor,Fear,Boldness,c,General English,1
