Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
RRBs primarily serve which sector?,Large Industries,Urban Areas,Rural Areas,Foreign Investors,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the BOP?,Balance of Payments,Bureau of Planning,Board of Parliament,Bank of Punjab,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which of the following is a function of cooperative banks?,Issuing currency,Accepting deposits from the public,Regulating other banks,Acting as the government's banker,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What does Forex refer to?,Foreign exchange market,Foreign export,Forest reserve,Financial organization expert,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which of the following is NOT a method for calculating national income?,Income method,Expenditure method,Production method,Import-Export method,d,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the full form of SIDBI?,Small Industries Development Bank of India,State Infrastructure Development Bank of India,Service Industry Development Board of India,Sustainable Investment Development Board of India,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which type of inflation is characterized by a rapid and uncontrolled increase in prices?,Creeping Inflation,Walking Inflation,Running Inflation,Hyperinflation,d,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
The difference between a country's exports and imports is known as?,Current Account Balance,Trade Balance,Capital Account Balance,Financial Account Balance,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which institution publishes the Consumer Price Index (CPI) in India?,Reserve Bank of India (RBI),Ministry of Finance,National Statistical Office (NSO),NITI Aayog,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the role of the Reserve Bank of India?,To accept deposits from the public,To regulate the banking system,To provide loans to industries,To collect taxes,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the base year for the current WPI series in India (as of October 2024)?,2004-05,2011-12,2017-18,2015-16,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which sector is primarily served by cooperative banks in India?,Industry,Agriculture,IT,Real Estate,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
The foreign exchange reserves of India include which of the following?,Gold,Foreign Currency Assets,SDRs (Special Drawing Rights),All of the above,d,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which of the following is a function of a Regional Rural Bank (RRB)?,Providing loans to large corporations,Accepting deposits from the public in rural areas,Regulating other banks,Printing currency notes,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What does GDP stand for?,Gross Domestic Product,General Development Plan,Government Development Policy,Gross Department Production,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
In which year was NABARD established?,1969,1975,1982,1991,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
"What is the term for a situation where the inflation rate is very high, typically exceeding 50% per month?",Deflation,Disinflation,Hyperinflation,Stagflation,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which organization is responsible for formulating and implementing the foreign trade policy of India?,Reserve Bank of India (RBI),Ministry of Commerce and Industry,NITI Aayog,Ministry of Finance,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the meaning of 'Repo Rate'?,Rate at which commercial banks borrow money from RBI,Rate at which RBI borrows money from commercial banks,Rate at which commercial banks lend to customers,Rate at which government borrows money from RBI,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which committee recommended the establishment of Regional Rural Banks (RRBs) in India?,Narasimham Committee,Kelkar Committee,Gadgil Committee,Khusro Committee,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is 'disinflation'?,A decrease in the rate of inflation,An increase in the rate of inflation,A decrease in prices,A period of economic stagnation,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which of these is NOT a component of the Current Account in the Balance of Payments?,Exports of Goods,Imports of Services,Foreign Direct Investment,Income Receipts,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which institution is known as the 'lender of last resort' for commercial banks?,SBI,RBI,NABARD,SIDBI,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the full form of FII?,Foreign Institutional Investor,Financial Investment Institution,Foreign Investment Initiative,Financial Institutional Investment,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which method of calculating national income focuses on the total expenditure incurred in the economy?,Income Method,Product Method,Expenditure Method,Value Added Method,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
