Question,Option A,Option B,Option C,Option D,Correct Answer,Points
Fort William was built by the East India Company after demolishing which village?,Bethlehem,Chinhat,Gobindpur,Sanchi,c,1
"Match the following historical figures with their associated landmarks/events:

Column I
(A) George Wittet
(B) Sir Edwin Lutyens
(C) Satyendranath Tagore
(D) Mother Teresa

Column II
(1) Indian Civil Service
(2) Missionaries of Charity
(3) Gateway of India
(4) Parliament House

Choose the correct sequence:","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-2, B-1, C-4, D-3","A-1, B-2, C-3, D-4",a,1
When was Victoria Terminus (now Chhatrapati Shivaji Terminus) constructed?,1911,1921-1927,1888,1824-1826,c,1
"Gandhian Plan, 1944 was propounded by whom?",Major James Rennell,Satyendranath Tagore,Shriman Narayan Agarwal,Henry Lawrence,c,1
The 'Red Shirts Movement' was initiated by whom?,Khan Bahadur Khan,Khan Abdul Wali Khan,Khan Abdul Ghaffar Khan,Khan Muhammad Khan,c,1
Members of the Khudai Khidmatgar organization were commonly known as:,Red Flag,Red Army,Red Brigade,Red Kurti,d,1
Who was the first woman to hold the office of Chief Minister in an Indian state?,Sarojini Naidu,Indira Gandhi,Sucheta Kripalani,Vijayalakshmi Pandit,c,1
"According to historical accounts, in which year was the first national flag of India hoisted in Kolkata?",1911,1907,1905,1906,d,1
Which location was regarded as the nerve center of Indian nationalism during the first decade of the 20th century?,Bombay,Madras,Bengal,Delhi,c,1
"In 1815, who was designated as the first Surveyor General of India?",James Rennell,William Lambton,Colin Mackenzie,George Everest,c,1
Khan Abdul Ghaffar Khan was also known by what name?,Sher-e-Punjab,Lok Nayak,Badshah Khan,Deshbandhu,c,1
The title 'Frontier Gandhi' was attributed to which of the following individuals?,Mahatma Gandhi,Jawaharlal Nehru,Khan Abdul Ghaffar Khan,Sheikh Abdullah,c,1
Which city served as the summer capital for the British during their rule in India?,Darjeeling,Ooty,Shimla,Mussoorie,c,1
Who was the founder of the Swatantra Party?,Jawaharlal Nehru,Indira Gandhi,C. Rajagopalachari,Sardar Vallabhbhai Patel,c,1
From which century is the beginning of the modern period in India generally considered?,Sixteenth century,Seventeenth century,Eighteenth century,Nineteenth century,c,1
"Who, serving as the Dewan of Travancore, led a rebellion in 1808 and faced public hanging?",Raja Kesavadas,Velu Thampi,Marthanda Varma,Ayyappan Pillai,b,1
"The Self-Respect Movement, aimed at achieving equal rights for backward castes, was initiated by whom?",Jyotirao Phule,B.R. Ambedkar,E.V. Ramaswamy,Narayan Guru,c,1
Which Indian leader advocated for total revolution in India?,Mahatma Gandhi,Jawaharlal Nehru,Jayaprakash Narayan,Ram Manohar Lohia,c,1
"The Durand Line, defining a border, was established through an agreement signed by Abdur-Rahman and which representative of the British Raj?",Lord Curzon,Lord Dalhousie,Mr. Mortimer,Sir Cyril Radcliffe,c,1
Which metro city in India has retained its name since independence?,Mumbai,Chennai,Kolkata,Delhi,d,1
Which city in Punjab was formerly known as Ramdaspur?,Jalandhar,Ludhiana,Amritsar,Patiala,c,1
Which of the following is recognized as the world's highest battlefield?,Kargil,Siachen Glacier,Baltoro Glacier,Zoji La,b,1
Which state in Northeast India is also referred to as 'Nya-Mal-Alen' by its original inhabitants?,Arunachal Pradesh,Nagaland,Sikkim,Manipur,c,1
Who successfully deciphered the Brahmi and Kharosthi scripts used in ancient inscriptions?,Sir William Jones,Alexander Cunningham,James Prinsep,John Marshall,c,1
In which year is it said that the first national flag of India was hoisted?,1911,1905,1906,1915,c,1
"Who held the position of the first Surveyor General of India, appointed in 1815?",Warren Hastings,Lord Curzon,Colin Mackenzie,Robert Clive,c,1
Which metro city's name has remained unchanged since India's independence?,Mumbai,Chennai,Delhi,Kolkata,c,1
Which location is known as the highest battlefield in the world?,Kargil,Siachen Glacier,Baltoro Glacier,Zojila Pass,b,1
Who founded the Swatantra Party?,Jawaharlal Nehru,Indira Gandhi,C. Rajagopalachari,Sardar Patel,c,1
"Velu Thampi, who led a rebellion in 1808 and was publicly hanged, was the Dewan of which place?",Mysore,Travancore,Cochin,Madras,b,1
In which city was the first national flag of India reportedly hoisted in 1906?,Delhi,Mumbai,Kolkata,Chennai,c,1
The title 'Frontier Gandhi' was given to whom?,Mahatma Gandhi,Jawaharlal Nehru,Khan Abdul Ghaffar Khan,Sardar Vallabhbhai Patel,c,1
What was the summer capital of the British during their rule in India?,Delhi,Kolkata,Shimla,Mumbai,c,1
"The Self-Respect Movement, aimed at creating a society where backward castes enjoy equal human rights, was started by:",Mahatma Gandhi,B.R. Ambedkar,E.V. Ramaswamy,Jyotirao Phule,c,1
In which year was the Dowry Prohibition Act enacted?,1951,1971,1961,1941,c,1
"The Ashokan inscriptions, written in the Brahmi script, were deciphered in which year?",1737,1847,1837,1747,c,1
In which city was the East India Association formed in 1866?,Calcutta,Bombay,Delhi,London,d,1
The 'pledge movement' started by the Indian Social Conference aimed at:,Promoting widow remarriage,Prohibiting child marriage,Encouraging inter-caste marriage,Abolishing the caste system,b,1
Who was the first Indian member of the British Parliament?,Mahatma Gandhi,Jawaharlal Nehru,Dadabhai Naoroji,Sardar Vallabhbhai Patel,c,1
In what year was the Child Marriage Restraint Act passed?,1939,1919,1929,1909,c,1
Who established the Archaeological Survey of India in 1861?,Lord Curzon,John Marshall,Alexander Cunningham,James Prinsep,c,1
Where is Vivekananda Rock Memorial located?,Chennai,Kanyakumari,Mumbai,Kochi,b,1
"Until 1972, which Indian state was known as the North East Frontier Agency?",Assam,Manipur,Arunachal Pradesh,Nagaland,c,1
"Veerapandya Kattabomman, an 18th-century freedom fighter, was from which present-day state?",Kerala,Karnataka,Andhra Pradesh,Tamil Nadu,d,1
Which region became a Union Territory of India in 1954 after 280 years of French rule?,Goa,Daman and Diu,Puducherry,Chandigarh,c,1
In which year was the battle of Saragarhi fought?,1907,1857,1897,1917,c,1
"Savitribai Phule, a veteran freedom fighter and social reformer, was from which Indian state?",Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,c,1
In what year was Sanchi rediscovered after being abandoned for about 600 years?,1718,1828,1818,1728,c,1
On which date was the Indus Water Treaty signed between India and Pakistan?,16-Sep-60,29-Sep-60,19-Sep-60,26-Sep-60,c,1
Who gave us the CR formula?,Jawaharlal Nehru,Mahatma Gandhi,C. Rajagopalachari,Sardar Vallabhbhai Patel,c,1
"Who addressed the Parliament after Jawaharlal Nehru at midnight on August 15, 1947?",Indira Gandhi,Rajendra Prasad,Sarvepalli Radhakrishnan,Lal Bahadur Shastri,c,1
Who was the first Deputy Prime Minister of India after independence?,Jawaharlal Nehru,Lal Bahadur Shastri,Sardar Vallabhbhai Patel,Indira Gandhi,c,1
"Kala Bhavan, an institution for visual arts, established in 1919, is located in which state?",Maharashtra,West Bengal,Gujarat,Tamil Nadu,b,1
Who was the founder of the East India Association?,Mahatma Gandhi,Jawaharlal Nehru,Dadabhai Naoroji,Sardar Vallabhbhai Patel,c,1
After how many years of French rule did Puducherry become a Union Territory of India in 1954?,250,300,280,320,c,1
"Kala Bhavan, a renowned institution for education and research in visual arts, is located in which state?",Odisha,West Bengal,Bihar,Assam,b,1
Who formed the East India Association in London in 1866?,Mahatma Gandhi,Jawaharlal Nehru,Dadabhai Naoroji,Sardar Vallabhbhai Patel,c,1
Who was the founder of the Andhra Mahila Sabha?,Satyendranath Tagore,Durgabai Deshmukh,Abraham Lincoln,Plato,b,1
Which of the following events occurred in 1942?,Simon Commission visits India,Chauri Chauri incident,Cripps Mission's visit to India,Jallianwala Bagh massacre,c,1
In what year did the United States enter World War II?,1918,1941,1945,1920,b,1
Abraham Lincoln is associated with which of the following?,The French Revolution,The end of slavery in America,The Russo-Japanese War,The establishment of the UN,b,1
Trafalgar Square is located in which city?,Paris,Mumbai,Versailles,London,d,1
With which country does the world associate the word 'Holocaust'?,Russia,France,Germany,Iran,c,1
The Palace of Versailles is located near which capital city?,London,Mumbai,Paris,Alaska,c,1
The statement “Man's greed is the effective cause of crime” is attributed to whom?,Abraham Lincoln,Satyendranath Tagore,Durgabai Deshmukh,Plato,d,1
In which city is the 'Gateway of India' located?,London,Mumbai,Paris,Berlin,b,1
Which state of the United States was formerly a part of Russia?,Persia,Bangladesh,Alaska,Germany,c,1
What is the ancient name of Iran?,Alaska,Persia,Germany,London,b,1
On what date does Bangladesh celebrate its Independence Day?,8-Aug,1-Aug,6-Apr,26-Mar,d,1
The UN was established as the successor to the League of Nations immediately after which event?,The French Revolution,World War I,Russo-Japanese War,World War II,d,1
Who was the first Indian to be selected in the ICS?,Abraham Lincoln,Durgabai Deshmukh,Satyendranath Tagore,Plato,c,1
What was the forerunner of the Indian National Congress?,League of Nations,Indian Association,Andhra Mahila Sabha,United Nations,b,1
Arrange the following events in chronological order: (1) Chauri Chaura incident (2) Cripps Mission's visit to India (3) Jallianwala Bagh massacre (4) Simon Commission visits India,3-1-4-2,1-3-2-4,4-2-1-3,2-4-3-1,a,1
Which of the following is the correct chronological sequence of events: (1) Quit India Movement (2) Non-cooperation movement (3) Civil disobedience movement (4) Jallianwala Bagh Massacre,4-2-3-1,2-4-1-3,3-1-2-4,1-2-3-4,a,1
"Match the following events with their respective dates:
Column I
(A) Jallianwala Bagh Massacre
(B) Non-cooperation movement
(C) Civil disobedience movement
(D) Quit India Movement
Column II
(1) August 8, 1942
(2) April 13, 1919
(3) April 6, 1930
(4) August 1, 1920","A-2, B-4, C-3, D-1","A-1, B-2, C-3, D-4","A-4, B-3, C-2, D-1","A-3, B-1, C-4, D-2",a,1
Which of the following statements is INCORRECT regarding historical events?,"The First World War ended on November 11, 1918.",The French Revolution took place in 1789 AD.,The Russo-Japanese War took place in 1904–05.,The United Nations was established in 1941.,d,1
Which of the following events greatly influenced the Indian national movement in the early twentieth century?,French Revolution,World War II,Russo-Japanese War,World War I,c,1
In which year did the French Revolution take place?,1941 AD,1918 AD,1789 AD,1945 AD,c,1
Who created the end of slavery in America?,Plato,Durgabai Deshmukh,Satyendranath Tagore,Abraham Lincoln,d,1
Which country is most associated with the word 'Holocaust'?,Russia,France,Germany,Iran,c,1
Who stated that “Man's greed is the effective cause of crime.”?,Abraham Lincoln,Satyendranath Tagore,Durgabai Deshmukh,Plato,d,1
When did the First World War end?,8-Aug-42,6-Apr-30,13-Apr-19,11-Nov-18,d,1
Who is credited with ending slavery in America?,Plato,Satyendranath Tagore,Abraham Lincoln,Durgabai Deshmukh,c,1
From whom does the statement “Man's greed is the effective cause of crime” originate?,Abraham Lincoln,Satyendranath Tagore,Durgabai Deshmukh,Plato,d,1
The UN was established in 1945 as the successor to which organization?,Indian Association,Andhra Mahila Sabha,Simon Commission,League of Nations,d,1
"The Russo-Japanese War, which greatly influenced the Indian national movement, took place in:",1941–45,1918,1904–05,1789,c,1
The First World War ended on:,8-Aug-42,6-Apr-30,1-Aug-20,11-Nov-18,d,1
The Hundred Years' War was primarily fought between which two countries?,Germany and France,England and Spain,England and France,Spain and France,c,1
In what year did the Boston Tea Party take place?,1776,1783,1773,1775,c,1
Which country was involved in the Opium Wars alongside Britain?,Japan,India,China,Russia,c,1
In which year was the Battle of Waterloo fought?,1805,1812,1815,1820,c,1
In what year was the Berlin Wall demolished?,1985,1991,1989,1990,c,1
Which technology was developed during World War II to detect enemy submarines?,Radar,Sonar,Lidar,Infrared,b,1
Which political party came to power in Britain in 1945 and committed to granting independence to India?,Conservative Party,Liberal Party,Labour Party,National Party,c,1
"In which country was Marie Antoinette, the last queen of France, born?",France,Germany,Austria,Spain,c,1
In which American city can you find the Freedom Trail?,New York,Philadelphia,Boston,Washington D.C.,c,1
"The ideas of liberty, equality, and fraternity were inspired by which revolution?",American Revolution,Russian Revolution,French Revolution,Industrial Revolution,c,1
In what year was the Eiffel Tower built to commemorate the 100th anniversary of the French Revolution?,1789,1879,1889,1899,c,1
In which year was the Battle of Gulnabad fought?,1712,1722,1732,1742,b,1
Which American president delivered The Gettysburg Address?,Thomas Jefferson,George Washington,Abraham Lincoln,Franklin D. Roosevelt,c,1
Which of the following figures is associated with the American War of Independence?,Winston Churchill,George Washington,Napoleon Bonaparte,Otto von Bismarck,b,1
In what year did the United States of America adopt a democratic constitution?,1776,1783,1787,1791,c,1
In which year was the Treaty of Versailles signed?,1914,1918,1919,1920,c,1
Which alliance was the Soviet Union a part of during the Second World War?,Axis Powers,Central Powers,Allied Powers,Triple Alliance,c,1
The Hundred Years' War was fought between which of the following countries?,Germany and France,England and Spain,England and France,Spain and France,c,1
In which battle was Napoleon defeated?,Battle of Berlin,Battle of France,Battle of Britain,Waterloo,d,1
In which American city is The Freedom Trail located?,New York,Washington,Boston,Philadelphia,c,1
"Paul Revere, who fought in the American Revolution, lived and died in which town?",New York,Philadelphia,Boston,Washington,c,1
In what year did the French Revolution begin?,1779,1799,1789,1769,c,1
"From which revolution were the ideals of liberty, equality, and fraternity taken, influencing the national movement of India?",American,Russian,French,Industrial,c,1
Which historical figure is associated with the American War of Independence?,Thomas Jefferson,Benjamin Franklin,George Washington,John Adams,c,1
"In the Second World War, which alliance included the Allied Powers?",Axis Power,Central Power,Soviet Union,United Nations,c,1
"Which country, besides China, was involved in the Opium Wars?",France,Russia,Britain,Germany,c,1
The Hundred Years' War primarily involved which two nations?,Spain and Portugal,Germany and Russia,England and France,Italy and Austria,c,1
Which country was Britain's primary opponent in the Opium Wars?,Japan,India,China,Vietnam,c,1
Which political party assumed power in Britain in 1945 and advocated for India's independence?,Conservative Party,Liberal Party,Labour Party,National Party,c,1
"The principles of liberty, equality, and fraternity were inspired by which major historical event?",The American Revolution,The Russian Revolution,The French Revolution,The Glorious Revolution,c,1
Under whose leadership was the Battle of Gulnabad fought in 1722?,Nader Shah,Mahmud Hotaki,Ahmad Shah Durrani,Timur Shah,b,1
Which of the following was part of the Allied Powers alliance during the Second World War?,Germany,Italy,Soviet Union,Japan,c,1
During which period did the First World War take place?,1914-1916,1918-1922,1914-1918,1939-1945,c,1
In which year did the Second World War begin?,1918,1939,1945,1914,b,1
In which year were the battles of Kohima and Imphal fought during the Second World War?,1945,1943,1942,1944,d,1
What were the names of the atomic bombs dropped on Japan?,Thin Man and Fat Man,Little Boy and Thin Man,Little Boy and Fat Man,Fat Man and Big Boy,c,1
On what date was the atomic bomb dropped on Hiroshima by the US?,8-Aug-45,7-Aug-45,6-Aug-45,9-Aug-45,c,1
Which of the following countries is mainly ruled by Communist/Maoist parties?,Myanmar,Bhutan,China,Sri Lanka,c,1
Which country celebrates its Independence Day on 4th January?,China,Australia,Myanmar,Bangladesh,c,1
"In which year was Ugyen Wangchuck crowned as the Druk Gyalpo, the first monarch of Bhutan?",1948,1907,1939,1986,b,1
In what year did Sri Lanka (then Ceylon) gain independence as the Dominion of Ceylon?,1971,1948,1907,1986,b,1
In which year did the rule of the United Kingdom formally end in Australia?,1948,1971,1986,1907,c,1
To whom is the credit given for building the Great Wall of China?,Sheikh Mujibur Rahman,Ugyen Wangchuck,Jigme Khesar Namgyal,Qin Shi Huang,d,1
Approximately how many years ago did emperors in China begin building the Great Wall before the Mauryan Empire?,1907,2400,1948,1986,b,1
Who was the first Prime Minister of Bangladesh after its declaration of independence in 1971?,Qin Shi Huang,Ugyen Wangchuck,Jigme Khesar Namgyal,Sheikh Mujibur Rahman,d,1
During which period was Bangladesh a part of Pakistan?,1914-1918,1947-1971,1939-1945,1907-1948,b,1
Which of the following constituted a part of the 'Central Powers' alliance during the First World War?,United Kingdom,France,Austria-Hungary,Russia,c,1
In what year did the Second World War commence?,1944,1914,1939,1945,c,1
On which date did the US drop an atomic bomb on Hiroshima?,9-Aug-45,7-Aug-45,6-Aug-45,8-Aug-45,c,1
Which country is primarily governed by Communist/Maoist parties?,Vietnam,Myanmar,North Korea,China,d,1
Who was elected as the hereditary ruler of Bhutan in 1907?,Jigme Khesar Namgyal,Sangaldip,Sheikh Mujibur Rahman,Ugyen Wangchuck,d,1
In what year did Gongsa Ugyen Wangchuck become the first monarch of Bhutan?,1948,1971,1986,1907,d,1
The rule of the United Kingdom formally ended in which country in 1986?,Sri Lanka,Myanmar,China,Australia,d,1
Until what year was Bangladesh a part of Pakistan?,1947-1986,1907-1947,1947-1971,1939-1945,c,1
"Match the following events with the corresponding years:

Column I
(A) US dropped atomic bomb on Hiroshima
(B) Second World War began

Column II
(1) 1939
(2) 1945

","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b,1
Identify the INCORRECT statement regarding the history of Bhutan:,Ugyen Wangchuck was crowned as the Druk Gyalpo in 1907.,Gongsa Ugyen Wangchuck became the first monarch of Bhutan in 1907.,Bhutan was ruled by a Cooch-Behar king named Sangaldip in the 7th century BC.,The current monarch of Bhutan is from the Nehru dynasty.,d,1
The atomic bombs were dropped on Hiroshima and Nagasaki during which war?,First World War,Korean War,Vietnam War,World War II,d,1
"What is the general term for the series of non-violent revolutions in 2005 that overthrew governments in Georgia, Ukraine, Kyrgyzstan and Lebanon?",Arab Spring,Velvet Revolution,Colour Revolution,Jasmine Revolution,c,1
In which century BC was Bhutan ruled or controlled by a Cooch-Behar king named Sangaldip?,5th century BC,6th century BC,8th century BC,7th century BC,d,1
Who is the current monarch of Bhutan?,Ugyen Wangchuck,Sheikh Mujibur Rahman,Jigme Khesar Namgyal,Sangaldip,c,1
In which year was Sri Lanka (then Ceylon) granted independence as the Dominion of Ceylon?,1950,1947,1948,1960,c,1
Which religion is followed by most of the people in Sri Lanka?,Hinduism,Islam,Buddhism,Christianity,c,1
Who is credited with building the Great Wall of China?,Sheikh Mujibur Rahman,Jigme Khesar Namgyal,Qin Shi Huang,Ugyen Wangchuck,c,1
Identify the INCORRECT statement regarding Ugyen Wangchuck:,He was elected as the hereditary ruler of Bhutan.,"He was crowned on December 17, 1907.",He was installed as the Druk Gyalpo.,He became the second monarch of Bhutan.,d,1
In which year did Bangladesh gain independence from Pakistan?,1962,1973,1971,1968,c,1
Who was the Indian Army Chief during the Bangladesh Liberation War?,Yuan Shikai,Sam Manekshaw,Darius I of Persia,Otto von Bismarck,b,1
In what year did Maldives transition from a Sultanate to a Presidential system of government?,2015,1948,1973,1968,d,1
Nepal adopted its first democratic constitution in which year?,1948,2015,1962,1973,b,1
The 'China-India border dispute' war took place in which year?,1971,1948,1962,2015,c,1
Who was the first President of the Republic of China?,Sam Manekshaw,Martin Luther King Jr.,Yuan Shikai,Fidel Castro,c,1
In which year was the Constitution of Pakistan implemented?,1948,1973,2015,1968,b,1
Burma became an independent sovereign republic in which year?,1971,1948,1962,2015,b,1
Who conquered the territory that later came under the Achaemenid Empire?,Fidel Castro,Otto von Bismarck,Yuan Shikai,Darius I of Persia,d,1
What is the political system in Afghanistan known as?,Presidential Republic,Communist State,Islamic Emirate of Afghanistan,Sultanate,c,1
Which revolutionary leader introduced land reform and literacy reform in Cuba?,Otto von Bismarck,Fidel Castro,Yuan Shikai,Darius I of Persia,b,1
Who was the American civil rights activist known for the 'I Have a Dream' speech?,Otto von Bismarck,Fidel Castro,Martin Luther King Jr.,Queen Victoria,c,1
Who was known as the 'Iron Chancellor'?,Fidel Castro,Otto von Bismarck,Yuan Shikai,Darius I of Persia,b,1
The Terracotta Army is a collection of sculptures depicting armies from which country?,Afghanistan,Pakistan,China,Cuba,c,1
Queen Elizabeth II surpassed whose record to become Britain's longest-reigning monarch?,Queen of Persia,Queen of China,Queen Victoria,Queen of Afghanistan,c,1
Magna Carta is a charter of rights issued by which monarch?,Darius I of Persia,King John of England,Yuan Shikai,Fidel Castro,b,1
Which of the following is stated to NOT be a country?,Pakistan,China,Republic,Afghanistan,c,1
In what year was a new international monetary system introduced under the Bretton Woods Agreement?,1968,1944,1973,2015,b,1
Where does the 14th Dalai Lama currently reside?,China,Afghanistan,Dharamshala,Pakistan,c,1
Who participated in the Second World War and was also associated with cricket?,Sam Manekshaw,Alan Burgess,Fidel Castro,Yuan Shikai,b,1
In what year did the 'China-India border dispute' war occur?,1973,1948,1962,2015,c,1
When did Burma become an independent sovereign republic?,1962,2015,1948,1973,c,1
Who was the revolutionary leader known for introducing land reform and literacy reform in Cuba?,Otto von Bismarck,Sam Manekshaw,Fidel Castro,Yuan Shikai,c,1
Who delivered the famous 'I Have a Dream' speech?,Fidel Castro,Martin Luther King Jr.,Yuan Shikai,Otto von Bismarck,b,1
Which ruler's conquest led to the Achaemenid Empire's control over a certain territory?,King John of England,Queen Victoria,Darius I of Persia,Otto von Bismarck,c,1
Which of the following statements is INCORRECT according to the text?,China is a republic.,A new international monetary system was introduced under the Bretton Woods Agreement.,The Constitution of Pakistan was implemented in 1973.,Bangladesh gained independence in 1971.,a,1
"Which empire did Darius I of Persia conquer, bringing the region now known as Afghanistan under its rule?",Islamic Emirate,Achaemenid Empire,British Empire,Roman Empire,b,1
Which empire was NOT mentioned as being impacted by nationalism?,Germany,Iranian,Roman Republic,Assyrian Empire,a,1
Who overthrew the Roman Republic?,Julius Caesar,Tiberius,Augustus,Alexander,c,1
Julius Caesar expanded the Roman Empire into which present-day countries?,Iran and North Africa,Britain and Germany,India and Iran,South Africa and Australia,b,1
By which century BC had the Iranian empire established control over most of the Assyrian Empire?,5th century BC,4th century BC,6th century BC,7th century BC,c,1
Who was the second Roman emperor and adopted son of Augustus?,Julius Caesar,Alexander,Tiberius,Nelson Mandela,c,1
Alexander the Great conquered up to which river in India?,Ganga,Indus,Vyas,Narmada,c,1
In which year was Alexander the Great born?,323 BC,356 BC,509 BC,27 BC,b,1
