Question,Option A,Option B,Option C,Option D,Correct Answer
Ali Akbar Khan was associated with which Gharana?,Agra gharana,Maihar gharana,Kirana gharana,Gwalior gharana,b
Kathak has three distinct forms named after cities where the dance tradition evolved. Which of the following options correctly lists these cities?,"Jaipur, Benaras, Lucknow","Prayagraj, Thiruvananthapuram, Surat","Ayodhya, Prayagraj, Jaipur","Banaras, Ayodhya, Lucknow",a
Which of the following best describes what 'Gharanas' represent in the context of Indian music?,Modern experimental music styles in India,The different types of musical instruments used in India,The rich traditions and styles passed down through generations of musicians in India,A fusion of Indian and Western classical music,c
Which of the following Gharanas is associated with Ali Akbar Khan?,Agra gharana,Maihar gharana,Kirana gharana,Gwalior gharana,b
With which Gharana is Bundu Khan primarily associated?,Agra Gharana,Delhi Gharana,Kirana Gharana,Mewati Gharana,b
Identify the INCORRECT pairing of musician and Gharana according to the text.,Gangubai Hangal - Kirana,Ali Akbar Khan - Maihar,Bade Ghulam Ali Khan - Patiala,Amir Khan - Patiala,d
"Match the following Kathak Gharanas with their respective cities:

I. Jaipur
II. Benaras
III. Lucknow

A. Lucknow
B. Jaipur
C. Benaras

Choose the correct sequence:","I-A, II-B, III-C","I-B, II-C, III-A","I-C, II-A, III-B","I-A, II-C, III-B",b
In which year were Kumari Asthana and Nalin Asthana conferred with the Padma Shri award for their contribution to Kathak dance?,2020,2021,2022,2023,c
Which of the following is NOT one of the cities after which the Kathak 'gharanas' are named?,Jaipur,Benaras,Lucknow,Prayagraj,d
"Prabha Atre, who received the Padma Vibhushan Award in 2022, belongs to which Gharana?",Mewati gharana,Indore gharana,Kirana gharana,Agra gharana,c
Who are credited as the founders of the Patiala Gharana?,Gaghe Nazir Khan,Oswami Lalji Maharaj,Fateh Ali Khan and Ali Baksh Khan,Chhaju Khan,c
Vijay Kichlu is associated with which of the following Gharanas?,Gwalior Gharana,Agra Gharana,Patiala Gharana,Jaipur Gharana,b
Which Padma Vibhushan awardee belongs to the Kalka Bindadin gharana of Kathak?,Kelucharan Mohapatra,Sitara Devi,Birju Maharaj,Damayanti Joshi,c
Siyaram Tewari belongs to which music Gharana?,Bettiah,Darbhanga,Dagari,Kirana,b
Who is considered the pioneer and founder of the Kirana Gharana of Hindustani music?,Bhimsen Joshi,Firoz Dastur,Abdul Karim Khan,Sawai Gandharva,c
Pandit Achhan Maharaj was a leading exponent of which Gharana of Kathak?,Benaras,Jaipur,Lucknow,Raigarh,c
Which of the following individuals belongs to the Patiala Gharana?,Nathu Khan,Abdul Wahid Khan,Chhaju Khan,Ali Baksh Khan,d
The composition blend of Khayal and Dhrupad Dhamar styles is characteristic of which Gharana?,Indore Gharana,Agra Gharana,Patiala Gharana,Gwalior Gharana,b
"Pandit Rattan Mohan Sharma, a Tansen singer, is associated with which Gharana?",Agra Gharana,Talwandi Gharana,Mewati Gharana,Patiala Gharana,c
Singers performing the Khandar Vani and Gauhar Vani styles are associated with which Gharana?,Darbhanga Gharana,Talwandi Gharana,Dagar Gharana,Bettiah Gharana,c
Who is credited with founding the Lucknow Gharana of Kathak?,Shyam Kumar,Ishwari Prasad,Bhagwan Ram,Ram Kumar,b
The Gundecha brothers are related to which Hindustani music Gharana?,Agra Gharana,Indore Gharana,Dagar Gharana,Patiala Gharana,c
Pandit Kalka Prasad played a crucial role in developing which Kathak Gharana during the time of Wajid Ali Shah?,Lucknow Gharana,Jaipur Gharana,Benaras Gharana,Raigarh Gharana,a
Lalita J. Rao is associated with which Gharana?,Agra gharana,Benaras gharana,Jaipur gharana,Kirana gharana,b
Which musician duo is part of the Khayal singing lineage of the Banaras Gharana?,Subhan Kasim and Subhan Bab,Salamat Ali and Nazakat Ali Khan,Rajan and Sajan Mishra,Sandhya and Prasun Banerjee,c
Siyaram Tewari is associated with which music Gharana?,Kirana,Dagari,Bettiah,Darbhanga,d
Who among the following belongs to Patiala Gharana?,Nathu Khan,Chhaju Khan,Abdul Wahid Khan,Ali Baksh Khan,d
Which Gharana is known for blending Khayal with Dhrupad and Dhamar traditions?,Indore Gharana,Gwalior Gharana,Agra Gharana,Patiala Gharana,c
In which Gharana do singers perform the Khandar Vani and Gauhar Vani?,Bettiah Gharana,Dagar Gharana,Darbhanga Gharana,Talwandi Gharana,b
Who founded the Lucknow Gharana of Kathak?,Shyam Kumar,Ishwari Prasad,Ram Kumar,Bhagwan Ram,b
Who played a crucial role in shaping the Lucknow Kathak Gharana during the time of Wajid Ali Shah?,Pandit Bindadin Prasad,Pandit Thakur Prasad,Pandit Kalka Prasad,Ustad Bakhtawar Khan,c
Rajan and Sajan Mishra are part of the Khayal singing lineage of which Gharana?,Subhan Kasim and Subhan Bab,Salamat Ali and Nazakat Ali Khan,Sandhya and Prasun Banerjee,Banaras Gharana,d
Vijay Kichlu belongs to which Gharana?,Gwalior Gharana,Patiala Gharana,Agra Gharana,Jaipur Gharana,c
Pandit Arvind Thatte belongs to which of the following gharanas?,Indore gharana,Mewati gharana,Benaras gharana,Agra gharana,b
Which of the following is a style of Carnatic music?,Swarajati,Chaturang,Dhamar,Dhrupad,a
Sawai Gandharva was associated with which of the following gharanas?,Agra gharana,Indore gharana,Kirana gharana,Benaras gharana,c
Krishnarao Shankar Pandit belonged to which of the following music gharanas?,Agra gharana,Mewati gharana,Atrauli gharana,Gwalior gharana,d
"Kishori Amonkar, a Padma Vibhushan awardee, belongs to which of the following music gharanas?",Mewati gharana,Jaipur gharana,Agra gharana,Indore gharana,b
Which of the following statements is INCORRECT regarding Sawai Gandharva?,He was a leading exponent of Kirana Gharana.,He was a disciple of Abdul Karim Khan.,He was associated with the Agra gharana.,He was associated with Kirana Gharana.,c
"Kishori Amonkar, a Padma Vibhushan awardee, belonged to which music gharana?",Agra gharana,Jaipur gharana,Mewati gharana,Indore gharana,b
Which statement is NOT correct regarding Swarajati?,It combines raga.,It is a compositional form in Hindustani music.,It combines tala.,It combines bhava.,b
