Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following statements is INCORRECT regarding Uttar Pradesh?,Lucknow is its legislative capital.,It is the most populous state in India.,It covers 9.5 % of India's area.,Prayagraj is its judicial capital.,c
What was the name of Uttar Pradesh before independence?,United Kingdom,United States,United Provinces,Uttaranchal,c
Until when was Agra the capital of Uttar Pradesh?,From 1858,From 1921,From 1836,From 1935,c
From which year did Prayagraj become the capital of Uttar Pradesh?,1836,1921,1858,1935,c
In which year was Lucknow made the capital of Uttar Pradesh completely?,1921,1858,1935,1836,c
When was the first Uttar Pradesh Day announced?,2018,2016,2017,2019,c
"On whose suggestion was Uttar Pradesh Day celebrated for the first time on January 24, 2018?",Chief Minister,Prime Minister,Governor Ram Naik,President,c
In which year was the state of Uttar Pradesh reorganized?,"November 9, 2000","November 1, 1956","January 24, 2018",1989,b
In which year was Hindi given the status of the official language in Uttar Pradesh?,1968,1989,1956,1949,d
From when was Hindi made compulsory in offices in Uttar Pradesh?,Since 1949,Since 1956,Since 1968,Since 1989,c
In which year was Urdu given the status of the second official language of Uttar Pradesh?,1949,1968,1989,2000,c
When was Uttaranchal (present-day Uttarakhand) created by dividing Uttar Pradesh?,"November 1, 1956","January 24, 2018","November 9, 2000",1989,c
What is the total number of divisions in Uttar Pradesh?,75,17,4,18,d
Which is the newest division of Uttar Pradesh?,Lucknow,Prayagraj,Aligarh,Shahjahanpur,c
What is the total number of districts in Uttar Pradesh?,17,18,351,75,d
What is the total number of municipal corporations in Uttar Pradesh?,75,18,17,351,c
Which is the 17th municipal corporation of Uttar Pradesh?,Aligarh,Lucknow,Prayagraj,Shahjahanpur,d
What is the total number of tehsils in Uttar Pradesh?,17,75,351,58189,c
What is the total number of village panchayats in Uttar Pradesh?,351,17,75,58189,d
What is the total number of economic zones in Uttar Pradesh?,17,4,18,75,b
What is the state animal of Uttar Pradesh?,Sarus Crane,Flame of the Forest,Ashoka,Swamp Deer (Rucervus duvauceli),d
What is the state bird of Uttar Pradesh?,Ashoka (Saraca asoca),Flame of the Forest (Butea monosperma),Sarus Crane (Grus antigone),Swamp Deer (Rucervus duvauceli),c
What is the state tree of Uttar Pradesh?,Flame of the Forest (Butea monosperma),Ashoka (Saraca asoca),Sarus Crane (Grus antigone),Swamp Deer (Rucervus duvauceli),b
What is the state flower of Uttar Pradesh?,Sarus Crane (Grus antigone),Swamp Deer (Rucervus duvauceli),Ashoka (Saraca asoca),Flame of the Forest (Butea monosperma),d
Arrange the following cities in chronological order based on when they became the capital of Uttar Pradesh: 1. Lucknow (Completely) 2. Agra 3. Prayagraj 4. Lucknow (Partially),"2, 3, 4, 1","3, 2, 1, 4","1, 2, 3, 4","4, 3, 2, 1",a
"Match the following: A. State Animal, B. State Bird, C. State Tree, D. State Flower with 1. Sarus Crane (Grus antigone), 2. Flame of the Forest (Butea monosperma), 3. Ashoka (Saraca asoca), 4. Swamp Deer (Rucervus duvauceli).","A-4, B-1, C-3, D-2","A-1, B-2, C-3, D-4","A-2, B-3, C-4, D-1","A-3, B-4, C-1, D-2",a
What is the state fish of Uttar Pradesh?,Rohu,Chital,Hilsa,Pomfret,b
Which of the following is the state aquatic animal of Uttar Pradesh?,Gharial,Crocodile,Gangetic Dolphin,Turtle,c
Uttar Pradesh shares its longest border with which state?,Bihar,Rajasthan,Madhya Pradesh,Uttarakhand,c
Which country shares an international border with Uttar Pradesh?,Bhutan,China,Myanmar,Nepal,d
How many states border Sonbhadra district of Uttar Pradesh?,2,3,4,5,c
Which of the following Uttar Pradesh districts does NOT border Nepal?,Bahraich,Shravasti,Pilibhit,Agra,d
Which of these districts of Uttar Pradesh is surrounded on three sides by Madhya Pradesh?,Jhansi,Lalitpur,Mahoba,Chitrakoot,b
Who was the first Governor of Uttar Pradesh?,Vijayalakshmi Pandit,Sarojini Naidu,Sucheta Kripalani,Anandiben Patel,b
Who was the first Chief Minister of Uttar Pradesh?,Chaudhary Charan Singh,Sampurnanand,Pandit Govind Vallabh Pant,Kamlapati Tripathi,c
When was President's rule imposed for the first time in Uttar Pradesh?,"February 25, 1968 to February 2, 1969","March 8, 1970 to October 18, 1970","January 19, 1975 to January 21, 1976","February 17, 1980 to June 9, 1980",a
Which state shares the shortest border with Uttar Pradesh?,Bihar,Jharkhand,Himachal Pradesh,Rajasthan,c
Which of the following statements is INCORRECT regarding the districts bordering Delhi (Union Territory)?,Ghaziabad borders Delhi,Gautam Buddh Nagar borders Delhi,Baghpat borders Delhi,Meerut borders Delhi,d
What is the state sport of Uttar Pradesh?,Cricket,Kabaddi,Hockey,Football,c
How many states and union territories border Uttar Pradesh?,7,8,9,10,c
Who was the first woman Chief Minister of Uttar Pradesh?,Mayawati,Rajendra Kumari Bajpai,Sucheta Kripalani,Uma Bharati,c
Who was the first Deputy Chief Minister of Uttar Pradesh?,Kamlapati Tripathi,H. N. Bahuguna,Chaudhary Narayan Singh,Dinesh Pratap Singh,c
How many states border the Saharanpur district of Uttar Pradesh?,1,2,3,4,c
How many districts of Uttar Pradesh share a border with Nepal?,5,6,7,8,c
How many districts of Uttar Pradesh share a border with Madhya Pradesh?,9,10,11,12,c
How many districts of Uttar Pradesh share a border with Uttarakhand?,5,6,7,8,c
During which period was President's rule imposed for the first time in Uttar Pradesh?,"February 25, 1968 to February 2, 1969","March 18, 1970 to October 18, 1971","June 13, 1973 to March 8, 1974","April 30, 1977 to February 28, 1980",a
How many states border Sonbhadra district?,2,3,4,5,c
How many states border Saharanpur district?,1,2,3,4,c
Which of the following districts of Uttar Pradesh border Delhi (Union Territory)?,"Ghaziabad, Gautam Buddh Nagar and Meerut","Ghaziabad, Gautam Buddh Nagar and Baghpat","Ghaziabad, Hapur and Baghpat","Gautam Buddh Nagar, Baghpat and Aligarh",b
Which of the following districts is NOT one of the 7 districts of Uttar Pradesh that share a border with Nepal?,Maharajganj,Shravasti,Pilibhit,Lucknow,d
Which of the following districts is NOT one of the 11 districts of Uttar Pradesh that share a border with Madhya Pradesh?,Sonbhadra,Prayagraj,Basti,Agra,c
Which of the following districts is NOT one of the 7 districts of Uttar Pradesh that share a border with Uttarakhand?,Saharanpur,Bijnor,Moradabad,Mathura,d
Which districts of Uttar Pradesh border Delhi (Union Territory)?,Ghaziabad and Gautam Buddh Nagar,"Ghaziabad, Gautam Buddh Nagar and Meerut","Ghaziabad, Gautam Buddh Nagar and Baghpat",Gautam Buddh Nagar and Baghpat,c
Who holds the distinction of being the youngest Chief Minister of Uttar Pradesh?,Yogi Adityanath,Vishwanath Pratap Singh,Akhilesh Yadav,Chaudhary Charan Singh,c
Who served as Chief Minister of Uttar Pradesh for the maximum number of terms?,Akhilesh Yadav,Ms. Mayawati,Yogi Adityanath,Vishwanath Pratap Singh,b
Who was the first Dalit Chief Minister of Uttar Pradesh?,Yogi Adityanath,Akhilesh Yadav,Chaudhary Charan Singh,Ms. Mayawati,d
Who was the first individual to become Chief Minister of Uttar Pradesh for a second consecutive term?,Chaudhary Charan Singh,Vishwanath Pratap Singh,Akhilesh Yadav,Yogi Adityanath,d
Which of the following Chief Ministers of Uttar Pradesh also served as Prime Minister of India?,Akhilesh Yadav,Yogi Adityanath,Chaudhary Charan Singh and Vishwanath Pratap Singh,Ms. Mayawati,c
Who served as Governor of Uttar Pradesh for the maximum number of terms?,Chandrabhaal,Rajarshi Purushottam Das Tandon,Muhammad Shafi Qureshi and BL Joshi,Justice Vishambar Dayal,c
Who was the inaugural Speaker of the Legislative Assembly of Uttar Pradesh?,Satish Mahana,Atmaram Govind Kher,Kesari Nath Tripathi,Rajarshi Purushottam Das Tandon,d
Who held the position of Speaker of the Legislative Assembly of Uttar Pradesh for the most terms?,Satish Mahana,Rajarshi Purushottam Das Tandon,Atmaram Govind Kher and Kesari Nath Tripathi,Chandrabhaal,c
Who is the current Speaker of the 18th Legislative Assembly of Uttar Pradesh?,Atmaram Govind Kher,Kesari Nath Tripathi,Rajarshi Purushottam Das Tandon,Satish Mahana,d
Who was the first Lokayukta of Uttar Pradesh?,Chandrabhaal,Satish Mahana,Justice Vishambar Dayal,Rajarshi Purushottam Das Tandon,c
Who was the first Chairman of the Legislative Council of Uttar Pradesh?,Justice Vishambar Dayal,Satish Mahana,Rajarshi Purushottam Das Tandon,Chandrabhaal,d
Who served as Chief Minister of Uttar Pradesh for the shortest duration?,Yogi Adityanath,Ms. Mayawati,Akhilesh Yadav,Jagdambika Pal,d
What is the structure of the State Legislature in Uttar Pradesh?,Unicameral (Legislative Assembly only),Tricameral,Bicameral (Legislative Assembly and Legislative Council),None of the above,c
What is the total number of Lok Sabha seats in Uttar Pradesh?,31,100,403,80,d
What is the total number of Rajya Sabha seats in Uttar Pradesh?,80,100,403,31,d
What is the current membership of the Legislative Council in Uttar Pradesh?,31,80,100,403,c
What is the current number of seats in the Legislative Assembly of Uttar Pradesh?,80,100,425,403,d
Which district in Uttar Pradesh has the maximum number of assembly seats?,Mahoba,Shravasti,Prayagraj,Lalitpur,c
Which of the following districts have the least number of assembly seats?,Lucknow/Kanpur,Varanasi/Allahabad,Mahoba/Shravasti/Chitrakoot/Hamirpur/Lalitpur,Ghaziabad/Noida,c
What is the number of Lok Sabha seats reserved for Scheduled Castes (SC) and Scheduled Tribes (ST) in Uttar Pradesh?,17 (ST) and 0 (SC),0 (SC) and 17 (ST),10 (SC) and 7 (ST),17 (SC) and 0 (ST),d
For how long did Jagdambika Pal serve as the Chief Minister of Uttar Pradesh?,31 days,31 months,31 hours,31 years,c
Which of the following districts has the maximum number of assembly seats?,Lalitpur,Prayagraj,Shravasti,Hamirpur,b
How many Lok Sabha seats are there in Uttar Pradesh?,31,100,80,403,c
Identify the INCORRECT statement regarding Ms. Mayawati:,She served as Chief Minister for maximum times.,She was the first Dalit Chief Minister.,She served as Governor.,She served as Chief Minister for maximum times,c
What is the number of Rajya Sabha seats in Uttar Pradesh?,100,403,80,31,d
What is the total number of reserved seats in the State Legislative Assembly of Uttar Pradesh?,80 (78 SC + 2 ST),82 (80 SC + 2 ST),86 (84 SC + 2 ST),88 (86 SC + 2 ST),c
Which of the following is the largest parliamentary constituency in Uttar Pradesh in terms of the number of voters?,Lucknow,Kanpur,Allahabad,Ghaziabad,d
In which year was the Allahabad High Court established?,1862,1864,1866,1868,c
Who was the first Chief Justice of the Allahabad High Court?,John Edge,Robert Stuart,Walter Morgan,Alfred Wills,c
Where is the division bench of the Allahabad High Court located?,Prayagraj,Varanasi,Lucknow,Meerut,c
In which year was the Family Court established in Uttar Pradesh?,1980,1982,1984,1986,c
In how many districts of Uttar Pradesh are Commercial Courts constituted?,10,12,13,15,c
What is the sanctioned strength of judges in the Allahabad High Court?,120,140,150,160,d
In which year was the post of Lokayukta created in Uttar Pradesh?,1972,1975,1977,1980,b
"Until the year 2012, what was the tenure of the Lokayukta in Uttar Pradesh?",5 years,6 years,7 years,8 years,d
"As of February 2024, what is the revised tenure of the Lokayukta in Uttar Pradesh?",6 years or till the age of 65 years,5 years or till the age of 70 years,7 years or till the age of 72 years,8 years or till the age of 75 years,b
To whom does the Lokayukta submit his resignation?,Chief Minister,Chief Justice of Allahabad High Court,Governor,Speaker of the Legislative Assembly,c
Who is the present (7th) Lokayukta of Uttar Pradesh?,Justice Virendra Singh,Justice N. K. Mehrotra,Justice Sanjay Mishra,Justice Vishwambhar Dayal,c
Which Lokayukta has had the longest tenure in Uttar Pradesh (3607 days)?,Justice Vishwambhar Dayal,Justice Sanjay Mishra,Justice N. K. Mehrotra,Justice Virendra Singh,c
In how many phases were the 18th Uttar Pradesh Assembly elections held?,5 phases,6 phases,7 phases,8 phases,c
How many seats did the Bharatiya Janata Party win in the 18th Uttar Pradesh Assembly elections?,202 seats,225 seats,255 seats,273 seats,c
How many seats did the Samajwadi Party win in the 18th Uttar Pradesh Assembly elections?,99 seats,105 seats,111 seats,125 seats,c
During which period were the 7 phases of the 18th Uttar Pradesh Assembly elections held?,"January 10 to February 7, 2022","February 1 to March 1, 2022","February 10 to March 7, 2022","March 1 to April 7, 2022",c
How many women candidates were elected in the 18th Uttar Pradesh Assembly?,52,42,47,57,c
On what date did Yogi Adityanath take oath as Chief Minister of Uttar Pradesh?,"March 20, 2022","March 15, 2022","March 30, 2022","March 25, 2022",d
How many times has President's rule (Article 356) been imposed in Uttar Pradesh so far?,8 times,12 times,10 times,6 times,c
During which period was the last instance of President's rule imposed in Uttar Pradesh?,"March 8, 2002 to May 3, 2002","February 25, 1968 to March 10, 1969","March 10, 2002 to May 5, 2002","February 20, 1968 to April 30, 1969",a
Which Constitutional Amendment granted constitutional status to Panchayati Raj?,72nd Constitutional Amendment 1992,75th Constitutional Amendment 1993,73rd Constitutional Amendment 1992,74th Constitutional Amendment 1993,c
Which Constitutional Amendment conferred constitutional status upon municipal bodies?,72nd Constitutional Amendment 1992,73rd Constitutional Amendment 1992,74th Constitutional Amendment 1992,75th Constitutional Amendment 1993,c
In which year was the Uttar Pradesh Panchayat Law passed?,1952,1942,1947,1957,c
From what date did the Uttar Pradesh Panchayat Law (Amendment) Bill 1994 come into force in the state?,"April 12, 1994","April 22, 1994","May 2, 1994","May 12, 1994",b
How is the head of the Gram Panchayat elected?,Indirectly (by the public),Indirectly,Directly (by the public),Directly,c
How is the Block Chief of the Area Panchayat elected?,Directly (by the public),Directly,Indirectly (by the public),Indirectly,d
What is the approximate population range for the formation of a Nagar Panchayat?,"5,000 - 25,000","10,000 - 50,000","15,000 - 100,000","20,000 - 75,000",c
What should be the approximate population for the formation of a Municipal Corporation?,1 lakh or more,3 lakh or more,5 lakh or more,10 lakh or more,c
How many districts of Uttar Pradesh are included in the National Capital Region (NCR)?,Six districts,Seven districts,Nine districts,Eight districts,d
Which of the following districts is NOT currently included in the National Capital Region (NCR) of Uttar Pradesh?,Meerut,Shamli,Mathura,Ghaziabad,c
Which of the following districts of Uttar Pradesh are proposed to be included in the NCR?,"Mathura, Aligarh, Hathras, Saharanpur, Bijnor","Lucknow, Kanpur, Varanasi, Allahabad","Agra, Firozabad, Mainpuri, Etah","Bareilly, Moradabad, Rampur, Pilibhit",a
Which of the following is NOT considered a planned city of Uttar Pradesh?,Noida,Greater Noida,Lucknow,New Kanpur City,c
"Which of the following is NOT one of the largest divisions of Uttar Pradesh, each having 6 districts?",Kanpur,Lucknow,Meerut,Saharanpur,d
Which of the following divisions of Uttar Pradesh does NOT have 3 districts?,Mirzapur,Azamgarh,Basti,Kanpur,d
In which year was the Uttar Pradesh Information Commission established?,2002,2014,2005,1994,c
What is the tenure of the Information Commissioner of Uttar Pradesh?,5 years or till the age of 62 years,6 years or till the age of 65 years,3 years or till the age of 60 years,3 years or till the age of 65 years,d
Who was the first Chief Information Commissioner of Uttar Pradesh?,Raj Kumar Vishwakarma,A. P. Mishra,Babita Chauhan,M.A. Khan,d
Who is the present Chief Information Commissioner of Uttar Pradesh?,Justice A. P. Mishra,M.A. Khan,Raj Kumar Vishwakarma,Babita Chauhan,c
When was the Uttar Pradesh Human Rights Commission formed?,"April 23, 1994","October 7, 2002","September 14, 2005","March 9, 1993",b
Who was the first chairman of the Uttar Pradesh Human Rights Commission?,Babita Chauhan,M.A. Khan,Raj Kumar Vishwakarma,Justice A. P. Mishra,d
What is the tenure of the Chairman of the Human Rights Commission of Uttar Pradesh?,5 years or till the age of 65 years,6 years or till the age of 70 years,3 years or till the age of 70 years,3 years or till the age of 60 years,c
In which year was the Uttar Pradesh State Women's Commission formed?,1993,1994,2002,2005,c
Who is the current chairperson of the Uttar Pradesh Women's Commission?,Justice A. P. Mishra,M.A. Khan,Raj Kumar Vishwakarma,Babita Chauhan,d
When was the Uttar Pradesh State Election Commission formed?,"March 9, 1993","April 23, 1994","October 7, 2002","September 14, 2005",b
Where is the headquarters of the Uttar Pradesh State Election Commission located?,Prayagraj,Ghaziabad,"Lalkuan, Lucknow",Varanasi,c
What is the tenure of the Chairman of the Uttar Pradesh State Election Commission?,3 years or 65 years of age,5 years or 68 years of age,6 years or 70 years of age,5 years or 70 years of age,c
Under which Act was the Uttar Pradesh Special Security Force (UPSSF) formed?,Uttar Pradesh Police Act - 2010,Uttar Pradesh Security Act - 2015,Uttar Pradesh Special Security Force Act - 2020,Uttar Pradesh Security Force Act - 2000,c
Where is the headquarters of the UPSSF located?,Prayagraj,Kanpur,Lucknow,Ghaziabad,c
When was the Uttar Pradesh State Backward Classes Commission formed?,"April 23, 1994","October 7, 2002","March 9, 1993","July 18, 2014",c
In which year was the Minority Commission formed in Uttar Pradesh?,1993,2002,1994,2014,c
When was the NRI Department (for Non-Resident Indians) formed in Uttar Pradesh?,"March 9, 1993","April 23, 1994","October 7, 2002","July 18, 2014",d
When was the Uttar Pradesh Public Service Commission (UPPSC) established?,"April 1, 1937","March 9, 1993","April 23, 1994","July 18, 2014",a
Where is the headquarters of the Uttar Pradesh Public Service Commission (UPPSC) located?,Lucknow,Kanpur,Prayagraj,Ghaziabad,c
Where is the headquarters of Uttar Pradesh Subordinate Services?,Prayagraj,Kanpur,Lucknow,Ghaziabad,c
Which of the following divisions of Uttar Pradesh has 3 districts?,Kanpur,Lucknow,Meerut,Azamgarh,d
In which of the following cities is the Police Commissioner system NOT applicable in Uttar Pradesh?,Lucknow,Gautam Buddha Nagar,Allahabad,Ghaziabad,c
When was the Uttar Pradesh Education Service Commission established?,"August 1, 2022","August 1, 2023","September 20, 1974","September 28, 2006",b
In which city is the headquarters of the Uttar Pradesh Education Service Commission located?,Kanpur,Lucknow,Prayagraj,Varanasi,c
When was the Uttar Pradesh State Tourism Development Corporation (UPSTDC) established?,"September 28, 2006","April, 1983","September 20, 1974",1976,c
In which year was the Uttar Pradesh State Biodiversity Board established?,"September 20, 1974","September 28, 2006","April, 1983",1976,b
The Uttar Pradesh New and Renewable Energy Development Agency (UPNEDA) was established in which year?,2003,1974,1983,2000,c
What year was the Uttar Pradesh State Road Transport Corporation (UPSRTC) established?,1975,1976,2003,1961,b
Where is the headquarters of the Uttar Pradesh State Road Transport Corporation (UPSRTC) located?,Lucknow,Prayagraj,Kanpur,Varanasi,c
When was the Uttar Pradesh Rural Road Development Authority (UPRRDA) established?,2000,1975,2003,2007,c
In which city is the headquarters of the Uttar Pradesh Rural Road Development Authority (UPRRDA) located?,Prayagraj,Kanpur,Lucknow,Varanasi,c
In what year was the Uttar Pradesh Power Corporation Limited (UPPCL) established?,1985,2007,1974,2000,d
When was the Uttar Pradesh State Industrial Development Corporation (UPSIDC) established?,1961,1974,1975,1985,a
The headquarters of the Uttar Pradesh State Industrial Development Corporation (UPSIDC) is located in which city?,Lucknow,Prayagraj,Kanpur,Varanasi,c
When was Uttar Pradesh Jal Nigam established?,1961,1974,1975,2000,c
In what year was the Uttar Pradesh State Forest Corporation established?,1974,1975,1985,2003,a
Uttar Pradesh Industrial Development Authority (UPSIDA) was established in which year?,1961,1974,1975,1985,a
The headquarters of the Uttar Pradesh Industrial Development Authority (UPSIDA) is located in which city?,Lucknow,Kanpur,Prayagraj,Varanasi,b
In what year was the Uttar Pradesh Expressway Development Authority (UPEIDA) established?,2000,2003,2007,2010,c
When was the Uttar Pradesh Jal Vidyut Nigam Limited (UPJVL) established?,1961,1974,1985,2007,c
Which of the following is the most produced grain in Uttar Pradesh?,Rice,Wheat,Barley,Maize,b
How many districts of Uttar Pradesh are located in the 'Bundelkhand' region?,5,6,7,8,c
On which date was Value Added Tax (VAT) implemented in Uttar Pradesh?,"January 1, 2007","January 1, 2008","January 1, 2009","January 1, 2010",b
In which year was the Zamindari Abolition and Land Reforms Act implemented in Uttar Pradesh?,1950,1951,1952,1953,c
When was the 'Right to Free and Compulsory Education Act' implemented in Uttar Pradesh?,2008,2009,2010,2011,c
In which year was the Public Service Tribunal established?,1974,1975,1976,1977,c
"In what year did the Land Acquisition, Rehabilitation and Resettlement Act occur?",2010,2011,2012,2013,d
The Uttar Pradesh Education Service Commission was established on which date?,"August 1, 2023","September 20, 1974","September 28, 2006","April, 1983",a
The Zamindari Abolition and Land Reforms Act was introduced and implemented in Uttar Pradesh in which years respectively?,1948 and 1950,1950 and 1952,1952 and 1954,1954 and 1956,b
The Public Service Tribunal was established in which year?,1974,1975,1976,1983,c
In which year did the Real Estate (Regulation and Development) Act come into force?,2018,2017,2016,2015,c
Which of the following is NOT a main crop of the Western Plain Zone?,Sugarcane,Wheat,Rice,Gram,d
Which of the following is a main crop of the Bundelkhand Zone?,Sugarcane,Barley,Rice,Maize,c
The Bhabar and Terai region is formed from which rock group?,Bundelkhand Gneiss,Tertiary,Quaternary,Vindhyan,c
Ganga-Yamuna plain began in which period?,Archaic,Tertiary,Pleistocene,Quaternary,c
From which rock group were the Shivalik ranges formed?,Vindhyan Rock Group,Bundelkhand Gneiss,Quaternary Formation,Tertiary Formation,d
Bundelkhand Gneiss is formed from which rocks?,Sedimentary rocks,Metamorphic rocks,Ancient rocks of the Archaic period,Volcanic rocks,c
Which minerals are found in the Vindhyan rock group?,Coal and petroleum,Gold and silver,Limestone and dolomite,Iron and manganese,c
The Bhabar region is a narrow strip of what?,North of the Shivaliks,South of the Vindhyas,South of the Shivaliks,North of the Himalayas,c
What is the approximate maximum width of the Bhabar region?,2-4 km,20-30 km,8-16 km,40-50 km,c
From where to where does the Bhabar region extend?,Saharanpur to Prayagraj,Lucknow to Varanasi,Saharanpur to Kushinagar,Kanpur to Gorakhpur,c
What shapes do the rivers make in the Bhabar region?,Delta and Estuary,Oxbow lake and Meander,Alluvial fan and alluvial cone,Waterfall and Canyon,c
What effect does the width of Bhabar have on moving from west to east?,The width increases,The width remains constant,The width decreases,The width fluctuates,c
The Bhabhar and Terai region is formed from which rock group?,Tertiary Formation,Bundelkhand Gneiss,Vindhyan,Quaternary,d
What are the main crops of the Bundelkhand Zone?,"Rice, wheat, and sugarcane","Wheat, gram, rice, and sorghum","Rice, sugarcane, and sorghum","Wheat, sugarcane, and gram",b
Ganga-Yamuna plain begin in which period?,Archaic period,Pleistocene period,Tertiary Formation,Quaternary,b
The Himalayan mountain ranges were formed from which rock group?,Quaternary,Bundelkhand Gneiss,Tertiary Formation,Vindhyan,c
The Shivalik ranges were formed from which rock group?,Quaternary,Vindhyan Rock Group,Tertiary Formation,Bundelkhand Gneiss,c
The Vindhyan Rock Group is formed by?,Bundelkhand Gneiss,Quaternary Rocks,Tertiary Formation,Vindhyan Rock Group,d
Which of the following minerals are found in the Vindhyan rock group?,Gold and Silver,Limestone and Dolomite,Coal and Petroleum,Iron and Manganese,b
Why does the water of rivers go underground in the Bhabar region?,Due to sandy soil,Due to clayey soil,Due to rocky soil,Due to alluvial soil,c
Which of the following is NOT a main crop of the Bundelkhand Zone?,Wheat,Gram,Rice,Sugarcane,d
The Ganga-Yamuna plain began in which period?,Archaic period,Pleistocene period,Tertiary Formation,Vindhyan period,b
Shivalik ranges were formed from which rock group?,Quaternary,Bundelkhand Gneiss,Tertiary Formation,Vindhyan,c
Which rock group forms Bundelkhand Nisme?,Quaternary Rock Group,Tertiary Rock Group,Vindhyan Rock Group,Bundelkhand Gneiss Rock Group,c
The Bhabar region is a narrow strip located in which direction relative to the Shivaliks?,North,South,East,West,b
The Bhabar region extends from which location to which location?,Lucknow to Allahabad,Kanpur to Varanasi,Saharanpur to Kushinagar,Agra to Mathura,c
What happens to the width of the Bhabar region as one moves from west to east?,The width increases,The width decreases,The width remains constant,The width fluctuates randomly,b
The flat area with fine sediments to the south of the Bhavar is called?,Bhangar,Khadar,Lowland area,Delta,c
What is the average width of the Terai region?,10-20 km (up to 70-80 km in the east),20-40 km (up to 90-100 km in the east),15-30 km (up to 80-90 km in the east),25-35 km (up to 100-110 km in the east),c
Which of the following crops are most cultivated in the Terai region?,Wheat and Barley,Paddy and Sugarcane,Maize and Jowar,Cotton and Jute,b
Which river defines the western boundary of the Ganga-Yamuna plain area?,Gandak River,Ghaghara River,Yamuna River,Ganga River,c
By what other name is the Khadar region known?,Bangar area,Old alluvial area,Alluvial area,Plateau area,c
Which region's rivers are particularly known for the formation of ravines?,Bangar region,Terai region,Khadar region,Bundelkhand plateau,c
