Question,Option A,Option B,Option C,Option D,Correct Answer,Points
What approximate distance must exist between a listener and a reflecting surface for a distinct Echo to be heard?,34 meters,10 meters,17 meters,5 meters,c,1
What is the dual nature of light radiation?,Liquid and Gas,Solid and Liquid,Wave and Solid,Wave and Particle,d,1
What is the speed of light in a vacuum?,3×10^5 meters/second,3×10^10 meters/second,3×10^8 meters/second,3×10^6 meters/second,c,1
The sky appears blue due to which phenomenon?,Reflection of light,Refraction of light,Diffraction of light,Scattering of light,d,1
Why does the Sun appear red during sunrise and sunset?,Because the scattering of blue color is the least,Because the absorption of red color is the most,Because the scattering of red color is the least,Because the absorption of blue color is the most,c,1
Which type of mirror is commonly used as a 'Rear view mirror' in vehicles?,Plane Mirror,Concave Mirror,Convex Mirror,Parabolic Mirror,c,1
Which type of mirror is typically used for shaving purposes?,Plane Mirror,Convex Mirror,Concave Mirror,Cylindrical Mirror,c,1
Which type of lens is used to correct Myopia (Nearsightedness)?,Convex Lens,Cylindrical Lens,Bifocal Lens,Concave Lens,d,1
Which type of lens is utilized to correct Hypermetropia?,Concave Lens,Cylindrical Lens,Convex Lens,Plano-Convex Lens,c,1
The phenomenon of mirage formation is primarily attributed to:,Refraction of Light,Diffraction of Light,Total Internal Reflection of Light,Dispersion of Light,c,1
Optical Fiber technology operates on the principle of:,Refraction,Diffraction,Total Internal Reflection,Polarization,c,1
The primary reason for the brilliance and shine of a diamond is:,Refraction of light,Dispersion of light,Total Internal Reflection,High refractive index,c,1
An air bubble submerged in water behaves optically like a:,Convex Lens,Prism,Concave Lens,Convex Mirror,c,1
The image formed on the retina of the human eye is characterized as:,Virtual and Erect,Real and Erect,Virtual and Inverted,Real and Inverted,d,1
Rainbow formation is a result of which combination of optical phenomena?,Reflection and Diffraction,Refraction and Interference,"Reflection, Refraction, and Dispersion","Diffraction, Interference and Polarization",c,1
Red light is commonly used for danger signals because:,Its wavelength is the shortest,It is easily diffracted,Its scattering is the least,It is the most intense,c,1
Which of the following sets constitutes the primary colors?,"Red, Yellow, Blue","Cyan, Magenta, Yellow","Red, Green, Blue","Red, Yellow, Green",c,1
The color of a star is indicative of its:,Size,Distance from Earth,Temperature,Mass,c,1
Which modulation technique is employed for transmitting audio signals in television broadcasting?,Amplitude Modulation (AM),Phase Modulation (PM),Frequency Modulation (FM),Pulse Code Modulation (PCM),c,1
The filament of an electric bulb is typically made of:,Copper,Aluminum,Tungsten,Nichrome,c,1
What type of gas is commonly used to fill electric bulbs?,Oxygen,Carbon Dioxide,Argon,Hydrogen,c,1
"In artificial satellites, electrical energy is primarily derived from:",Batteries,Fuel Cells,Nuclear Reactors,Solar Cells,d,1
A transformer is principally used to:,Convert AC to DC voltage,Convert DC to AC voltage,Step up or step down AC voltage,Regulate DC voltage,c,1
What phenomenon underlies the creation of a Mirage?,Refraction of light,Diffraction of light,Total Internal Reflection of light,Scattering of light,c,1
Fuse wires used in homes are typically composed of an alloy of which two metals?,Copper and Zinc,Iron and Carbon,Tin and Lead,Aluminum and Silver,c,1
Which of the following devices is designed to convert electrical energy into mechanical energy?,Dynamo,Transformer,Electric Motor,Rectifier,c,1
A dynamo is responsible for converting which form of energy into electrical energy?,Chemical energy,Nuclear energy,Mechanical energy,Light energy,c,1
The filament in a 'Halogen Lamp' is made of which alloy?,Copper and Aluminum,Tungsten and Sodium,Silver and Gold,Nickel and Chromium,b,1
What does the acronym CFL stand for?,Charged Fluorescent Light,Compact Filament Lamp,Compact Fluorescent Lamp,Conductor Fluorescent Light,c,1
"In physics, what quantity does the unit 'Ohm' measure?",Electric Current,Electric Potential,Electrical Resistance,Electric Power,c,1
What is considered the primary cause of Earth's magnetic field?,Solar winds,Gravitational forces,Circulating currents inside the Core,Atmospheric pressure,c,1
What type of device is a typical mobile charger?,A Step-up Transformer,An Inverter,A Step-down Transformer,A Rectifier,c,1
On which fundamental principle is the Atom Bomb based?,Nuclear Fusion,Chemical Reaction,Nuclear Fission,Chain Reaction,c,1
The Hydrogen Bomb operates based on which principle?,Nuclear Decay,Nuclear Fission,Nuclear Fusion,Chemical Explosion,c,1
What process primarily generates the Sun's energy?,Chemical Combustion,Nuclear Fission,Nuclear Fusion,Gravitational Collapse,c,1
Which nuclear fuel is abundantly available in India?,Uranium,Plutonium,Thorium,Radium,c,1
Which of the following materials are used as a Moderator in a nuclear reactor?,Aluminum and Zinc,Heavy Water (D2O) and Graphite,Copper and Iron,Lead and Tin,b,1
What quantity is measured by the unit 'Curie'?,Electric Current,Radioactivity,Voltage,Resistance,b,1
What is the unit of measurement for Radioactivity?,Pascal,Curie,Hertz,Joule,b,1
RADAR is primarily used for:,Measuring temperature,Detecting objects using sound waves,Detecting objects using radio waves,Measuring atmospheric pressure,c,1
Heavy Water (D2O) and Graphite are used in nuclear reactors as:,Coolants,Fuels,Moderators,Shielding Materials,c,1
The LASER beam is used in which of the following applications?,Barcode scanning and metal cutting,Eye surgery and satellite communication,Eye surgery and barcode scanning,Satellite communication and metal cutting,c,1
IC chips used in computers are primarily composed of which material?,Germanium,Carbon,Silicon,Gold,c,1
What type of electromagnetic radiation is employed in television remote controls?,Ultraviolet radiation,Gamma radiation,Infrared radiation,X-ray radiation,c,1
What is the color of the 'Black Box' typically found in airplanes?,Black,Red,Orange,Blue,c,1
For what specific scientific phenomenon did Albert Einstein receive the Nobel Prize?,Relativity,Brownian Motion,Photoelectric Effect,Nuclear Fission,c,1
Who is credited with the discovery of X-Rays?,Einstein,Curie,Roentgen,Newton,c,1
What is the 'God Particle' also known as?,Neutrino,Higgs Boson,Electron,Quark,b,1
"To an astronaut observing from space, what color does the sky appear to be?",Blue,White,Black,Grey,c,1
What instrument is used to measure the acidity of acid rain?,Barometer,Thermometer,pH meter,Hydrometer,c,1
How many distinct colors are present in the sun's rays?,5,6,7,8,c,1
C.V. Raman was awarded the Nobel Prize for his work on which effect?,Doppler Effect,Raman Effect (Scattering of light),Greenhouse Effect,Photoelectric Effect,b,1
On what date is National Science Day celebrated in India?,28-Jan,28-Mar,28-Feb,28-Apr,c,1
What is the equivalent value of one Kilowatt-hour (kWh) expressed in Joules?,3.6×10^3 Joules,3.6×10^5 Joules,3.6×10^6 Joules,3.6×10^9 Joules,c,1
What is the nickname for the Higgs Boson?,The Standard Model Particle,The Fundamental Particle,The God Particle,The Elementary Particle,c,1
One Horse Power is approximately equal to how many Watts?,1000 Watts,500 Watts,746 Watts,250 Watts,c,1
What kind of quantity is Work?,Vector quantity,Base quantity,Scalar quantity,Derived quantity,c,1
The SI unit of Stress is?,Newton,Joule,Pascal,Watt,c,1
The SI unit of Volume is?,Liter,Cubic meter (m3),Gallon,Square meter (m2),b,1
The SI unit of Time is?,Minute,Hour,Second,Day,c,1
The SI unit of Magnetic Induction is?,Gauss,Tesla,Weber,Henry,b,1
The name of the unit for measuring frequency is?,Decibel (dB),Tesla,Pascal,Hertz (Hz),d,1
Supersonic speed is measured by?,Kilometers per hour,Mach number,Knots,Miles per hour,b,1
The SI unit of Dynamic Viscosity is?,Newton-second,Pascal,Pascal-second,Joule,c,1
The definition of the CGS system of measurement units is?,"Centimeter, Gram, Second","Kilogram, Meter, Second","Meter, Liter, Second","Centimeter, Liter, Second",a,1
1 Volt is equal to?,1 Coulomb per Joule,1 Joule per Ampere,1 Joule per Coulomb,1 Ampere per Joule,c,1
"Work, Kinetic Energy, and Potential Energy are what kind of quantities?",Vector quantities,Base quantities,Scalar quantities,Derived quantities,c,1
The physical quantity whose dimension is [ML2T−2] is?,Force,Pressure,Velocity,Work done,d,1
The unit of Wavelength is?,Hertz,Meter,Second,Pascal,b,1
What physical quantity does the unit 'Pascal-second' measure?,Dynamic Viscosity,Pressure,Stress,Power,a,1
Which of the following is the commercial unit of electric power?,Watt,Joule,Kilowatt-hour (kWh),Ampere,c,1
Which of the following statements is INCORRECT regarding units?,The unit of Atmospheric Pressure is Bar.,The unit of Power is Joule/second (or Watt).,The unit of Force in the S.I. system is Pascal.,The unit of Work and Energy is Joule.,c,1
What is measured by the Mach number?,Subsonic speed,Infrasonic speed,Supersonic speed,Transonic speed,c,1
"Match the following units with their corresponding physical quantities:

Column I
(A) Electric Current
(B) Volume
(C) Magnetic Induction
(D) Time

Column II
(1) Second
(2) Tesla
(3) Ampere
(4) Cubic meter

Choose the correct sequence:","A-3, B-4, C-2, D-1","A-1, B-2, C-3, D-4","A-4, B-3, C-1, D-2","A-2, B-1, C-4, D-3",a,1
Which of the following represents units of the same physical quantity?,Watt and Volt,Ampere and Ohm,Joule and Calorie,Coulomb and Farad,c,1
Which of the following statements is correct regarding Electric Potential?,It is a vector quantity.,It is a scalar quantity.,It has both magnitude and direction.,It is measured in Amperes.,b,1
What is 'Ringelmann Scale' used to measure?,Wind speed,Air pressure,Density of smoke,Sound intensity,c,1
Approximately how many liters are there in one 'Barrel' of oil?,100 Liters,200 Liters,159 Liters,120 Liters,c,1
"When a rock is brought from the surface of the Moon to Earth, what changes?",Its mass will change.,Its weight will not change.,Its weight will change but mass will not.,Both mass and weight will change.,c,1
What type of quantity is Displacement?,Scalar quantity,Tensor quantity,Vector quantity,Base quantity,c,1
"What unit of measurement, when multiplied by 0.39, gives 'Inch'?",Meter,Millimeter,Centimeter,Kilometer,c,1
Megawatt is the unit of measuring electricity which is?,Consumed,Generated,Stored,Transmitted,b,1
A speed of 100 Knots is equal to?,100 miles per hour,120 miles per hour,115 miles per hour,90 miles per hour,c,1
Which of the following is NOT a unit of distance?,Centimeter,Kilometer,Square mile,Millimeter,c,1
Which of the following physical quantities represents vector magnitude?,Speed,Force,Volume,Mass,b,1
What is the unit for measuring food energy?,Joule,Watt,Calorie,Erg,c,1
"In the CGS system, what is the unit of Magnetic Intensity?",Tesla,Oersted,Gauss,Weber,b,1
What non-SI unit measures the abundance of light intensity?,Tesla,Oersted,Nit,Angstrom,c,1
What physical quantity is measured in Tesla?,Magnetic Induction,Magnetic Flux Density,Magnetic Intensity,Sound Intensity,b,1
What is measured in the unit called Gauss?,Magnetic Flux Density,Magnetic Induction,Magnetic Field Strength,Illuminance,b,1
Which base unit represents one Coulomb of electric charge per second?,Kelvin,Ampere,Mole,Pascal,b,1
What is the unit of Entropy?,Decibel,Joule per Kelvin,Mole,Siemens,b,1
What is the basic SI unit of Amount of Substance?,Ampere,Kelvin,Mole,Pascal,c,1
Parsec is a unit of measurement for?,Volume,Length (Distance),Density,Time,b,1
Angstrom is a unit of measurement for?,Electric Charge,Length (Wavelength),Power of a lens,Electrical Conductance,b,1
1 Pascal is equal to?,1 Newton per square meter,1 Joule per Kelvin,1 Coulomb per second,1 Ampere per meter,a,1
Diopter is the unit of?,Electric Charge,Power of a lens,Magnetic Flux,Electrical Conductance,b,1
The unit of Electrical Conductance is?,Weber,Henry,Siemens,Farad,c,1
What is the unit of the physical quantity 'Jerk'?,Meter per second,Meter per second squared,Meter per second cubed (m/s3),Newton-second,c,1
The unit of the physical quantity 'Young's Modulus' is?,Weber,Tesla,Pascal,Henry,c,1
The unit of the physical quantity 'Heat Capacity' is?,Pascal,Joule per Kelvin,Newton-second,Ampere per meter,b,1
The unit of the physical quantity 'Momentum' is?,Joule per Kelvin,Ampere per meter,Newton-second,Meter per second cubed,c,1
What is the unit of Relative Density?,Pascal,Mole,It has no unit,Kelvin,c,1
For which physical quantity is the unit Pascal NOT used?,Young's Modulus,Moment of Inertia,Heat Capacity,Relative Density,b,1
The unit of Illuminance (Jyoti) is:,Weber,Lux,Henry,Siemens,b,1
The basic SI unit of Thermodynamic Temperature is:,Celsius,Fahrenheit,Kelvin,Joule,c,1
The formula for Pressure in physics is:,Area / Force,Force × Area,Force / Area,Mass × Acceleration,c,1
'Torr' is the unit of:,Volume,Pressure,Temperature,Energy,b,1
For which quantity does the unit of time appear twice in the denominator?,Velocity,Force,Acceleration,Energy,c,1
What is the relation between atm and bar?,1 atm = 0.987 bar,1 atm = 1.013 bar,1 atm = 1.1 bar,1 atm = 0.9 bar,b,1
1 Pound is equal to how many Ounces?,10 Ounces,12 Ounces,16 Ounces,20 Ounces,c,1
Mohs scale is used for what purpose?,Measuring wind speed,Measuring electric current,Measuring the hardness of minerals,Measuring solar radiation,c,1
One Nanometer is equivalent to how many meters?,10−6 meters,10−12 meters,10−9 meters,10−3 meters,c,1
Which instrument is used by meteorologists to measure solar radiation on a hemispherical area of incidence on a flat surface?,Ammeter,Anemometer,Pyranometer,Tachometer,c,1
When are two vectors considered equal?,When their magnitudes are the same,When their directions are opposite,When both their magnitude and direction are the same,When their directions are perpendicular,c,1
The unit of Power of a Lens is:,Watt,Hertz,Diopter,Pascal,c,1
An Anemometer measures:,Electric current,Wind speed,Speed of rotation,Solar radiation,b,1
A Tachometer measures:,Wind speed,Electric current,Speed of rotation,Solar radiation,c,1
"According to the text, which of the following is a scalar quantity?",Torque,Electric Field,Young's Modulus,Acceleration,c,1
Which of the following statements is INCORRECT based on the provided text?,The unit of Pressure is Pascal.,The unit of Power of a Lens is Diopter.,The unit of Heat is Kelvin.,The unit of Force is Newton.,c,1
Which of the following is the SI unit of Mass?,Newton,Kilogram,Joule,Pascal,b,1
Knot is the unit of?,Power,Heat,Speed of a marine ship,Navigation distance,c,1
Which instrument measures the density of liquids?,Hygrometer,Lactometer,Fathometer,Pycnometer,d,1
What is the purpose of Terminal Doppler Weather Radar (T.D.W.R.)?,Measuring the depth of the ocean,Measuring rainfall,Landing aircraft in bad weather,Measuring wind speed,c,1
The unit of Acceleration is?,Newton,Joule,Meter/second²,Pascal,c,1
Which of the following tests can be used for lie detection during an investigation?,Calorie Test,Cusec Test,Narco Test,Hertz Test,c,1
Which unit is used to measure Navigation distance?,Decibel,Nautical Mile,Hertz,Knot,b,1
Which instrument measures the depth of the ocean?,Hygrometer,Lactometer,Fathometer,Anemometer,c,1
Identify the INCORRECT match:,Pressure - Pascal,Energy - Joule,Sound Intensity - Decibel,Frequency - Newton,d,1
"Match the following units with their corresponding physical quantities:
I. Watt
II. Knot
III. Calorie
IV. Angstrom

A. Heat
B. Wavelength
C. Power
D. Speed of a marine ship","I-A, II-B, III-C, IV-D","I-C, II-D, III-A, IV-B","I-D, II-C, III-B, IV-A","I-B, II-A, III-D, IV-C",b,1
What is measured by a Pyrometer?,Low temperature,Volume,High temperature,Density,c,1
Byte is related to which of the following?,Heat,Navigation distance,Sound intensity,Computer,d,1
Nautical Mile is the unit of?,Heat,Navigation distance,Sound intensity,Frequency,b,1
Which instrument is used to measure absorbed or evolved heat?,Hygrometer,Calorimeter,Lactometer,Pycnometer,b,1
The formula for calculating BMI is:,Height (in kg) / (Weight)² (in meters²),Weight (in meters) / (Height)² (in kg²),Weight (in kg) / (Height)² (in meters²),Height (in meters) / (Weight)² (in kg²),c,1
What unit is used to express high velocity?,Pascal,Mach,Angstrom,Joule,b,1
The standard unit of energy is:,Newton,Joule,Pascal,Angstrom,b,1
What is 'byte' primarily associated with?,Marine ships,Earthquakes,Computers,Fluid flow,c,1
What is 'Bar' a unit of?,Energy,Frequency,Pressure,Heat,c,1
What does a 'Knot' measure?,Navigation distance,Sound intensity,Speed of a marine ship,Atmospheric humidity,c,1
What is measured using Nautical Miles?,Sound Intensity,Navigation distance,Wind velocity,Rainfall,b,1
Which instrument is used to measure distance on a map?,Barometer,Opisometer,Pyrometer,Seismograph,b,1
Ultramicro time intervals (less than a nanosecond) are accurately measured by which of the following?,Barometer,Pyrometer,Seismograph,Atomic Clock,d,1
A Pyrometer is also known as a:,Radiation Thermometer,Atomic Clock,Seismograph,Luxmeter,a,1
What does a Pyrheliometer measure?,Atmospheric Pressure,Solar Radiation,Wind Speed,Ocean Depth,b,1
Liquid Crystals are used in which of the following?,Barometers only,"Wristwatches, display devices, and pocket calculators",Seismographs only,Pyrometers only,b,1
The Stethoscope used by doctors works on which principle?,Refraction of Light,Reflection/Superposition of sound waves,Dispersion of Light,Electromagnetic Induction,b,1
Mercury is generally used in thermometers because of its:,Low Conductivity,High Conductivity,Low Density,High Density,b,1
Which instrument is used to measure the height of an object?,Luxmeter,Seismograph,A Sextant,Barometer,c,1
The instrument used to measure the intensity of light is called a:,Pyrometer,Luxmeter,Barometer,Seismograph,b,1
In what unit is the depth of the sea usually measured?,Meters,Fathoms,Kilometers,Miles,b,1
Sound increases in a doctor's stethoscope due to:,Refraction of Sound,Absorption of Sound,Reflection of Sound,Diffraction of Sound,c,1
Which of the following instruments accurately measures ultramicro time intervals?,Barometer,Atomic Clock,Seismograph,Sphygmomanometer,b,1
A Radiation Thermometer is also known as?,Seismograph,Auxanometer,Pyrometer,Luxmeter,c,1
A pyrometer can be used to measure temperatures above:,500°C,1000°C,1500°C,2000°C,c,1
What does a seismograph measure?,Atmospheric pressure,Growth rate of plants,Intensity of an earthquake,Blood pressure,c,1
Which instrument is used to measure the growth rate of plants?,Barometer,Auxanometer,Seismograph,Pyrometer,b,1
What type of quantity is Torque?,Scalar quantity,Base quantity,Vector quantity,Derived quantity,c,1
What does a Polygraph machine primarily measure?,Body temperature,Brain activity and heart rate,Blood pressure,Muscle strength,b,1
What is measured using a pyrheliometer?,Atmospheric Pressure,Growth rate of plants,Solar Radiation,Blood Pressure,c,1
A Total Radiation Pyrometer is best suited for measuring which temperature?,200°C,2000°C,20°C,20000°C,b,1
A doctor's stethoscope operates on the principle of:,Refraction of light,Superposition of light waves,Reflection/Superposition of sound waves,Refraction of sound,c,1
What does a luxmeter measure?,Atmospheric pressure,Intensity of light,Growth rate of plants,Earthquake intensity,b,1
Which type of waves are employed in Sonography?,Infrared waves,Microwaves,Ultrasonic waves,Radio waves,c,1
What power of ten does 'Femto' represent?,10−9,10−12,10−18,10−15,d,1
A Wind Vane is used to determine what?,Wind speed,Wind direction,Air pressure,Humidity,b,1
Which instrument is used to detect acoustic signals underwater?,Barometer,Hygrometer,Hydrophone,Thermometer,c,1
What physical quantity can be measured using the Reaumur Scale?,Pressure,Volume,Temperature,Density,c,1
What is the primary function of a Stethoscope?,To measure blood pressure,To listen to sounds generated inside the body,To measure heart rate,To measure body temperature,b,1
What does a Venturimeter measure?,Air pressure,Humidity,Speed and rate of flow of fluid in a pipe,Temperature,c,1
Which instrument is used to identify and record earthquakes?,Hygrometer,Seismograph,Barometer,Thermometer,b,1
What is measured by a Standard Rain Gauge?,Air pressure,Humidity,Wind speed,Rainfall per unit area,d,1
Which instrument allows submarines to view objects above sea level?,Telescope,Microscope,Periscope,Binoculars,c,1
Which instrument is designed to determine wind direction?,Hygrometer,Barometer,Anemometer,Wind Vane,d,1
What is the function of a hydrophone?,Measure wind speed,Detect acoustic signals underwater,Measure air pressure,Detect seismic waves,b,1
What is the primary function of a voltmeter?,Measure resistance,Measure electric current,Measure electric potential difference (Voltage),Measure power consumption,c,1
What is the main purpose of a stethoscope?,To measure blood pressure,To listen to sounds generated inside the body,To measure heart rate,To measure lung capacity,b,1
Which instrument measures the speed and rate of fluid flow in a pipe?,Hygrometer,Venturimeter,Barometer,Thermometer,b,1
Which of the following can be measured using the Reaumur Scale?,Pressure,Humidity,Temperature,Velocity,c,1
"Which medical instrument is used to listen to sounds generated inside the body, primarily in the heart or lungs?",Altimeter,Stethoscope,Sphygmomanometer,Endoscope,b,1
The prefix 'Femto' corresponds to which power of ten?,-9 (10−9),-12 (10−12),-18 (10−18),-15 (10−15),d,1
What specific attribute does a Wind Vane instrument measure?,Wind speed,Air pressure,Wind direction,Air temperature,c,1
Which instrument allows submarines to observe objects above the water's surface?,Telescope,Microscope,Periscope,Spectroscope,c,1
A Sextant is used in which of the following?,Photography,Navigation,Measuring electric current,Measuring temperature,b,1
What is used to measure relative humidity?,Photometer,Hygrometer,Hyetometer,Eudiometer,b,1
What does an Eudiometer measure?,Wind Speed,Volume of Gas,Blood Pressure,Low Temperature,b,1
What does the Beaufort Scale measure?,Blood Pressure,Volume of Gas,Wind Speed,Low Temperature,c,1
Which instrument measures the blood pressure of arteries?,Hygrometer,Sphygmomanometer,Hyetometer,Photometer,b,1
Which instrument is used for the photography of the Sun?,Cyanometer,Spectroheliograph,Lucimeter,Ergometer,b,1
The sensory receptor related to detecting blood pressure is a:,Chemoreceptor,Mechanoreceptor,Photoreceptor,Thermoreceptor,b,1
What is the instrument for measuring low temperature called?,Hygrometer,Cryometer,Barometer,Photometer,b,1
Which instrument measures Work done?,Cyanometer,Ergometer,Lucimeter,Geiger Counter,b,1
"Which instrument detects and measures Alpha, Beta, and Gamma radiation?",Cyanometer,Ergometer,Lucimeter,Geiger Counter,d,1
The instrument used to measure the blueness of the sky or sea is called?,Cyanometer,Ergometer,Lucimeter,Geiger Counter,a,1
The tool used to measure specific gravity is called:,Aerometer,Galvanometer,Ohmmeter,Ammeter,a,1
A Hygrometer measures:,Pressure,Electric Current,Relative Humidity,Weight,c,1
What does a Spring Balance measure?,Pressure,Electric Current,Relative Humidity,Weight,d,1
A Stethoscope is used for:,Measuring Blood Pressure,Listening to Heart Sounds,Detecting Electric Current,Measuring Wind Speed,b,1
A Sextant instrument is primarily used in which field?,Meteorology,Navigation,Photography,Medicine,b,1
What instrument tests whether an object carries an electric charge?,Galvanometer,Ohmmeter,Electroscope,Ammeter,c,1
Which blood vessels' pressure is measured using a Sphygmomanometer?,Veins,Arteries,Capillaries,Venules,b,1
A mechanoreceptor detects which of the following?,Temperature,Light intensity,Blood pressure,Sound waves,c,1
The blueness of the sky is measured by what instrument?,Spectroheliograph,Cyanometer,Lucimeter,Photometer,b,1
Which instrument is used to measure time with high accuracy?,Hygrometer,Chronometer,Galvanometer,Barometer,b,1
A Spring Balance is used to measure:,Pressure,Temperature,Weight,Volume,c,1
A sextant instrument is primarily used for what purpose?,Measuring electric current,Testing electric charge,Navigation,Measuring wind speed,c,1
"The intensity of light from an unknown source, relative to a standard, is measured by a:",Hygrometer,Photometer,Hyetometer,Eudiometer,b,1
A Sphygmomanometer is used to measure the blood pressure in:,Veins,Arteries,Capillaries,Nerves,b,1
What instrument measures time precisely?,Lucimeter,Aerometer,Chronometer,Galvanometer,c,1
Specific gravity is measured using which tool?,Galvanometer,Ohmmeter,Aerometer,Ammeter,c,1
The Beaufort Scale is used to measure:,Blood pressure,Rainfall,Wind speed,Air pressure,c,1
What type of sensory receptor is responsible for detecting blood pressure?,Chemoreceptor,Photoreceptor,Mechanoreceptor,Thermoreceptor,c,1
An Ergometer measures:,Air pressure,Work done,Wind speed,Humidity,b,1
The Geiger Counter is designed to detect and measure which types of radiation?,Only Alpha,Only Beta,Only Gamma,"Alpha, Beta, and Gamma",d,1
