Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
Which of the following trade agreements primarily focuses on facilitating trade and investment among countries in the Bay of Bengal region?,SAFTA (South Asian Free Trade Area),BIMSTEC (Bay of Bengal Initiative),ASEAN (Association of Southeast Asian Nations),"BRICS (Brazil, Russia, India, China and South Africa)",b,"Indian Agriculture, Commerce & Trade",1
What is the key objective of the 'Agricultural Produce Grading and Marking Act' in India?,Regulating the prices of agricultural commodities,Setting standards for the quality and grade of agricultural products,Providing subsidies to farmers for adopting modern farming techniques,Promoting export of agricultural products,b,"Indian Agriculture, Commerce & Trade",1
Which of the following factors presents the GREATEST challenge to the diversification of Indian agriculture?,Limited availability of agricultural credit,Dependence on monsoon rains and inadequate irrigation infrastructure,Increasing demand for processed food products,Government policies promoting organic farming,b,"Indian Agriculture, Commerce & Trade",1
The 'Pradhan Mantri Kisan Sampada Yojana' is primarily focused on which aspect of the agricultural value chain?,Promoting soil health management practices,Developing modern infrastructure for food processing and preservation,Providing financial assistance to small and marginal farmers,Enhancing irrigation coverage in rain-fed areas,b,"Indian Agriculture, Commerce & Trade",1
"Which country recently launched the 'Chang'e-6' mission, aiming to retrieve samples from the far side of the Moon, a feat never before accomplished?",United States,Russia,China,India,c,Current National & International Events,1
"The 'Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)' scheme provides income support to farmers. What is the central objective of this scheme, beyond direct financial assistance?",Promoting organic farming practices nationwide.,Supplementing the financial needs of small and marginal farmers in procuring various inputs to ensure proper crop health and appropriate yields.,Providing subsidized irrigation facilities to all farmers.,Ensuring crop insurance coverage for all agricultural produce.,b,Current National & International Events,1
Which international organization recently released a report highlighting the escalating threat of 'digital authoritarianism' and its impact on global democracy?,United Nations,World Economic Forum,Freedom House,Amnesty International,c,Current National & International Events,1
"What is the primary focus of the 'Mission LiFE' initiative, advocated by India on international platforms?",Promoting space exploration and research.,Encouraging individual and collective action towards environmental protection and sustainability.,Advancing digital literacy among rural populations.,Strengthening global healthcare infrastructure.,b,Current National & International Events,1
The 'Global Biofuel Alliance' aims to accelerate the adoption of biofuels. Which of the following represents a key challenge the alliance seeks to address?,Ensuring uniform global regulations for cryptocurrency trading.,Facilitating technology transfer and promoting sustainable biofuel production and utilization.,Establishing a common currency for international trade.,Developing a global standard for carbon capture technologies.,b,Current National & International Events,1
The 'Deep Ocean Mission' launched by India aims to explore the deep sea for resources and biodiversity. What is the name of the manned submersible vehicle developed under this mission?,Vikram-S,Matsya 6000,Chandrayaan-3,Gaganyaan,b,Current National & International Events,1
"Which of the following factors primarily contributed to the recent surge in global crude oil prices, impacting various economies?",Decreased demand due to widespread adoption of electric vehicles.,Increased production by OPEC+ nations.,Geopolitical tensions and supply disruptions in key oil-producing regions.,Discovery of massive new oil reserves worldwide.,c,Current National & International Events,1
"The 'Digital India' program aims to transform India into a digitally empowered society. Which of the following is a critical component of this program, focusing on citizen access to government services?",Promoting indigenous manufacturing of semiconductor chips.,Establishing a nationwide network of Common Service Centres (CSCs).,Developing a national cryptocurrency.,Providing free laptops to all students.,b,Current National & International Events,1
"What is the core objective of the 'Operation Dost', launched by India recently?",A military exercise conducted with a neighboring country.,A humanitarian aid and disaster relief operation in Turkey and Syria.,A joint space exploration program with Russia.,A campaign to promote tourism in South Asia.,b,Current National & International Events,1
The 'Semiconductor Mission' in India aims to boost domestic semiconductor manufacturing. Which key incentive is offered to attract investments in this sector?,Subsidized electricity for all industries.,Financial support covering a significant portion of project cost.,Tax exemptions for exports.,Free land allocation for factories.,b,Current National & International Events,1
The concept of 'Economic Justice' as enshrined in the Indian Constitution most closely aligns with the objectives outlined in which of the following?,Fundamental Rights,Directive Principles of State Policy,Preamble,Fundamental Duties,b,"Indian Polity, Economy & Culture",1
Which of the following best describes the rationale behind the inclusion of 'adult suffrage' in the Indian Constitution?,To ensure uniform participation across all socio-economic strata,To empower the upper classes in decision making,To maintain social hierarchies,To limit political engagement,a,"Indian Polity, Economy & Culture",1
"The provisional government of Azad Hind, established by Subhash Chandra Bose, primarily aimed to achieve which of the following?",To act as a pressure group on the British government,To establish diplomatic ties with Allied nations,To mobilize resources for post-war reconstruction,To liberate India through armed struggle,d,"Indian Polity, Economy & Culture",1
Which of the following events had an immediate impact on the formation of the Indian Constituent Assembly?,The Quit India Movement,The Cabinet Mission Plan,The Round Table Conferences,The Simon Commission,b,"Indian Polity, Economy & Culture",1
The philosophy of Ramakrishna Mission primarily emphasizes which of the following approaches to spiritual realization?,Strict adherence to ritualistic practices,Service to humanity as a path to divinity,Renunciation of worldly affairs,Emphasis on caste-based social hierarchy,b,"Indian Polity, Economy & Culture",1
Which provision of the Indian Constitution directly addresses the issue of untouchability?,Article 14,Article 17,Article 19,Article 21,b,"Indian Polity, Economy & Culture",1
Which factor MOST influenced Subhash Chandra Bose's decision to form the Forward Bloc?,His disillusionment with the Gandhian approach to independence,His desire to collaborate with the Muslim League,His alignment with communist ideologies,His ambition to become the President of the Indian National Congress for life,a,"Indian Polity, Economy & Culture",1
What is the core principle underlying the concept of 'Separation of Powers' in the Indian Constitution?,Concentration of authority in the hands of the executive,Overlapping functions between different branches of government,Prevention of tyranny through checks and balances,Subordination of the judiciary to the legislature,c,"Indian Polity, Economy & Culture",1
The concept of 'Doctrine of Basic Structure' was introduced by the Supreme Court of India primarily to safeguard which aspect of the Constitution?,The amending power of the Parliament,The supremacy of the Parliament,The fundamental principles upon which the Constitution is founded,The powers of the President,c,"Indian Polity, Economy & Culture",1
Which of the following best exemplifies the 'Gandhian' influence on the Directive Principles of State Policy?,Uniform Civil Code,Promotion of international peace and security,Organization of village panchayats,Protection of monuments and places of national importance,c,"Indian Polity, Economy & Culture",1
What was a key difference in approach between Mahatma Gandhi and Subhash Chandra Bose regarding achieving Indian independence?,"Gandhi advocated for complete non-violence, while Bose explored armed resistance.","Gandhi focused solely on economic reforms, while Bose prioritized political reforms.","Gandhi aimed for Dominion status, while Bose sought complete independence.","Gandhi collaborated with the British, while Bose completely rejected any negotiation.",a,"Indian Polity, Economy & Culture",1
The establishment of the Election Commission of India aimed primarily to ensure which of the following?,Government control over the electoral process,Fairness and impartiality in elections,Dominance of a single political party,Limited participation of certain communities in elections,b,"Indian Polity, Economy & Culture",1
Which of the following Fundamental Rights can be suspended during a National Emergency declared under Article 352?,Right to Life and Personal Liberty (Article 21),Right to Constitutional Remedies (Article 32),Right to Freedom of Speech and Expression (Article 19),Right against Exploitation (Article 23),c,"Indian Polity, Economy & Culture",1
The ideology of Subhash Chandra Bose can be best described as a blend of which of the following?,Strict communism and pacifism,Democratic socialism and aggressive nationalism,Feudalism and religious conservatism,Anarchism and individualism,b,"Indian Polity, Economy & Culture",1
"The Swadeshi Movement, inspired by the teachings of Swami Vivekananda and the Ramakrishna Mission, primarily focused on which of the following economic strategies?",Promoting free trade with foreign nations,Encouraging the adoption of Western technologies,Boycotting foreign goods and promoting indigenous industries,Nationalizing all private enterprises,c,"Indian Polity, Economy & Culture",1
"Considering Venus's dense atmosphere and proximity to the sun, which of the following geological features would be LEAST likely to be found on its surface?",Shield volcanoes,Impact craters,Extensive fluvial erosion patterns,Lava plains,c,World Geography & Geography of India,1
The formation of the Himalayas is primarily a result of which type of plate tectonic activity?,Subduction of an oceanic plate under a continental plate,Divergence of two continental plates,Collision of two continental plates,Transform fault boundary,c,World Geography & Geography of India,1
The Pampas grasslands of South America are primarily associated with which type of climate?,Tropical monsoon,Arid desert,Temperate,Equatorial rainforest,c,World Geography & Geography of India,1
"Which of the following transportation corridors is MOST significantly impacted by seasonal monsoonal rainfall, leading to potential disruptions?",The Trans-Siberian Railway,The Panama Canal,The Indian National Highway 44,The Rhine River waterway,c,World Geography & Geography of India,1
The Congo River is notable for crossing the equator twice. What primary characteristic of its drainage basin contributes to this unique feature?,High sediment load,Extensive glacial activity,Located in a region with consistent rainfall throughout the year,Presence of large rift valleys,c,World Geography & Geography of India,1
"Which of the following cities is strategically located at the confluence of three major rivers, enhancing its importance as a transportation hub?",London,Cairo,Allahabad (Prayagraj),Rome,c,World Geography & Geography of India,1
"Compared to terrestrial planets, the Jovian planets (Jupiter, Saturn, Uranus, Neptune) in our solar system are characterized by:",Higher densities and shorter orbital periods,Lower densities and longer orbital periods,Higher densities and longer orbital periods,Lower densities and shorter orbital periods,b,World Geography & Geography of India,1
"What is the primary reason for the significantly higher surface temperatures on Venus compared to Earth, despite Venus being further from the Sun than Mercury?",Venus has a weaker magnetic field,Venus has a much thicker atmosphere composed primarily of greenhouse gases,Venus rotates much faster than Earth,Venus has a higher albedo (reflectivity),b,World Geography & Geography of India,1
The Andes Mountains are a direct result of which tectonic process?,Continental-continental collision,Oceanic-oceanic divergence,Oceanic-continental subduction,Transform faulting,c,World Geography & Geography of India,1
What geographical factor most significantly influences the distribution and characteristics of the Steppe grasslands?,High altitude and volcanic activity,Rain shadow effect and continental climate,Proximity to large bodies of water and oceanic currents,Latitude and constant direct sunlight,b,World Geography & Geography of India,1
The Suez Canal's strategic importance is primarily derived from its ability to:,Connect the Atlantic and Pacific Oceans,Provide freshwater resources to arid regions,Shorten the sea route between Europe and Asia,Generate hydroelectric power,c,World Geography & Geography of India,1
The Amazon River's vast discharge volume is primarily due to:,Extensive glacial meltwater contribution,High levels of industrial water usage,Heavy and consistent rainfall in its drainage basin,Large-scale diversion projects,c,World Geography & Geography of India,1
"Which of the following cities is historically significant as a major port along the Yangtze River, facilitating trade between inland China and the coast?",Beijing,Shanghai,Guangzhou,Hong Kong,b,World Geography & Geography of India,1
Which of the following planets in our solar system is characterized by its prominent ring system primarily composed of ice particles?,Mars,Jupiter,Saturn,Neptune,c,World Geography & Geography of India,1
The Deccan Plateau in India is primarily composed of:,Sedimentary rocks,Folded metamorphic rocks,Basaltic lava flows,Alluvial deposits,c,World Geography & Geography of India,1
Which of the following factors most significantly contributes to the high population density observed in the Indo-Gangetic plain?,Extensive mineral deposits,Favorable climate and fertile alluvial soil,Dense forest cover providing shelter,Proximity to major pilgrimage sites,b,"Population, Ecology & Urbanisation (India context)",1
The 'Chipko Movement' primarily aimed at protecting which of the following environmental resources?,Water bodies from pollution,Forests from deforestation,Wildlife from poaching,Soil from erosion,b,"Population, Ecology & Urbanisation (India context)",1
"Which schedule of the Indian Constitution deals with the powers, authority and responsibilities of Panchayats, crucial for local environmental management?",Ninth Schedule,Eleventh Schedule,Tenth Schedule,Twelfth Schedule,b,"Population, Ecology & Urbanisation (India context)",1
The concept of 'Cultural Landscape' in the context of urbanization primarily refers to:,The number of theatres and art galleries in a city,The geographical layout of the city according to ancient texts,"The interaction between human activity and the natural environment, shaping a distinct character of a place",The dominance of a particular religion or sect in the urban area,c,"Population, Ecology & Urbanisation (India context)",1
Which of the following initiatives is most directly associated with mitigating human-animal conflict in rapidly urbanizing areas of India?,Project Tiger,The National Clean Air Programme,Establishing Eco-bridges and corridors,The Namami Gange Programme,c,"Population, Ecology & Urbanisation (India context)",1
The 'Demographic Dividend' in India is most closely related to which of the following population characteristics?,A high dependency ratio,A large proportion of the population being elderly,A growing proportion of the working-age population relative to dependents,A rapidly declining birth rate,c,"Population, Ecology & Urbanisation (India context)",1
Which of the following is a primary objective of the National Wildlife Action Plan (NWAP) in India?,Promoting ecotourism in protected areas,Conserving and managing wildlife and their habitats,Increasing agricultural output in forest fringe areas,Relocating industries from urban to rural regions,b,"Population, Ecology & Urbanisation (India context)",1
"The urban heat island effect, a growing concern in Indian cities, is primarily caused by:",Increased rainfall in urban areas,The presence of large water bodies within the city,Absorption of solar radiation by buildings and paved surfaces,Lower levels of air pollution compared to rural areas,c,"Population, Ecology & Urbanisation (India context)",1
Which of the following is a significant consequence of rapid and unplanned urbanization on water resources in India?,Increased groundwater recharge,Reduced surface runoff,Depletion and contamination of water sources,Improved water quality due to advanced treatment technologies,c,"Population, Ecology & Urbanisation (India context)",1
The 'Environmental Impact Assessment' (EIA) process in India is primarily intended to:,Promote industrial growth at the expense of environmental concerns,Assess the potential environmental consequences of a proposed project,Reduce government regulation of developmental projects,Encourage the relocation of polluting industries to other countries,b,"Population, Ecology & Urbanisation (India context)",1
"If the price of sugar increases by 20%, by what percentage must a housewife reduce her consumption to maintain the same expenditure?",16.67%,20%,25%,15%,a,Reasoning & General Aptitude,1
A sum of money invested at compound interest amounts to ₹800 in 3 years and to ₹840 in 4 years. What is the rate of interest per annum?,2.5%,4%,5%,6.67%,c,Reasoning & General Aptitude,1
"In a Venn diagram, if set A represents 'teachers', set B represents 'scholars' and set C represents 'players', which area represents teachers who are also players but not scholars?","The intersection of A and B, excluding C","The intersection of A and C, excluding B","The intersection of B and C, excluding A","The intersection of A, B and C",b,Reasoning & General Aptitude,1
"Choose the word that is least like the other words in the group: Violin, Flute, Guitar, Piano.",Violin,Flute,Guitar,Piano,b,Reasoning & General Aptitude,1
"Six people – A, B, C, D, E and F – are sitting in a row. C is sitting to the left of D. B is sitting to the right of E. A is sitting between D and E. F is sitting to the right of C. Who are at the ends of the row?",C and E,F and B,B and D,F and E,b,Reasoning & General Aptitude,1
"What will be the Compound Interest on a sum of ₹10,000 after 2 years at the rate of 10% per annum, compounded annually?",₹2000,₹2100,₹1000,₹1100,b,Reasoning & General Aptitude,1
"Identify the diagram that best represents the relationship between 'Doctors', 'Engineers', and 'Professionals'.",Three separate circles,One circle containing two separate circles,"Two circles inside a larger circle, with a separate circle",Three intersecting circles,c,Reasoning & General Aptitude,1
"Choose the number which is different from the others: 144, 169, 196, 215",144,169,196,215,d,Reasoning & General Aptitude,1
"A, P, R, X, S and Z are seated in a row. S and Z are in the centre. A and P are at the ends. R is sitting to the left of A. Who is to the right of P?",A,S,X,Z,c,Reasoning & General Aptitude,1
"If a student scores 36% marks, he fails by 11 marks; but if he scores 48% marks, he passes by 5 marks. What is the maximum marks?",100,150,200,250,b,Reasoning & General Aptitude,1
A certain sum doubles itself in 5 years at simple interest. In how many years will it triple itself?,7.5 years,10 years,12 years,15 years,b,Reasoning & General Aptitude,1
"Which diagram represents the relationship between 'Dogs', 'Pets' and 'Cats'?",Two separate circles inside a bigger circle.,Two intersecting circles inside a bigger circle.,Three intersecting circles.,Three separate circles.,b,Reasoning & General Aptitude,1
"Choose the odd one out: January, March, July, September",January,March,July,September,d,Reasoning & General Aptitude,1
Five friends are sitting in a row. Ravi is to the right of Mohan. Lalit is between Ravi and Amit. Tina is to the left of Amit. Who is sitting in the middle?,Ravi,Lalit,Amit,Tina,b,Reasoning & General Aptitude,1
"If the numerator of a fraction is increased by 20% and the denominator is decreased by 5%, what is the value of the new fraction if the original fraction was 4/5?",24/25,48/55,10/11,12/11,a,Reasoning & General Aptitude,1
"Which of the following sentences correctly transforms the direct speech 'He said, ""I am going to the library""' into indirect speech?",He said that he is going to the library.,He said that he was going to the library.,He says that he was going to the library.,He told that he is going to the library.,b,General English,1
Choose the most appropriate one-word substitute for 'A person who is indifferent to both pleasure and pain'.,Ascetic,Stoic,Hedonist,Philistine,b,General English,1
Identify the antonym of the word 'Ephemeral'.,Transient,Fleeting,Permanent,Temporary,c,General English,1
Select the synonym for the word 'Meticulous'.,Careless,Sloppy,Negligent,Precise,d,General English,1
"Arrange the following sentences (P, Q, R, S) to form a coherent paragraph:
P: However, the results were not encouraging.
Q: Several teams attempted to climb the mountain.
R: Despite their best efforts, they failed to reach the summit.
S: The expedition was well-planned and equipped.",SQPR,QSPR,SRPQ,PQRS,a,General English,1
"In indirect speech, which tense change typically occurs when reporting a statement made in the present continuous tense?",Past perfect continuous,Past continuous,Present perfect,Simple past,b,General English,1
Which one-word substitution best describes 'A government by the people'?,Autocracy,Monarchy,Democracy,Oligarchy,c,General English,1
Which of the following is the closest antonym for 'Ameliorate'?,Improve,Worsen,Enhance,Alleviate,b,General English,1
Choose the word that is most similar in meaning to 'Ubiquitous'.,Scarce,Rare,Common,Unique,c,General English,1
"Which sequence creates a logical paragraph from these sentences? 
P: The software update caused several issues.
Q: Many users reported system crashes.
R: Initially, the new features seemed promising.
S: Therefore, the company issued a rollback.",RQPS,QSRP,PRQS,SPQR,a,General English,1
किस वाक्य में 'अधिकरण कारक' का प्रयोग हुआ है?,गंगा हिमालय से निकलती है।,राम ने रावण को बाण से मारा।,मेज पर पुस्तक रखी है।,वह आँखों से अंधा है।,c,General Hindi,1
'नौ दो ग्यारह होना' मुहावरे का अर्थ है:,इकट्ठा होना,भाग जाना,जोड़ना,लड़ाई करना,b,General Hindi,1
"Which traditional art form of Uttar Pradesh, characterized by intricate floral and geometric patterns, is primarily practiced by women during auspicious occasions?",Sanjhi,Madhubani,Chikankari,Pithora,a,Uttar Pradesh Special Knowledge,1
The 'Naukri Mela' organized by the Uttar Pradesh government primarily aims to address which socio-economic challenge?,Agricultural distress,Unemployment,Gender inequality,Environmental degradation,b,Uttar Pradesh Special Knowledge,1
What climatic condition primarily influences the agricultural practices and cropping patterns in the Terai region of Uttar Pradesh?,Arid and semi-arid climate,High humidity and heavy rainfall,Extreme temperature variations,Frequent dust storms,b,Uttar Pradesh Special Knowledge,1
"According to the latest census data, which district of Uttar Pradesh exhibits the highest population density?",Lucknow,Ghaziabad,Prayagraj,Kanpur Nagar,b,Uttar Pradesh Special Knowledge,1
"The 'Ramlila', a traditional performance art depicting the life of Lord Rama, holds significant cultural importance in Uttar Pradesh and is particularly prominent in which region?",Bundelkhand,Awadh,Purvanchal,Rohilkhand,b,Uttar Pradesh Special Knowledge,1
"Which tribal community in Uttar Pradesh is traditionally associated with the practice of shifting cultivation, locally known as 'Jhum'?",Tharu,Boksa,Raj Gond,Agariya,a,Uttar Pradesh Special Knowledge,1
The Uttar Pradesh government's 'One District One Product' (ODOP) scheme aims to promote which aspect of the state's economy?,Large-scale industries,"Micro, small and medium enterprises",Foreign direct investment,Agricultural exports,b,Uttar Pradesh Special Knowledge,1
"Which type of soil, characterized by its high clay content and water-retention capacity, is predominantly found in the eastern part of Uttar Pradesh?",Laterite soil,Black soil,Alluvial soil,Red soil,c,Uttar Pradesh Special Knowledge,1
"The 'Kumbh Mela', a major religious gathering held in Uttar Pradesh, rotates among which of the following cities?","Varanasi, Ayodhya, Mathura, Prayagraj","Haridwar, Nashik, Ujjain, Prayagraj","Varanasi, Ayodhya, Chitrakoot, Prayagraj","Mathura, Vrindavan, Gokul, Govardhan",b,Uttar Pradesh Special Knowledge,1
What is the primary function of the Uttar Pradesh State Human Rights Commission?,To enforce criminal laws,To protect and promote human rights,To regulate financial institutions,To oversee environmental protection,b,Uttar Pradesh Special Knowledge,1
Which memory type is primarily utilized for temporary storage of data and instructions during active processing by the CPU?,ROM,RAM,Hard Disk Drive,Solid State Drive,b,Elementary Knowledge of Computers,1
Which of the following best describes the core function of an operating system?,To provide internet connectivity.,To manage hardware and software resources.,To create documents and spreadsheets.,To play multimedia files.,b,Elementary Knowledge of Computers,1
What is the defining characteristic of 'open-source' software?,It is always free of charge.,Its source code is publicly available for modification and distribution.,It can only be used on specific operating systems.,It is developed by a single company.,b,Elementary Knowledge of Computers,1
What is the primary method by which a computer virus replicates itself?,By physically damaging hardware components.,By attaching itself to executable files or documents.,By draining the computer's battery.,By altering the computer's BIOS settings.,b,Elementary Knowledge of Computers,1
"In computing, what does the acronym 'GUI' stand for?",General User Interface,Graphical User Interface,Guided User Instruction,Global Utility Instrument,b,Elementary Knowledge of Computers,1
What does the abbreviation 'URL' commonly refer to in the context of the internet?,Universal Remote Locator,Uniform Resource Locator,Unified Retrieval Language,Ubiquitous Routing Logic,b,Elementary Knowledge of Computers,1
Which of the following is an example of an output device?,Microphone,Keyboard,Printer,Scanner,c,Elementary Knowledge of Computers,1
What is the role of a 'firewall' in computer security?,To encrypt data stored on the hard drive.,To prevent unauthorized access to a network or computer system.,To speed up internet browsing.,To automatically back up important files.,b,Elementary Knowledge of Computers,1
Which type of memory loses its data when power is turned off?,ROM,PROM,EEPROM,RAM,d,Elementary Knowledge of Computers,1
Which of these is a function of the operating system related to file management?,Managing CPU processing speed,Allocating memory to programs,Organizing files into directories,Controlling screen brightness,c,Elementary Knowledge of Computers,1
What is the purpose of anti-virus software?,To speed up the computer's processing speed,"To prevent, detect and remove malicious software",To manage the computer's hardware resources,To create backups of important files,b,Elementary Knowledge of Computers,1
What is 'cloud computing' primarily referring to?,Performing calculations using weather patterns,Storing and accessing data and programs over the Internet,Using a specific type of computer hardware,Developing software for mobile devices,b,Elementary Knowledge of Computers,1
What does the abbreviation 'LAN' stand for in networking?,Large Area Network,Local Area Network,Limited Access Node,Logical Address Network,b,Elementary Knowledge of Computers,1
Which of the following is considered both an input and an output device?,Keyboard,Printer,Touchscreen,Scanner,c,Elementary Knowledge of Computers,1
What is the function of a 'driver' in the context of computer hardware?,To physically install the hardware into the computer,To translate data into a human-readable format,To enable the operating system to communicate with the hardware,To provide power to the hardware component,c,Elementary Knowledge of Computers,1
