Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
The book 'Poverty and Un-British Rule in India' was authored by whom?,Mahatma Gandhi,Jawaharlal Nehru,Dadabhai Naoroji,Sardar Vallabhbhai Patel,c,"Indian Polity, Economy & Culture",1
Which of the following is not a feature of Indian Culture?,Diversity,Continuity,Homogeneity,Assimilation,c,"Indian Polity, Economy & Culture",1
Who is the ex-officio chairman of the Rajya Sabha?,Prime Minister,Vice-President,Speaker of Lok Sabha,President,b,"Indian Polity, Economy & Culture",1
When was the Goods and Services Tax (GST) implemented in India?,1st July 2017,1st April 2016,1st January 2015,1st August 2018,a,"Indian Polity, Economy & Culture",1
Which schedule of the Indian Constitution deals with the allocation of seats in the Rajya Sabha to the states and union territories?,Fifth Schedule,Fourth Schedule,Third Schedule,Second Schedule,b,"Indian Polity, Economy & Culture",1
The 'Kalinga Prize' is associated with which field?,Literature,Science,Sports,Journalism,b,"Indian Polity, Economy & Culture",1
What is the minimum age requirement to be eligible to become the President of India?,30 years,25 years,35 years,40 years,c,"Indian Polity, Economy & Culture",1
Who is authorized to issue coins in India?,Reserve Bank of India,State Bank of India,Ministry of Finance,NITI Aayog,c,"Indian Polity, Economy & Culture",1
Which amendment to the Indian Constitution is known as the 'Mini Constitution'?,44th Amendment,42nd Amendment,73rd Amendment,86th Amendment,b,"Indian Polity, Economy & Culture",1
Which dance form is associated with the state of Tamil Nadu?,Kathak,Bharatanatyam,Kuchipudi,Odissi,b,"Indian Polity, Economy & Culture",1
The concept of 'Five Year Plans' in India was borrowed from which country?,USA,Russia (erstwhile USSR),UK,Germany,b,"Indian Polity, Economy & Culture",1
Under which article does the President of India declare a financial emergency?,Article 352,Article 356,Article 360,Article 368,c,"Indian Polity, Economy & Culture",1
Which of the following is a classical language in India?,Hindi,English,Tamil,Urdu,c,"Indian Polity, Economy & Culture",1
What is the term length for a member of the Rajya Sabha?,4 years,3 years,6 years,5 years,c,"Indian Polity, Economy & Culture",1
The Himalayas are an example of which type of mountain?,Fold Mountains,Block Mountains,Volcanic Mountains,Residual Mountains,a,World Geography & Geography of India,1
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,c,World Geography & Geography of India,1
Which of the following rivers is known as the 'Sorrow of Bengal'?,Ganga,Brahmaputra,Damodar,Kosi,c,World Geography & Geography of India,1
The Richter scale is used to measure the magnitude of:,Wind speed,Earthquakes,Ocean currents,Air pressure,b,World Geography & Geography of India,1
What is the approximate length of the coastline of India?,5500 km,7500 km,9500 km,11500 km,b,World Geography & Geography of India,1
Which country is known as the 'Land of the Rising Sun'?,China,South Korea,Japan,Vietnam,c,World Geography & Geography of India,1
The Equator passes through which of the following continents?,North America,Europe,Africa,Australia,c,World Geography & Geography of India,1
In which state of India is the Jog Falls located?,Kerala,Karnataka,Tamil Nadu,Andhra Pradesh,b,World Geography & Geography of India,1
What is the largest ocean in the world?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,d,World Geography & Geography of India,1
The Thar Desert is located in which state of India?,Gujarat,Punjab,Rajasthan,Haryana,c,World Geography & Geography of India,1
Which of the following is the highest mountain peak in the world?,Mount K2,Mount Everest,Kangchenjunga,Lhotse,b,World Geography & Geography of India,1
What is the currency of Japan?,Won,Yen,Ringgit,Baht,b,World Geography & Geography of India,1
The Chilka Lake is located in which state of India?,West Bengal,Odisha,Andhra Pradesh,Tamil Nadu,b,World Geography & Geography of India,1
Which is the longest river in the world?,Amazon,Yangtze,Nile,Mississippi,c,World Geography & Geography of India,1
What is the capital of Brazil?,Rio de Janeiro,Sao Paulo,Brasilia,Buenos Aires,c,World Geography & Geography of India,1
When was the Environment (Protection) Act enacted in India?,1986,1972,1980,1974,a,"Population, Ecology & Urbanisation (India context)",1
Which state in India has the highest population density according to the 2011 census?,Uttar Pradesh,West Bengal,Bihar,Kerala,c,"Population, Ecology & Urbanisation (India context)",1
The term 'Ecology' was coined by whom?,Charles Darwin,Ernst Haeckel,A.G. Tansley,Alexander von Humboldt,b,"Population, Ecology & Urbanisation (India context)",1
In which year was the National Green Tribunal (NGT) established in India?,2005,2008,2010,2012,c,"Population, Ecology & Urbanisation (India context)",1
Which Indian city is known as the 'Garden City'?,Mumbai,Chennai,Bengaluru,Hyderabad,c,"Population, Ecology & Urbanisation (India context)",1
What is the primary objective of the 'Namami Gange Programme'?,Cleaning of Ganga River,Afforestation,Promoting renewable energy,Rural employment,a,"Population, Ecology & Urbanisation (India context)",1
Which of the following is a major cause of urban heat islands in Indian cities?,Increased green cover,High albedo surfaces,Industrial emissions,Deforestation and concrete construction,d,"Population, Ecology & Urbanisation (India context)",1
What does the term 'biotic component' refer to in ecology?,Living organisms,Soil and minerals,Air and water,Sunlight,a,"Population, Ecology & Urbanisation (India context)",1
Which Indian state has the highest percentage of its area under forest cover?,Madhya Pradesh,Arunachal Pradesh,Chhattisgarh,Odisha,b,"Population, Ecology & Urbanisation (India context)",1
The study of population is known as:,Pedology,Demography,Geography,Cartography,b,"Population, Ecology & Urbanisation (India context)",1
"If 'SYSTEM' is coded as '131625', what is the code for 'MOTHER'?",468231,682341,683241,486321,b,Reasoning & General Aptitude,1
"Find the missing number in the series: 4, 18, 48, 100, ?",180,196,200,204,a,Reasoning & General Aptitude,1
A is B's brother. C is A's mother. D is C's father. E is B's son. How is D related to A?,Grandfather,Great-Grandfather,Grandmother,Father,a,Reasoning & General Aptitude,1
"If South-East becomes North, North-East becomes West and so on, what will West become?",South-East,North-East,South-West,North-West,a,Reasoning & General Aptitude,1
"Choose the word which is least like the other words in the group: Violin, Flute, Guitar, Sitar, Piano",Violin,Piano,Guitar,Sitar,b,Reasoning & General Aptitude,1
Statements: All cups are plates. All plates are spoons. Conclusions: I. All spoons are cups. II. All cups are spoons. Which conclusion follows?,Only conclusion I follows,Only conclusion II follows,Neither I nor II follows,Both I and II follow,b,Reasoning & General Aptitude,1
Complete the analogy: Doctor : Hospital :: Chef : ?,Restaurant,Medicine,Food,Kitchen,a,Reasoning & General Aptitude,1
"Pointing to a photograph, a man said, ""I have no brother or sister but that man's father is my father's son."" Whose photograph was it?",His Nephew,His Son,His Father,His Grandson,b,Reasoning & General Aptitude,1
"Find the odd one out: January, March, May, July, August, October, December.",March,August,October,July,b,Reasoning & General Aptitude,1
"If A = 1, B = 2, C = 3, then what is the value of FACE?",24,20,26,22,a,Reasoning & General Aptitude,1
A clock is set right at 8 a.m. The clock gains 10 minutes in 24 hours. What will be the true time when the clock indicates 1 p.m. on the following day?,12:48 pm,1 pm,2 pm,12:28 pm,a,Reasoning & General Aptitude,1
"What is the next letter in the series: B, E, H, K, N, ?",Q,R,P,O,a,Reasoning & General Aptitude,1
"If '+' means '-', '-' means '*', '*' means '/' and '/' means '+', then 16 / 8 * 4 + 2 - 10 = ?",10,8,9,11,c,Reasoning & General Aptitude,1
Choose the pair that has a similar relationship to: 'Race : Fatigue',Artist : Creativity,Fast : Hunger,Exercise : Fitness,Study : Knowledge,b,Reasoning & General Aptitude,1
How many times are the hands of a clock at right angles in a day?,22,48,24,44,d,Reasoning & General Aptitude,1
Which part of speech is the word 'quickly'?,Adjective,Noun,Adverb,Preposition,c,General English,1
What is the plural form of 'child'?,Childs,Childes,Children,Childly,c,General English,1
Which of the following is a synonym for 'happy'?,Sad,Angry,Joyful,Upset,c,General English,1
Identify the tense used in the sentence: 'She will travel to Delhi next week.',Past Tense,Present Tense,Future Tense,Present Continuous Tense,c,General English,1
Which article is used before a word beginning with a vowel sound?,A,The,An,Of,c,General English,1
What is the antonym of 'brave'?,Courageous,Fearless,Cowardly,Bold,c,General English,1
Which punctuation mark is used to indicate possession?,Comma,Apostrophe,Semicolon,Colon,b,General English,1
Choose the correct spelling: ,Accomodate,Accommodate,Acomodate,Acommodate,b,General English,1
Which of these is a collective noun?,Table,Chair,Team,Book,c,General English,1
What is the meaning of the idiom 'break a leg'?,To be injured,To have bad luck,Good luck,To be clumsy,c,General English,1
The 'Chandrayaan' shabd mein kaunsi sandhi hai?,Visarga Sandhi,Vyanjan Sandhi,Swar Sandhi,Dirgha Sandhi,c,General Hindi,1
'Agnihotri' ka sandhi vichchhed kya hoga?,Agni + Hotri,Agni + Ahoti,Agnih + Hotri,Agni + Hootri,a,General Hindi,1
'Yathashakti' mein kaunsa samas hai?,Tatpurush Samas,Avyayibhav Samas,Karmadharaya Samas,Bahuvrihi Samas,b,General Hindi,1
Which of the following is a 'Tatsam' word?,Aag,Amrit,Aankh,Aansu,b,General Hindi,1
Which of the following is a 'Deshaj' word?,Agni,Rail,Lota,Adalat,c,General Hindi,1
What is the plural of 'Guru'?,Guruvarg,Ganj,Gurujan,Guran,c,General Hindi,1
What is the feminine gender of 'Vidwan'?,Vidushini,Vidya,Vidushi,Vidnavati,c,General Hindi,1
What is the synonym of 'Kamal'?,Pushp,Neer,Jalaj,Varun,c,General Hindi,1
What is the antonym of 'Uday'?,Poorva,Aagman,Ast,Prarambh,c,General Hindi,1
Muhavare 'Eedi Choti ka Jor Lagana' ka arth kya hai?,Bahut kam mehnat karna,Bahut adhik mehnat karna,Jhuth bolna,Bina matlab ka kaam karna,b,General Hindi,1
Which city is known as the 'Leather City of Uttar Pradesh'?,Agra,Kanpur,Lucknow,Meerut,b,Uttar Pradesh Special Knowledge,1
"The Ramabhar Stupa, a significant Buddhist site, is located in which district of Uttar Pradesh?",Kushinagar,Sarnath,Shravasti,Kaushambi,a,Uttar Pradesh Special Knowledge,1
Uttar Pradesh shares its border with how many states/UTs?,6,7,8,9,d,Uttar Pradesh Special Knowledge,1
What is the state flower of Uttar Pradesh?,Rose,Lotus,Marigold,Plash,d,Uttar Pradesh Special Knowledge,1
The Dudhwa National Park is located in which district of Uttar Pradesh?,Lakhimpur Kheri,Pilibhit,Bahraich,Shravasti,a,Uttar Pradesh Special Knowledge,1
Who was the first Chief Minister of Uttar Pradesh?,Govind Ballabh Pant,Sampurnanand,Sucheta Kriplani,Chandra Bhanu Gupta,a,Uttar Pradesh Special Knowledge,1
The city of Ayodhya is situated on the banks of which river?,Ganga,Yamuna,Saryu,Ghaghra,c,Uttar Pradesh Special Knowledge,1
What is the state bird of Uttar Pradesh?,Peacock,Sarus Crane,Indian Roller,Parrot,b,Uttar Pradesh Special Knowledge,1
The Uttar Pradesh State Museum is located in which city?,Agra,Lucknow,Allahabad,Kanpur,b,Uttar Pradesh Special Knowledge,1
Which district of Uttar Pradesh is known for its 'brassware' industry?,Moradabad,Varanasi,Firozabad,Bareilly,a,Uttar Pradesh Special Knowledge,1
What does 'CPU' stand for?,Central Processing Unit,Computer Peripheral Unit,Central Peripheral Upgrade,Computer Processing Upgrade,a,Elementary Knowledge of Computers,1
Which of the following is an example of an operating system?,Microsoft Word,Google Chrome,Windows 10,Adobe Photoshop,c,Elementary Knowledge of Computers,1
What is the function of RAM in a computer?,Permanent data storage,Temporary data storage for active programs,Controlling the display,Managing the network connection,b,Elementary Knowledge of Computers,1
Which of the following is a common input device?,Printer,Monitor,Keyboard,Speaker,c,Elementary Knowledge of Computers,1
What does 'URL' stand for?,Uniform Resource Locator,Universal Recording Locator,Unified Resource Locator,Universal Resource Locator,a,Elementary Knowledge of Computers,1
Which file extension is commonly used for image files?,.docx,.xlsx,.jpg,.pptx,c,Elementary Knowledge of Computers,1
What is the purpose of a web browser?,To create documents,To display web pages,To manage files,To send emails,b,Elementary Knowledge of Computers,1
What is 'copy-pasting' primarily used for?,Deleting files,Moving files,Duplicating data,Compressing files,c,Elementary Knowledge of Computers,1
Which of these is a cloud storage service?,Microsoft Excel,Adobe Reader,Google Drive,Mozilla Firefox,c,Elementary Knowledge of Computers,1
What is 'spam' in the context of email?,Important messages,Unsolicited bulk emails,Emails from known contacts,Secure emails,b,Elementary Knowledge of Computers,1
What does 'Wi-Fi' stand for?,Wireless Fidelity,Wired Fidelity,Wireless Function,Wired Function,a,Elementary Knowledge of Computers,1
What is the function of a search engine?,To create websites,To find information on the internet,To send emails,To edit photos,b,Elementary Knowledge of Computers,1
What is the purpose of an antivirus software?,To speed up the computer,To protect the computer from malware,To organize files,To create documents,b,Elementary Knowledge of Computers,1
Which of the following is an example of a social media platform?,Microsoft Word,Facebook,Adobe Photoshop,VLC Media Player,b,Elementary Knowledge of Computers,1
What is a 'firewall' in computer security?,A program to create fire,A network security system,A type of antivirus,A hardware component for cooling,b,Elementary Knowledge of Computers,1
