Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Subject,Points
The concept of 'Tirthankaras' is primarily associated with which of the following ancient Indian religious movements?,Bhagavata,Jainism,Shaivism,Buddhism,b,hard,Ancient History,1
"Consider the following statements regarding the Tughlaq dynasty:

1.  Muhammad bin Tughlaq shifted the capital from Delhi to Daulatabad.
2.  Firoz Shah Tughlaq established a separate department for slaves known as 'Diwan-i-Bandagan'.
3.  Ghiyas-ud-din Tughlaq introduced the system of 'Dagh' and 'Huliya'.

Which of the statements given above is/are correct?",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",a,medium,Medieval History,1
"Which Mughal emperor's reign is primarily characterized by a shift in focus from territorial expansion to consolidating existing territories and suppressing internal rebellions, marking a turning point in Mughal imperial policy?",Jahangir,Shah Jahan,Aurangzeb,Akbar,c,hard,Medieval History,1
Which of the following rivers forms the Jog Falls in Karnataka?,Sharavathi,Cauvery,Krishna,Godavari,a,easy,Indian Geography,1
"Consider the following statements regarding irrigation in India:
1.  Surface irrigation is more prevalent in the Indo-Gangetic plains.
2.  Groundwater irrigation has a higher efficiency compared to surface irrigation.
3.  Drip irrigation is suitable for water-scarce regions and horticultural crops.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,medium,Indian Geography,1
"Arrange the following tourist destinations in India from North to South:
1. Gulmarg
2. Kodaikanal
3. Nainital
4. Ooty
Select the correct answer using the code given below.",1-3-4-2,3-1-2-4,1-3-2-4,3-1-4-2,a,medium,Indian Geography,1
"Assertion (A): The Deccan Plateau is primarily composed of basaltic rocks.
Reason (R): Basaltic rocks are formed due to volcanic activity, which was prevalent in the Deccan region millions of years ago.
In the context of the above, which one of the following is correct?",Both A and R are true and R is the correct explanation of A,"Both A and R are true, but R is NOT the correct explanation of A","A is true, but R is false","A is false, but R is true",a,medium,Indian Geography,1
Which of the following climatic phenomena is primarily responsible for the retreat of the monsoon from India?,The weakening of the Somali jet current.,The formation of a high-pressure area over Northwest India.,Increased solar activity over the Tibetan Plateau.,The strengthening of the Mascarene High.,b,hard,Indian Geography,1
What is the name of the largest moon of Saturn?,Europa,Titan,Ganymede,Io,b,easy,World Geography,1
"Consider the following statements regarding the distribution of earthquakes:
1. The Pacific Ring of Fire is a major seismic zone.
2. Shield volcanoes are commonly associated with high-magnitude earthquakes.
3. Deep-focus earthquakes are generally more destructive than shallow-focus earthquakes.
Which of the statements given above is/are correct?",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",a,medium,World Geography,1
"Match List I (Type of Wind) with List II (Characteristic Feature) and select the correct answer using the code given below the lists:

List I
(Type of Wind)
A. Chinook
B. Foehn
C. Sirocco
D. Mistral

List II
(Characteristic Feature)
1. Warm, dry wind descending the leeward side of mountains
2. Cold, dry wind blowing down from the Alps towards France
3. Warm, dry wind descending the eastern slopes of the Rocky Mountains
4. Hot, dry, dusty wind blowing from the Sahara Desert to Southern Europe

Code:","A-3, B-1, C-4, D-2","A-1, B-3, C-2, D-4","A-2, B-4, C-1, D-3","A-4, B-2, C-3, D-1",a,medium,World Geography,1
Which of the following minerals is primarily associated with the Kolar Gold Fields in India (though the question is about a mineral that has global distribution)?,Manganese,Bauxite,Gold,Iron Ore,c,medium,World Geography,1
The Prime Meridian's influence on timekeeping is most directly related to which geographical phenomenon?,Variations in the Earth's magnetic field.,The Coriolis effect on ocean currents.,Earth's rotation and the establishment of time zones.,The occurrence of solar and lunar eclipses.,c,hard,World Geography,1
Which word is the antonym of 'benevolent'?,Kind,Malevolent,Generous,Compassionate,b,easy,General English,1
Identify the misspelt word:,Accommodate,Occasion,Comittee,Possession,c,easy,General English,1
Choose the most suitable word for the blank: The company hopes to ______ its market share next year.,Enhance,Diminish,Reduce,Lessen,a,easy,General English,1
"Rearrange the following sentences (P, Q, R, S) to form a coherent paragraph:
P: But the impression given is that the administration wants to take coercive action.
Q: The doctors are already over-burdened and underpaid.
R: The government proposes to bring in a law to make vaccination compulsory.
S: This will further alienate a community that is already suspicious of the state.","R, P, Q, S","R, Q, P, S","P, S, R, Q","Q, R, S, P",a,medium,General English,1
"In the following sentence, identify the segment which contains a grammatical error: 'The manager put a proposal before the board which was rejected outright.'",before the board,which was rejected,The manager put a proposal,outright,b,medium,General English,1
Choose the word which is most nearly OPPOSITE in meaning to 'Ephemeral'.,Transient,Eternal,Fleeting,Temporary,b,medium,General English,1
Which of the following words is MISSPELT?,Accommodation,Exaggerate,Millenium,Bureaucracy,c,medium,General English,1
"Read the passage carefully and answer the question that follows:

'The use of technology in education has opened up new possibilities for learning and teaching. Online courses, interactive simulations, and digital resources offer students access to a wealth of information and opportunities for personalized learning. However, the digital divide and the potential for distraction remain challenges to be addressed.'

What is the main idea of the passage?",Technology is detrimental to education due to distraction.,"Technology offers new opportunities in education, but challenges remain.",Online courses are the only way to learn effectively.,The digital divide has been completely eliminated in education.,b,medium,General English,1
Identify the sentence where the underlined phrase is grammatically incorrect and requires improvement:,"Having finished the work, he went home.",The reason for his failure is because he didn't study.,She is more intelligent than him.,"Despite of the rain, they decided to go for a walk.",d,hard,General English,1
"From the options below, select the word with the incorrect spelling:",Accommodation,Millennium,Occurence,Questionnaire,c,hard,General English,1
‘पुस्तकें धड़ाधड़ बिक रही हैं’ में ‘धड़ाधड़’ में कौन सा रूप है?,विशेषण,क्रिया विशेषण,सर्वनाम,क्रिया,b,easy,General Hindi,1
इनमें से कौन सा शब्द ‘हाथी’ का पर्यायवाची नहीं है?,हस्ती,वारण,करि,करवाल,d,easy,General Hindi,1
निम्नलिखित वाक्यांशों के लिए एक शब्द का चयन करें: 'जो कानून के विरुद्ध हो'?,अवैध,गैरकानूनी,संवैधानिक,विधि-सम्मत,b,medium,General Hindi,1
निम्नलिखित में से कौन सा शब्द संज्ञा का उदाहरण नहीं है?,गंगा,बुढ़ापा,चतुर,मेज़,c,medium,General Hindi,1
निम्नलिखित में से किस शब्द में 'अधि' उपसर्ग का प्रयोग नहीं हुआ है?,अधिपति,अध्यादेश,अधिमास,अधीन,d,hard,General Hindi,1
Which of the following is a popular programming language used for developing web applications?,MS Excel,Python,MS Word,PowerPoint,b,easy,Elementary Knowledge of Computers,1
What is the file extension for a Microsoft Word 2007 and later document?,.txt,.docx,.pdf,.xlsx,b,easy,Elementary Knowledge of Computers,1
What does the abbreviation 'URL' stand for in the context of internet?,Universal Resource Locator,Uniform Resource Locator,Ubiquitous Resource Locator,Unified Resource Locator,b,easy,Elementary Knowledge of Computers,1
Which of the following is NOT a programming language paradigm?,Imperative,Declarative,Object-Oriented,Quantum,d,medium,Elementary Knowledge of Computers,1
"Consider the following statements regarding logic gates:
1. A NAND gate is a combination of AND gate followed by a NOT gate.
2. A NOR gate gives a high output only when all its inputs are low.
3. XOR gate output is high when both inputs are same.

Which of the statements given above is/are correct?",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",a,medium,Elementary Knowledge of Computers,1
"Match List I (Abbreviation) with List II (Full Form) and select the correct answer using the code given below:

List I
(A) EEPROM
(B) CMOS
(C) DHCP
(D) VoIP

List II
(1) Complementary Metal-Oxide-Semiconductor
(2) Voice over Internet Protocol
(3) Dynamic Host Configuration Protocol
(4) Electrically Erasable Programmable Read-Only Memory

","A-4, B-1, C-3, D-2","A-1, B-2, C-3, D-4","A-2, B-3, C-4, D-1","A-3, B-4, C-1, D-2",a,medium,Elementary Knowledge of Computers,1
"Assertion (A): Compilers are generally more efficient than interpreters in executing programs.
Reason (R): Compilers translate the entire source code into machine code before execution, allowing for optimization.

In the context of the above two statements, which one of the following is correct?",Both A and R are true and R is the correct explanation of A.,Both A and R are true but R is NOT the correct explanation of A.,A is true but R is false.,A is false but R is true.,a,medium,Elementary Knowledge of Computers,1
Which of the following number systems has a base of 16?,Octal,Decimal,Binary,Hexadecimal,d,medium,Elementary Knowledge of Computers,1
Which data representation method is most commonly used for representing floating-point numbers in computers due to its efficiency in handling a wide range of values?,Two's Complement,IEEE 754 standard,Binary Coded Decimal (BCD),Gray Code,b,hard,Elementary Knowledge of Computers,1
"In digital logic, which gate is equivalent to the logical negation of the output of an AND gate?",NOR gate,XOR gate,NAND gate,OR gate,c,hard,Elementary Knowledge of Computers,1
"Which article of the Indian Constitution deals with the formation of new States and alteration of areas, boundaries or names of existing States?",Article 3,Article 368,Article 51A,Article 14,a,easy,Indian Polity,1
"Consider the following statements regarding the powers of the Governor of a State:
1. The Governor can reserve a bill passed by the State Legislature for the consideration of the President.
2. The Governor has the power to grant pardons, reprieves, respites or remissions of punishment.
3. The Governor appoints the Chief Minister and other ministers.
Which of the statements given above is/are correct?",1 and 3 only,2 only,"1, 2 and 3",1 only,a,medium,Indian Polity,1
Which of the following Constitutional Amendments deals with the addition of Fundamental Duties in the Indian Constitution?,44th Amendment,42nd Amendment,73rd Amendment,86th Amendment,b,medium,Indian Polity,1
"Match List I (Article of the Constitution) with List II (Subject Matter) and select the correct answer using the code given below the lists:

List I
(A) Article 143
(B) Article 226
(C) Article 32
(D) Article 131

List II
1. Original Jurisdiction of the Supreme Court
2. Power of High Courts to issue certain writs
3. Power of the Supreme Court to advise the President
4. Remedies for enforcement of rights conferred by Part III

Code:
","A-3, B-2, C-4, D-1","A-3, B-4, C-2, D-1","A-1, B-2, C-4, D-3","A-1, B-4, C-2, D-3",a,medium,Indian Polity,1
"Assertion (A): The Indian Constitution provides for a single integrated judicial system.
Reason (R): This ensures uniformity in the interpretation and application of laws across the country.
In the context of the above two statements, which one of the following is correct?",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is NOT the correct explanation of A,A is true but R is false,A is false but R is true,a,medium,Indian Polity,1
Which constitutional amendment empowered the President to send back a Council of Ministers' advice for reconsideration?,44th Amendment,42nd Amendment,45th Amendment,43rd Amendment,a,hard,Indian Polity,1
What is the approximate pH value of human blood?,2.4,7.4,9.0,6.0,b,easy,General Science,1
Which part of the human nervous system controls reflex actions?,Cerebrum,Spinal cord,Cerebellum,Medulla oblongata,b,easy,General Science,1
Which of the following statements regarding the audible frequency range for humans is correct?,Humans can typically hear sound waves with frequencies ranging from 20 Hz to 20 kHz.,The audible range for humans extends from 10 Hz to 100 kHz.,Infrared waves fall within the human audible range.,Ultrasound waves have frequencies lower than what humans can hear.,a,medium,General Science,1
Match List I (Metal/Metalloid) with List II (Application) and select the correct answer using the code given below:,"A-2, B-3, C-4, D-1","A-3, B-4, C-1, D-2","A-4, B-1, C-2, D-3","A-1, B-2, C-3, D-4",b,medium,General Science,1
"Consider the following statements regarding the reflection of light:
1. The angle of incidence is equal to the angle of reflection.
2. Specular reflection occurs from rough surfaces.
3. Diffuse reflection obeys the laws of reflection.
Which of the statements given above is/are correct?",1 and 2 only,1 and 3 only,2 and 3 only,"1, 2 and 3",b,medium,General Science,1
Which of the following fuels has the HIGHEST calorific value?,Natural Gas,Kerosene,Petrol,Coal,a,hard,General Science,1
The process of fertilization in flowering plants involves the fusion of gametes primarily within which floral structure?,Petal,Sepal,Ovary,Anther,c,hard,General Science,1
The Radhakrishna Mission Sevashram Hospital is located in which district of Uttar Pradesh?,Varanasi,Lucknow,Mirzapur,Prayagraj,a,easy,Uttar Pradesh Special GK,1
Which of the following rivers in Uttar Pradesh is known as 'Sorrow of Kosi'?,Yamuna,Ghaghra,Gomti,Betwa,b,easy,Uttar Pradesh Special GK,1
"Consider the following statements regarding mineral resources in Uttar Pradesh:

1.  Uttar Pradesh is a significant producer of coal.
2.  The Vindhyan region is known for limestone deposits.
3.  Sonbhadra district is rich in uranium deposits.

Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,3 only,"1, 2, and 3",b,medium,Uttar Pradesh Special GK,1
"Match List I (Industry) with List II (Location) and select the correct answer using the code given below the lists:

List I
(Industry)

A. Diesel Locomotive Works
B. Bharat Electronics Limited
C. Hindustan Aeronautics Limited
D. Indian Telephone Industry

List II
(Location)

1. Naini
2. Rae Bareli
3. Varanasi
4. Ghaziabad

Code:","A-3, B-4, C-2, D-1","A-3, B-1, C-4, D-2","A-2, B-4, C-1, D-3","A-4, B-2, C-3, D-1",a,medium,Uttar Pradesh Special GK,1
"According to the Census 2011, arrange the following districts of Uttar Pradesh in descending order of their population density:

1. Lucknow
2. Varanasi
3. Ghaziabad
4. Kanpur Nagar

Select the correct answer using the code given below:",3-2-4-1,3-4-2-1,4-3-1-2,2-1-4-3,a,medium,Uttar Pradesh Special GK,1
Which of the following schemes primarily aims to provide financial assistance for the marriage of daughters of poor families in Uttar Pradesh?,Bhagyalakshmi Yojana,Kanya Sumangala Yojana,Mukhyamantri Samuhik Vivah Yojana,Shadi Anudan Yojana,c,hard,Uttar Pradesh Special GK,1
"Considering the geographical landscape of Uttar Pradesh, through which of the following districts does the Yamuna River NOT flow?",Allahabad,Mathura,Lucknow,Agra,c,hard,Uttar Pradesh Special GK,1
Which country assumed the Presidency of the G20 in December 2025?,Brazil,India,South Africa,Indonesia,a,easy,Current Affairs 2025,1
The 2025 FIFA Club World Cup will be held in which country?,United States,Qatar,Canada,Mexico,a,easy,Current Affairs 2025,1
What was the theme of the 2025 World Environment Day?,Ecosystem Restoration,Air Pollution,Land Degradation,Biodiversity,c,easy,Current Affairs 2025,1
"Consider the following statements regarding the 'Project Tiger 2.0' initiative launched in 2025:
1. It aims to double the tiger population by 2034.
2. It incorporates advanced AI-based monitoring systems.
3. It solely focuses on tiger reserves in Central India.
Which of the statements given above is/are correct?",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",a,medium,Current Affairs 2025,1
"Match List I (Event) with List II (Month of Occurrence in 2025) and select the correct answer using the code given below the lists:
List I
(A) G20 Summit held in India
(B) Launch of Chandrayaan-4
(C) Announcement of the Nobel Prize in Literature
(D) Commencement of the FIFA Women's World Cup

List II
(1) October
(2) July
(3) December
(4) September

Code:","A-4, B-3, C-1, D-2","A-3, B-4, C-2, D-1","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1",a,medium,Current Affairs 2025,1
"Arrange the following events related to India's space program in 2025 in chronological order:
1. Successful landing of 'Vikram-2' on the lunar south pole.
2. Launch of the ' आदित्य-L2' mission to study the Sun's corona.
3. First crewed mission under the 'Gaganyaan-3' program.
4. Deployment of a space-based solar power (SBSP) test platform.",2-4-1-3,2-1-4-3,4-2-3-1,1-3-2-4,b,medium,Current Affairs 2025,1
"Assertion (A): India's GDP growth rate surpassed 9% in fiscal year 2024-25, making it the fastest-growing major economy.
Reason (R): Increased government spending on infrastructure development and a surge in private investment fueled this economic growth.","Both A and R are true, and R is the correct explanation of A.","Both A and R are true, but R is NOT the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",a,medium,Current Affairs 2025,1
Which nation hosted the 2025 United Nations Climate Change Conference (COP30)?,Brazil,Germany,South Africa,United Kingdom,a,medium,Current Affairs 2025,1
"Which nation assumed the presidency of the G20 in December 2025, succeeding Brazil?",South Africa,India,Italy,Indonesia,a,hard,Current Affairs 2025,1
"The 'Mission LiFE' initiative, gaining prominence in global climate discussions in 2025, primarily emphasizes what approach to environmental sustainability?",Large-scale industrial carbon capture technologies.,Individual lifestyle changes to minimize environmental impact.,Government-mandated renewable energy targets.,International treaties focused on emissions trading.,b,hard,Current Affairs 2025,1
"Pointing to a photograph, a man said, ""I have no brother or sister but that man’s father is my father’s son."" Whose photograph was it?",His Nephew,His Son,His Father,His Own,b,easy,Reasoning,1
A person is facing North. He turns 45 degrees clockwise and then another 180 degrees clockwise and then 45 degrees anticlockwise. In which direction is he facing now?,South,West,North-East,South-West,d,easy,Reasoning,1
Choose the word which is different from the rest:,Square,Circle,Triangle,Rectangle,b,easy,Reasoning,1
"In a certain code language, 'LION' is written as 'MHPO'. How will 'MILK' be written in that code language?",NJML,LJLN,NJLK,LNMN,a,medium,Reasoning,1
"Pointing to a photograph, a man said, ""I have no brother or sister but that man's father is my father's son."" Who is the man in the photograph?",His son,His father,His nephew,His uncle,a,medium,Reasoning,1
"What number should come next in the following series: 3, 8, 15, 24, ...?",36,35,34,37,b,medium,Reasoning,1
"A man walks 5 km towards South and then turns to the right. After walking 3 km, he turns to the left and walks 5 km. Now in which direction is he from the starting point?",South-West,South,North-East,West,a,medium,Reasoning,1
"Choose the missing letter from the following series: A, C, F, J, O, ?",U,V,T,W,a,medium,Reasoning,1
"In a certain code, 'SYSTEM' is coded as 'SYSMET'. How would 'FAILURE' be coded in the same language?",FALUIRE,FAILRUE,FARULIE,FAULIRE,a,hard,Reasoning,1
The term 'Marginal Standing Facility Rate' is a tool used by which of the following Indian institutions?,SEBI,RBI,SBI,NABARD,b,easy,Economics,1
"Consider the following statements regarding the impact of banking sector reforms in India:

1.  Increased penetration of banking services in rural areas.
2.  Reduction in Non-Performing Assets (NPAs) of Public Sector Banks.
3.  Enhanced competition leading to innovation in financial products.

Which of the statements given above is/are correct?",1 and 3 only,2 and 3 only,1 and 2 only,"1, 2, and 3",a,medium,Economics,1
"Which economic rationale, influenced by Gandhian philosophy, underpinned the emphasis on local salt production during the Salt Satyagraha?",To promote free trade agreements with neighboring countries.,To undermine the British monopoly and foster economic self-reliance at the village level.,To generate substantial tax revenue for the Indian colonial government.,To encourage large-scale industrialization of salt production.,b,hard,Economics,1
The Wildlife Protection Act was enacted in India in which year?,1972,1986,1980,1974,a,easy,Environment & Ecology,1
"Consider the following statements regarding the 'Paris Agreement':
1. It aims to limit global warming to well below 2, preferably to 1.5 degrees Celsius, compared to pre-industrial levels.
2. Nationally Determined Contributions (NDCs) are legally binding emission reduction targets for each signatory nation.
3. The Green Climate Fund was established to assist developing countries in mitigating and adapting to climate change.
Which of the statements given above is/are correct?",1 and 3 only,2 and 3 only,1 and 2 only,"1, 2 and 3",a,medium,Environment & Ecology,1
"Match List I (Pollutants) with List II (Sources) and select the correct answer using the code given below:
List I
(a) Sulphur dioxide
(b) Carbon monoxide
(c) Nitrogen oxides
(d) Particulate matter

List II
1. Incomplete combustion of fuels
2. Thermal power plants
3. Construction activities
4. Vehicular emissions

Codes:
","a-2, b-1, c-4, d-3","a-1, b-2, c-3, d-4","a-4, b-3, c-2, d-1","a-3, b-4, c-1, d-2",a,medium,Environment & Ecology,1
Which of the following is NOT a characteristic feature of a biodiversity hotspot?,High endemism,Accelerated habitat loss,Lower species richness compared to adjacent regions,Presence of significant evolutionary processes,c,hard,Environment & Ecology,1
The Central Sheep Breeding Farm is located in which of the following states?,Rajasthan,Haryana,Uttar Pradesh,Madhya Pradesh,b,easy,Agriculture,1
"Consider the following statements regarding Indian soil types:
1. Alluvial soils are primarily found in the Indo-Gangetic plains and are rich in potash but deficient in phosphorus.
2. Black soils, also known as Regur soils, are ideal for cotton cultivation due to their high water retention capacity and are primarily found in the Deccan Plateau.
3. Laterite soils are formed due to intense leaching in areas with heavy rainfall and are suitable for cultivation of tea and coffee.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2, and 3",d,medium,Agriculture,1
Which of the following factors is MOST directly responsible for the low productivity of pulses in Indian agriculture?,Lack of effective irrigation facilities in pulse-growing regions.,Dominance of marginal and small farmers with limited access to resources.,Cultivation of pulses predominantly on rain-fed and marginal lands.,Inadequate government investment in pulse research and development.,c,hard,Agriculture,1
Which of the following dance forms is NOT a classical dance recognized by the Sangeet Natak Akademi?,Sattriya,Kuchipudi,Bihu,Kathak,c,easy,Art & Culture,1
"Consider the following statements regarding traditional Indian clothing:

1.  The 'Mekhela Chador' is a traditional Assamese dress primarily worn by women.
2.  'Puanchei' is a handloom fabric traditionally associated with the state of Mizoram.
3.  The 'Phiran' is a loose woolen gown worn in Rajasthan to combat the cold.

Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2, and 3",a,medium,Art & Culture,1
"If 'LMN' is coded as 'OPQ', then how will 'RST' be coded?",VUW,UVW,WUV,WVU,b,easy,Reasoning,1
