Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
In which year was the Treaty of Salbai signed between the Maratha Empire and the British East India Company?,1775,1782,1764,1793,b,Indian National Movement,1
Who was the French Governor-General of Pondicherry who tried to establish a French empire in India?,Joseph François Dupleix,Robert Clive,Warren Hastings,Lord Cornwallis,a,Indian National Movement,1
The Battle of Plassey in 1757 was fought between the British East India Company and whom?,Siraj-ud-Daulah,Mir Jafar,Tipu Sultan,Hyder Ali,a,Indian National Movement,1
Which Government of India Act introduced Dyarchy in the provinces?,"Government of India Act, 1935","Government of India Act, 1919","Government of India Act, 1909","Government of India Act, 1858",b,Indian National Movement,1
What was the primary trading interest of the Dutch East India Company in India?,Spices and textiles,Tea and coffee,Opium and indigo,Silver and gold,a,Indian National Movement,1
Who was the last Peshwa of the Maratha Empire?,Madhavrao I,Baji Rao II,Balaji Vishwanath,Narayanrao,b,Indian National Movement,1
The French East India Company was formed in which year?,1664,1600,1602,1608,a,Indian National Movement,1
Who among the following permanently abolished the Dual Government in Bengal?,Warren Hastings,Lord Cornwallis,Robert Clive,Lord Wellesley,a,Indian National Movement,1
Which Government of India Act led to the establishment of the Federal Court?,"Government of India Act, 1909","Government of India Act, 1919","Government of India Act, 1935","Government of India Act, 1858",c,Indian National Movement,1
The Dutch established their first factory in India in which place?,Surat,Pulicat,Cochin,Goa,b,Indian National Movement,1
Which of the following is a Kharif crop?,Wheat,Barley,Rice,Mustard,c,"Indian Agriculture, Commerce & Trade",1
Regur soil is also known as:,Alluvial soil,Laterite soil,Black soil,Red soil,c,"Indian Agriculture, Commerce & Trade",1
The National Dairy Research Institute (NDRI) is located in:,Karnal,Anand,Izatnagar,New Delhi,a,"Indian Agriculture, Commerce & Trade",1
Which state is the largest producer of sugarcane in India?,Maharashtra,Uttar Pradesh,Karnataka,Tamil Nadu,b,"Indian Agriculture, Commerce & Trade",1
The Central Rice Research Institute (CRRI) is located in:,Cuttack,Patna,Kolkata,New Delhi,a,"Indian Agriculture, Commerce & Trade",1
What is the term for the practice of growing two or more crops together on the same land?,Crop rotation,Mixed cropping,Strip cropping,Contour ploughing,b,"Indian Agriculture, Commerce & Trade",1
Which of the following is an example of a Rabi crop?,Maize,Groundnut,Wheat,Cotton,c,"Indian Agriculture, Commerce & Trade",1
The 'Operation Flood' is related to:,Milk production,Flood control,Irrigation,Fisheries,a,"Indian Agriculture, Commerce & Trade",1
Which type of irrigation is most water-efficient?,Surface irrigation,Sprinkler irrigation,Drip irrigation,Furrow irrigation,c,"Indian Agriculture, Commerce & Trade",1
The yellow revolution is associated with the production of:,Oilseeds,Pulses,Grains,Fruits,a,"Indian Agriculture, Commerce & Trade",1
Which country hosted the 2023 FIFA Women's World Cup?,Australia and New Zealand,United States and Canada,France,England,a,Current National & International Events,1
Who is the current Secretary-General of the United Nations as of October 2024?,Ban Ki-moon,Kofi Annan,António Guterres,Boutros Boutros-Ghali,c,Current National & International Events,1
Which Indian city hosted the G20 Summit in 2023?,Mumbai,New Delhi,Chennai,Kolkata,b,Current National & International Events,1
In which country is the headquarters of the World Health Organization (WHO) located?,Switzerland,United States,United Kingdom,France,a,Current National & International Events,1
What is the name of the Indian Space Research Organisation's (ISRO) lunar mission launched in 2023?,Chandrayaan-2,Mangalyaan,Chandrayaan-3,Aryabhata,c,Current National & International Events,1
Which country recently overtook China to become the world's most populous nation in 2023?,United States,Indonesia,India,Brazil,c,Current National & International Events,1
Which technology company launched the 'Threads' app in July 2023?,Microsoft,Apple,Meta,Google,c,Current National & International Events,1
Which country hosted the 2023 BRICS summit?,China,Brazil,South Africa,Russia,c,Current National & International Events,1
Who is the current President of the World Bank as of October 2024?,David Malpass,Kristalina Georgieva,Ajay Banga,Jim Yong Kim,c,Current National & International Events,1
Which city hosted the 2024 Summer Olympics?,Tokyo,Paris,Los Angeles,Beijing,b,Current National & International Events,1
The Multidimensional Poverty Index (MPI) is released by which organization?,World Bank,United Nations Development Programme (UNDP),International Monetary Fund (IMF),World Economic Forum,b,"Indian Polity, Economy & Culture",1
Under whose chairmanship was the committee on Financial Inclusion constituted by the Reserve Bank of India (RBI) in 2007?,C. Rangarajan,Rakesh Mohan,Y.V. Reddy,Deepak Parekh,a,"Indian Polity, Economy & Culture",1
What is the term length for members of the Rajya Sabha?,5 years,6 years,7 years,4 years,b,"Indian Polity, Economy & Culture",1
Which Article of the Indian Constitution deals with the appointment of the Prime Minister?,Article 75,Article 74,Article 76,Article 77,a,"Indian Polity, Economy & Culture",1
Who is the ex-officio chairman of the NITI Aayog?,The President of India,The Finance Minister of India,The Prime Minister of India,The Vice-President of India,c,"Indian Polity, Economy & Culture",1
The concept of 'Economic Planning' is borrowed from which country?,United States of America,Russia,United Kingdom,Germany,b,"Indian Polity, Economy & Culture",1
Which tax is the main source of revenue for the Union Government?,Excise Duty,Income Tax,Corporate Tax,Customs Duty,c,"Indian Polity, Economy & Culture",1
What is the minimum age to be a member of the Lok Sabha?,21 years,30 years,35 years,25 years,d,"Indian Polity, Economy & Culture",1
Which of the following is NOT a tool used to control inflation in India?,Fiscal Policy,Monetary Policy,Deflation,Supply-side measures,c,"Indian Polity, Economy & Culture",1
The Finance Commission is constituted under which article of the Indian Constitution?,Article 260,Article 280,Article 300,Article 324,b,"Indian Polity, Economy & Culture",1
Who appoints the Comptroller and Auditor General (CAG) of India?,The Prime Minister,The President,The Chief Justice of India,The Parliament,b,"Indian Polity, Economy & Culture",1
What does 'SARFAESI Act' primarily deal with?,Environmental Protection,Recovery of Non-Performing Assets (NPAs),Labor Laws,Consumer Protection,b,"Indian Polity, Economy & Culture",1
Which of the following is a Sustainable Development Goal (SDG) related to poverty?,SDG 1,SDG 5,SDG 10,SDG 13,a,"Indian Polity, Economy & Culture",1
The 'Lakdawala Committee' was associated with which of the following?,Unemployment,Poverty,Inflation,Banking Reforms,b,"Indian Polity, Economy & Culture",1
Which body is responsible for the collection of excise duties in India?,Reserve Bank of India (RBI),Central Board of Direct Taxes (CBDT),Central Board of Indirect Taxes and Customs (CBIC),NITI Aayog,c,"Indian Polity, Economy & Culture",1
Which of the following is NOT a renewable source of energy?,Solar energy,Natural gas,Wind energy,Hydropower,b,World Geography & Geography of India,1
"What is the name given to the high-speed, high-altitude wind that influences weather patterns?",Trade wind,Jet stream,Monsoon,Sea breeze,b,World Geography & Geography of India,1
In which Indian state is the Kolar Gold Field located?,Andhra Pradesh,Karnataka,Tamil Nadu,Kerala,b,World Geography & Geography of India,1
Which mountain range is considered the water divide between the Indus and Ganga river systems?,Himalayas,Aravalli Range,Vindhya Range,Western Ghats,a,World Geography & Geography of India,1
Which of the following is the most abundant fossil fuel in India?,Petroleum,Coal,Natural Gas,Uranium,b,World Geography & Geography of India,1
What is the name given to the period of intense heat during the Indian summer months?,Aruna,Varuna,Yama,Loo,d,World Geography & Geography of India,1
Which type of industry is primarily located near sources of raw materials?,Textile industry,Software industry,Sugar industry,Electronics industry,c,World Geography & Geography of India,1
Which wind brings rainfall to the western coast of India during the monsoon season?,South-West Monsoon,North-East Monsoon,Loo,Trade Winds,a,World Geography & Geography of India,1
Which Indian state is known for its reserves of lignite coal?,Jharkhand,Tamil Nadu,Odisha,West Bengal,b,World Geography & Geography of India,1
What is the average sea-level air pressure?,1013.25 millibars,900 millibars,1100 millibars,1000 millibars,a,World Geography & Geography of India,1
Which natural division of India is known for its black soil?,The Himalayas,The Great Plains,The Peninsular Plateau,The Coastal Plains,c,World Geography & Geography of India,1
Which of the following is a major iron ore producing state in India?,Rajasthan,Karnataka,Punjab,Gujarat,b,World Geography & Geography of India,1
What is the name of the wind that blows from land to sea during the night?,Sea breeze,Land breeze,Monsoon,Cyclone,b,World Geography & Geography of India,1
Which of the following is a non-conventional source of energy?,Coal,Petroleum,Tidal Energy,Natural Gas,c,World Geography & Geography of India,1
Which zone of India experiences the highest atmospheric pressure?,Equatorial region,Polar region,Tropical region,Subtropical high-pressure belt,b,World Geography & Geography of India,1
When was the Forest Conservation Act enacted in India?,1972,1986,1980,1974,c,"Population, Ecology & Urbanisation (India context)",1
Which article of the Indian Constitution mentions the duty of the State to protect and improve the environment?,Article 48A,Article 51A,Article 21,Article 14,a,"Population, Ecology & Urbanisation (India context)",1
What is the theme of the International Day for Biological Diversity 2024?,Building a shared future for all life,Our Solutions are in Nature,From Agreement to Action: Build Back Biodiversity,Water and Biodiversity,c,"Population, Ecology & Urbanisation (India context)",1
"What is the total forest cover as a percentage of the total geographical area of India, as per the India State of Forest Report 2021?",24.62%,21.71%,23.81%,20.00%,a,"Population, Ecology & Urbanisation (India context)",1
In which year was the Wildlife Protection Act implemented in India?,1972,1980,1986,1974,a,"Population, Ecology & Urbanisation (India context)",1
What is the name of the campaign launched by the Government of India to encourage afforestation?,Green India Mission,Clean India Mission,Digital India Mission,Skill India Mission,a,"Population, Ecology & Urbanisation (India context)",1
Which Indian city was declared as the first UNESCO World Heritage City?,Jaipur,Ahmedabad,Varanasi,Delhi,b,"Population, Ecology & Urbanisation (India context)",1
"As per the Census 2011, which is the most populous state in India?",Maharashtra,West Bengal,Bihar,Uttar Pradesh,d,"Population, Ecology & Urbanisation (India context)",1
Which state has the highest density of population as per the 2011 census?,Uttar Pradesh,Bihar,West Bengal,Kerala,b,"Population, Ecology & Urbanisation (India context)",1
What is the name of the protocol associated with reducing greenhouse gas emissions?,Kyoto Protocol,Montreal Protocol,Vienna Convention,Ramsar Convention,a,"Population, Ecology & Urbanisation (India context)",1
"If A:B = 2:3 and B:C = 4:5, then A:C is equal to:",6:15,8:15,2:5,8:10,b,Reasoning & General Aptitude,1
"In a dictionary, which of the following words comes fourth?",Senate,Send,Segment,Selling,a,Reasoning & General Aptitude,1
"If 'SYSTEM' is coded as '131625', then 'FIRM' will be coded as:",6914,6913,6814,5913,a,Reasoning & General Aptitude,1
A train 300 m long is running at a speed of 54 km/hr. In what time will it pass a man walking in the same direction at a speed of 9 km/hr?,20 seconds,24 seconds,30 seconds,40 seconds,b,Reasoning & General Aptitude,1
A shopkeeper buys an article for Rs. 400. At what price must he sell it to gain 25%?,Rs. 520,Rs. 480,Rs. 500,Rs. 550,c,Reasoning & General Aptitude,1
"What number should come next in the series 2, 6, 12, 20, 30, ?",36,42,40,44,b,Reasoning & General Aptitude,1
"If 'LMN' is coded as 'OLP', then 'PQR' will be coded as:",STU,SUV,UST,SUT,a,Reasoning & General Aptitude,1
"A sum of money is to be divided among A, B and C in the ratio 2:3:5. If A’s share is Rs. 20, then what is the total sum?",Rs. 100,Rs. 50,Rs. 200,Rs. 80,a,Reasoning & General Aptitude,1
Which word would come last if arranged in alphabetical order?,Elegant,Eject,Effect,Elect,a,Reasoning & General Aptitude,1
"If 'A = 1', 'BAT = 23', then 'CAT' will be equal to:",24,26,27,28,a,Reasoning & General Aptitude,1
A train running at 72 km/hr crosses a pole in 9 seconds. What is the length of the train?,180 meters,200 meters,240 meters,220 meters,a,Reasoning & General Aptitude,1
A man buys a cycle for Rs. 1400 and sells it at a loss of 15%. What is the selling price?,Rs. 1190,Rs. 1180,Rs. 1200,Rs. 1000,a,Reasoning & General Aptitude,1
"Choose the missing term: ACE, GIK, _____, SUW",MPQ,MNO,MNQ,MOP,c,Reasoning & General Aptitude,1
"If 'ONE' is coded as '325', 'TWO' is coded as '783', then 'OTE' will be coded as:",375,235,357,573,b,Reasoning & General Aptitude,1
Divide 64 into two parts such that three times the first part is equal to the second part. The two parts are:,16 and 48,24 and 40,18 and 46,20 and 44,a,Reasoning & General Aptitude,1
What does the idiom 'to kick the bucket' mean?,To clean something,To die,To achieve success,To celebrate a victory,b,General English,1
Which word is an antonym of 'generosity'?,Kindness,Philanthropy,Miserliness,Liberality,c,General English,1
Choose the correct one-word substitution for 'A person who hates mankind'.,Philanthropist,Misanthrope,Benefactor,Altruist,b,General English,1
What does the idiom 'piece of cake' mean?,A delicious dessert,A difficult task,Something very easy,An elaborate plan,c,General English,1
Which word is an antonym of 'optimist'?,Pessimist,Idealist,Realist,Visionary,a,General English,1
Choose the correct one-word substitution for 'A place where birds are kept'.,Apiary,Aviary,Orchard,Sanctuary,b,General English,1
What does the idiom 'hit the nail on the head' mean?,To make a mistake,To do something perfectly,To injure yourself,To be precise or accurate,d,General English,1
Which word is an antonym of 'bravery'?,Courage,Fearlessness,Cowardice,Valor,c,General English,1
Choose the correct one-word substitution for 'A person who travels to a sacred place'.,Tourist,Wanderer,Pilgrim,Nomad,c,General English,1
What does the idiom 'break a leg' mean?,To injure someone,Good luck,To be clumsy,To cause an accident,b,General English,1
हास्य रस का स्थायी भाव क्या है?,जुगुप्सा,शोक,हास,क्रोध,c,General Hindi,1
‘चरण कमल बंदौ हरिराई’ में कौन सा अलंकार है?,उपमा,रूपक,उत्प्रेक्षा,अनुप्रास,b,General Hindi,1
‘अंधे की लाठी’ मुहावरे का अर्थ क्या है?,अंधे को मारना,एकमात्र सहारा,बेसहारा होना,असंभव कार्य करना,b,General Hindi,1
‘खिचड़ी पकाना’ मुहावरे का अर्थ क्या है?,भोजन बनाना,षडयंत्र रचना,चावल दाल मिलाना,आसान काम करना,b,General Hindi,1
निम्न में से शुद्ध वर्तनी वाला शब्द कौन सा है?,आर्शीवाद,आशीर्वाद,आर्सिवाद,आसिर्वाद,b,General Hindi,1
‘अक्ल का दुश्मन’ मुहावरे का अर्थ क्या है?,मित्र,शत्रु,मूर्ख,पंडित,c,General Hindi,1
"‘गंगा गए गंगादास, जमुना गए जमुनादास’ लोकोक्ति का अर्थ क्या है?",तीर्थ यात्रा करना,जिसका कोई दृढ़ सिद्धांत न हो,नदी में स्नान करना,गंगा-जमुना का भक्त होना,b,General Hindi,1
इनमें से कौन सा शब्द शुद्ध है?,उज्जवल,उज्वल,उज्जवलल,उजजवल,a,General Hindi,1
‘वीर रस’ का स्थायी भाव क्या है?,शोक,उत्साह,क्रोध,भय,b,General Hindi,1
‘तीन बेर खाती थी वे तीन बेर खाती हैं’ में कौन सा अलंकार है?,अनुप्रास,यमक,श्लेष,उपमा,b,General Hindi,1
Which of the following cities is known as the 'Leather City' of Uttar Pradesh?,Kanpur,Agra,Lucknow,Meerut,a,Uttar Pradesh Special Knowledge,1
The climate of Uttar Pradesh is primarily of which type?,Tropical monsoon,Equatorial,Arid,Mediterranean,a,Uttar Pradesh Special Knowledge,1
Which soil type is predominantly found in the Gangetic plains of Uttar Pradesh?,Red soil,Black soil,Alluvial soil,Laterite soil,c,Uttar Pradesh Special Knowledge,1
Which of the following crops is the largest produced in Uttar Pradesh?,Rice,Wheat,Sugarcane,Pulses,c,Uttar Pradesh Special Knowledge,1
Which animal breed is known as 'Queen of Buffaloes' and is prominent in Uttar Pradesh?,Murrah,Jersey,Sahiwal,Tharparkar,a,Uttar Pradesh Special Knowledge,1
What is the state flower of Uttar Pradesh?,Rose,Lotus,Marigold,Palash,d,Uttar Pradesh Special Knowledge,1
The Dudhwa National Park is located in which district of Uttar Pradesh?,Lakhimpur Kheri,Pilibhit,Bahraich,Shravasti,a,Uttar Pradesh Special Knowledge,1
Which is the most populous tribe in Uttar Pradesh according to the 2011 census?,Tharu,Gond,Bhutia,Kol,b,Uttar Pradesh Special Knowledge,1
Uttar Pradesh shares its border with how many states of India?,6,7,8,9,d,Uttar Pradesh Special Knowledge,1
The Bharat Ratna Pandit Bhimsen Joshi Sangeet Sadhana Award is associated with which field?,Literature,Classical Music,Social Service,Science,b,Uttar Pradesh Special Knowledge,1
What type of memory is primarily used as the computer's main working memory?,ROM,RAM,PROM,EPROM,b,Elementary Knowledge of Computers,1
"In Microsoft Word, what is the shortcut key to save a document?",Ctrl + X,Ctrl + S,Ctrl + C,Ctrl + V,b,Elementary Knowledge of Computers,1
What does 'www' stand for in a website address?,Wide World Web,World Wide Web,Web World Wide,Web Wide World,b,Elementary Knowledge of Computers,1
Which of the following is a popular operating system?,Microsoft Excel,Adobe Photoshop,Linux,Microsoft Word,c,Elementary Knowledge of Computers,1
What is a computer virus?,A program that enhances computer performance,A biological contamination affecting hardware,A malicious software program,A tool for creating documents,c,Elementary Knowledge of Computers,1
Which of the following is an example of an input device?,Monitor,Printer,Speaker,Keyboard,d,Elementary Knowledge of Computers,1
What is the file extension for a Microsoft Word document?,.jpg,.pdf,.docx,.exe,c,Elementary Knowledge of Computers,1
What does 'URL' stand for?,Uniform Resource Locator,Universal Resource Locator,Unified Resource Locator,Unidentified Resource Locator,a,Elementary Knowledge of Computers,1
Which part of the computer is known as its 'brain'?,RAM,CPU,Motherboard,Hard Drive,b,Elementary Knowledge of Computers,1
What is the function of an operating system?,To create documents,To manage hardware and software resources,To browse the internet,To play games,b,Elementary Knowledge of Computers,1
What is the purpose of antivirus software?,To speed up the computer,To protect against malware,To format hard drives,To create backups,b,Elementary Knowledge of Computers,1
Which of the following is an output device?,Microphone,Scanner,Webcam,Printer,d,Elementary Knowledge of Computers,1
What is the function of 'copy' and 'paste'?,To move files,To duplicate data,To delete files,To rename folders,b,Elementary Knowledge of Computers,1
What is the internet?,A single computer network,A collection of interconnected computer networks,Software for browsing websites,A type of computer memory,b,Elementary Knowledge of Computers,1
What type of software is Microsoft Excel?,Word Processor,Presentation Software,Spreadsheet Software,Operating System,c,Elementary Knowledge of Computers,1
