Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is the largest unit for measuring astronomical distances mentioned in the text?,Light Year,Dobson,Cusec,Parsec,d
Which unit is used to measure the thickness of the ozone layer in the atmosphere?,Watt,Cusec,Dobson,Parsec,c
By whom is SONAR typically used?,Meteorologists,Navigators,Doctors,Geologists,b
Which instrument measures atmospheric pressure?,Hygrometer,Audiometer,Barometer,Lactometer,c
The relative density or purity of milk is measured by which instrument?,Hygrometer,Pyrometer,Lactometer,Ammeter,c
Which instrument is used to measure blood pressure?,Polygraph,Sphygmomanometer,Thermometer,Barometer,b
Newton's First Law is also known as which of the following?,Law of Gravitation,Law of Thermodynamics,Law of Inertia,Law of Conservation,c
Washing machines and cream separators operate based on which principle?,Centripetal Force,Gravitational Force,Centrifugal Force,Surface Tension,c
Why is it more difficult to walk on ice compared to a road?,Ice has more friction,Ice has less friction,Road has more inertia,Road has less inertia,b
Passengers lean backwards when a train starts moving due to which phenomenon?,Kinetic Energy,Potential Energy,Inertia of Motion,Inertia of Rest,d
Which type of energy is primarily present in winds?,Potential Energy,Kinetic Energy,Thermal Energy,Electrical Energy,b
Who is credited with propounding the Universal Law of Gravitation?,Archimedes,Einstein,Newton,Galileo,c
What is the approximate value of Escape Velocity from Earth's surface?,1.12 km/second,112 km/second,11.2 km/second,1.2 km/second,c
"If Earth's gravitational force disappears suddenly, what will happen to an object's weight?",The weight will increase,The weight will become zero,The weight will remain the same,The weight will decrease slightly,b
Why do pendulum clocks typically run slower in summer?,Due to decrease in temperature,Due to increase in humidity,Due to the decrease in the length of the pendulum,Due to the increase in the length of the pendulum,d
What is the approximate height of a Geo-stationary Satellite above Earth?,"3,600 km","360,000 km","36,000 km","3,600,000 km",c
Where on Earth is the weight of an object typically at its maximum?,At the Equator,At the Tropics,At the Poles,At Sea Level,c
Which of the following is the primary reason for the spherical shape of a raindrop?,Gravity,Viscosity,Surface Tension,Air Pressure,c
Newton's First Law is also known as the:,Law of Universal Gravitation,Law of Thermodynamics,Law of Inertia,Law of Conservation of Energy,c
"When a train starts moving, passengers lean backward due to:",Momentum,Inertia of Motion,Inertia of Rest,Gravitational Force,c
What type of energy is present in winds?,Potential Energy,Chemical Energy,Kinetic Energy,Electrical Energy,c
Who formulated the Universal Law of Gravitation?,Einstein,Archimedes,Newton,Galileo,c
What is the Escape Velocity from Earth's surface?,9.8 km/second,10.2 km/second,12.2 km/second,11.2 km/second,d
"If Earth's gravitational force disappears, what will happen to an object?",Both mass and weight will become zero.,"The weight will become zero, but the mass will remain the same.","The mass will become zero, but the weight will remain the same.",Both mass and weight will increase.,b
Why do pendulum clocks slow down during summer?,Due to the decrease in the length of the pendulum.,Due to the decrease in temperature.,Due to the increase in the length of the pendulum.,Due to the increase in atmospheric pressure.,c
What is the approximate height of a Geo-stationary Satellite from Earth?,"12,000 km","24,000 km","36,000 km","48,000 km",c
Where is the weight of an object maximum on Earth?,At the Equator,At the Tropics,At the Poles,At the Prime Meridian,c
What causes the spherical shape of a raindrop?,Viscosity,Gravitational Force,Surface Tension,Atmospheric Pressure,c
What is the instrument used to measure blood pressure?,Polygraph,Sphygmomanometer,Barometer,Hygrometer,b
Which of Newton's laws is also known as the 'Law of Inertia'?,Second Law,Third Law,First Law,Law of Gravitation,c
Washing machines and cream separators operate on which principle?,Gravitational Force,Centripetal Force,Surface Tension,Centrifugal Force,d
Passengers lean backward when a train starts moving due to what phenomenon?,Centrifugal force,Gravitational force,Inertia of Rest,Inertia of Motion,c
What is the approximate value of Escape Velocity from the Earth's surface?,9.8 km/second,10.2 km/second,12.2 km/second,11.2 km/second,d
"If Earth's gravitational force suddenly disappears, what would happen to an object's weight?",It would increase,It would decrease,It will become zero,It would remain the same,c
Why do pendulum clocks become slow during summer?,Decrease in air pressure,Increase in humidity,Decrease in the length of the pendulum,Increase in the length of the pendulum,d
Where is the weight of an object at its maximum on Earth?,At the Equator,At the center of the Earth,At the Poles,At 45 degrees latitude,c
What is the primary reason for the spherical shape of a raindrop?,Gravity,Viscosity,Air pressure,Surface Tension,d
"When a train starts moving, passengers lean backward due to what phenomenon?",Centrifugal Force,Gravitational Force,Inertia of Motion,Inertia of Rest,d
Why do Pendulum Clocks slow down in the summer?,Due to decrease in the length of the pendulum,Due to increase in atmospheric pressure,Due to decrease in the length of the string,Due to the increase in the length of the pendulum,d
Where on Earth is the weight of an object at its maximum?,At the Equator,At the center of Earth,At the Tropics,At the Poles,d
What is the primary reason for the spherical shape of raindrops?,Viscosity,Archimedes Principle,Gravity,Surface Tension,d
Why does oil spread on the surface of water?,Because the density of oil is higher than that of water.,Because the surface tension of oil is greater than that of water.,Because the surface tension of oil is less than that of water.,Because the viscosity of oil is higher than that of water.,c
Kerosene rises up in the wick due to which phenomenon?,Osmosis,Diffusion,Capillarity,Viscosity,c
How does the pressure inside a soap bubble compare to atmospheric pressure?,It is equal.,It is lower.,It is higher.,It fluctuates.,c
At what temperature is the density of water maximum?,0°C,100°C,4°C,25°C,c
What happens when a ship enters the sea from a river?,It sinks a little.,It remains at the same level.,It rises a little.,It capsizes.,c
Why does ink start leaking from a pen while traveling in an airplane?,Due to an increase in atmospheric pressure.,Due to a decrease in temperature.,Due to an increase in atmospheric humidity.,Due to a decrease in atmospheric pressure.,d
What is the reason for clouds floating in the atmosphere?,Their high Density.,Their low Density.,Their high temperature.,Their high pressure.,b
What is the normal temperature of the human body in Fahrenheit?,37°F,100°F,98.6°F,212°F,c
At what temperature are the values of Celsius and Fahrenheit scales equal?,0°,100°,-40°,40°,c
What happens to the boiling point of water when salt is added to it?,The Boiling Point decreases.,The Boiling Point remains the same.,The Boiling Point increases.,The water freezes.,c
Which metal is the best conductor of heat?,Aluminum,Copper,Iron,Silver,d
"To keep a beverage at the same temperature in a thermos bottle, whose layer is applied to its walls?",Copper layer,Aluminum layer,Silver layer,Iron layer,c
What is the main use of sweat?,To provide Vitamin D.,To regulate body temperature.,To remove toxins.,To provide moisture.,b
Why does food cook faster in a pressure cooker?,The pressure cooker uses less energy.,The boiling point of water decreases due to high pressure.,The boiling point of water increases due to high pressure.,The food absorbs more nutrients.,c
Kerosene rises up in a wick due to what phenomenon?,Osmosis,Adhesion,Capillarity,Diffusion,c
What causes clouds to float in the atmosphere?,High density,Low pressure,High temperature,Low density,d
At what temperature are the Celsius and Fahrenheit scales equal?,0°,100°,-40°,40°,c
Which metal is considered the best conductor of heat?,Iron,Copper,Aluminum,Silver,d
What layer is applied to the walls of a thermos bottle to maintain the temperature of a beverage?,Copper layer,Aluminum layer,Silver layer,Plastic layer,c
What is the primary function of sweat in the human body?,To provide hydration,To remove toxins,To regulate body temperature,To provide lubrication,c
"According to the text, what causes oil to spread on the surface of water?",The surface tension of oil is greater than that of water,The density of oil is higher than that of water,The surface tension of oil is less than that of water,The viscosity of oil is higher than that of water,c
What phenomenon explains the rise of kerosene in a lamp wick?,Osmosis,Adhesion,Capillarity,Viscosity,c
At what temperature does water attain its maximum density?,0°C,100°C,4°C,25°C,c
What happens when a ship moves from a river to the sea?,It sinks a little,It remains at the same level,It rises a little,It capsizes,c
Why does ink leak from a pen during air travel?,Increase in air pressure,Decrease in temperature,Decrease in atmospheric pressure,Increase in humidity,c
What accounts for clouds floating in the atmosphere?,High density,High viscosity,Low density,High pressure,c
What is the normal human body temperature in Fahrenheit?,100°F,98.6°F,37°F,212°F,b
At what temperature are Celsius and Fahrenheit values identical?,0°,100°,-40°,40°,c
What occurs when salt is added to boiling water?,Boiling point decreases,Boiling point remains the same,Boiling point increases,Water freezes,c
Which metal demonstrates the highest thermal conductivity?,Copper,Aluminum,Silver,Iron,c
What material is applied to the walls of a thermos bottle to maintain beverage temperature?,Aluminum,Copper,Silver layer,Plastic,c
What is the primary function of sweat?,To provide moisture to the skin,To regulate body temperature,To eliminate toxins,To provide a cooling sensation,b
What causes oil to spread on the surface of water?,The high viscosity of oil,The surface tension of oil being greater than water,The surface tension of oil being less than that of water,The high density of oil,c
Kerosene rises up in a wick due to which phenomenon?,Adhesion,Viscosity,Capillarity,Surface Tension,c
At what temperature is the density of water at its maximum?,0°C,100°C,4°C,25°C,c
Why does ink leak from a pen in an airplane?,Increase in air pressure,Decrease in air pressure,Increase in temperature,Decrease in temperature,b
What is the primary reason for clouds floating in the atmosphere?,High temperature,High density,Low temperature,Low Density,d
At what temperature do Celsius and Fahrenheit scales have the same value?,0°,100°,40°,-40°,d
Which metal is the best conductor of heat according to the provided text?,Iron,Copper,Silver,Aluminum,c
Which layer is applied to the walls of a thermos bottle to keep a beverage at the same temperature?,Copper layer,Aluminum layer,Silver layer,Plastic layer,c
What is the nature of sound waves?,Transverse electromagnetic waves,Longitudinal electromagnetic waves,Transverse mechanical waves,Longitudinal mechanical waves,d
In which medium is the speed of sound the highest?,Air,Water,Steel,Vacuum,c
Why is it impossible for two individuals to hear each other on the Moon's surface?,Due to high gravitational force,Because of the presence of excessive radiation,Because there is no atmosphere there,Due to extremely low temperatures,c
What is the standard sound level considered safe for human hearing?,100 Decibels (dB),80 Decibels (dB),40 Decibels (dB),60 Decibels (dB),d
What is the frequency range of Ultrasonic Waves?,"Less than 20,000 Hertz (Hz)",More than 20 Hertz (Hz),"More than 20,000 Hertz (Hz)",Less than 20 Hertz (Hz),c
Which type of waves do bats utilize for navigation in darkness?,Infrared waves,Radio waves,Ultrasonic waves,Microwaves,c
What approximate distance must exist between a listener and a reflecting surface for a distinct Echo to be heard?,34 meters,10 meters,17 meters,5 meters,c
What is the dual nature of light radiation?,Liquid and Gas,Solid and Liquid,Wave and Solid,Wave and Particle,d
What is the speed of light in a vacuum?,3×10^5 meters/second,3×10^10 meters/second,3×10^8 meters/second,3×10^6 meters/second,c
The sky appears blue due to which phenomenon?,Reflection of light,Refraction of light,Diffraction of light,Scattering of light,d
Why does the Sun appear red during sunrise and sunset?,Because the scattering of blue color is the least,Because the absorption of red color is the most,Because the scattering of red color is the least,Because the absorption of blue color is the most,c
Which type of mirror is commonly used as a 'Rear view mirror' in vehicles?,Plane Mirror,Concave Mirror,Convex Mirror,Parabolic Mirror,c
Which type of mirror is typically used for shaving purposes?,Plane Mirror,Convex Mirror,Concave Mirror,Cylindrical Mirror,c
Which type of lens is used to correct Myopia (Nearsightedness)?,Convex Lens,Cylindrical Lens,Bifocal Lens,Concave Lens,d
"What is the nature of sound waves, as described in the text?",Transverse electromagnetic waves,Longitudinal electromagnetic waves,Transverse mechanical waves,Longitudinal mechanical waves,d
In which of the following mediums is the speed of sound the highest?,Air,Water,Steel,Vacuum,c
Why is it impossible for two individuals to communicate audibly on the Moon's surface?,Due to the Moon's weak gravitational field.,Because the Moon's surface absorbs sound.,Because there is no atmosphere there.,Due to high levels of background radiation.,c
"According to the text, what is the standard sound level (noise limit) considered safe for humans?",120 Decibels (dB),80 Decibels (dB),60 Decibels (dB),40 Decibels (dB),c
What is the frequency range of Ultrasonic Waves as per the provided information?,"Less than 20,000 Hertz (Hz)",More than 20 Hertz (Hz),"More than 20,000 Hertz (Hz)",Less than 20 Hertz (Hz),c
Which type of waves are utilized by bats for navigation in darkness?,Infrared waves,Radio waves,Ultrasonic waves,Microwaves,c
What approximate minimum distance is required between a listener and a reflecting surface for a distinct echo to be heard?,34 meters,10 meters,17 meters,5 meters,c
"According to the text, what is the recognized nature of light radiations?",Purely wave-like,Purely particle-like,Like both Wave and Particle (Dual Nature),Neither wave nor particle,c
"What is the speed of light in a vacuum, as mentioned in the text?",3×105 meters/second,3×106 meters/second,3×107 meters/second,3×108 meters/second,d
Why does the sky exhibit a blue coloration?,Due to Absorption of light,Due to Reflection of light,Due to Diffraction of light,Due to Scattering of light,d
"According to the text, why does the sun appear red during sunrise and sunset?",Because the scattering of red color is the most.,Because the scattering of red color is the least.,Because the absorption of red color is the most.,Because the absorption of red color is the least.,b
Which type of mirror is typically employed as a 'Rear view mirror' in vehicles?,Plane Mirror,Concave Mirror,Convex Mirror,Parabolic Mirror,c
What kind of mirror is generally preferred for shaving purposes?,Convex Mirror,Plane Mirror,Concave Mirror,Cylindrical Mirror,c
In which of the following media is the speed of sound the highest?,Air,Water,Steel,Vacuum,c
"According to the text, what is considered the standard sound level for humans, measured in decibels?",120 dB,30 dB,60 dB,90 dB,c
What is the frequency range of Ultrasonic waves according to the provided text?,Less than 20 Hertz,"Between 20 and 20,000 Hertz","More than 20,000 Hertz","Exactly 20,000 Hertz",c
Which type of waves are used by bats for navigation in darkness?,Infrared waves,Radio waves,Ultrasonic waves,Microwaves,c
"Approximately, what is the minimum distance required between a listener and a reflecting surface to clearly hear an echo?",34 meters,10 meters,17 meters,5 meters,c
What is the described nature of light radiations?,Purely wave-like,Purely particle-like,Like both Wave and Particle (Dual Nature),Neither wave nor particle,c
"According to the text, what is the speed of light in a vacuum?",3×105 meters/second,3×106 meters/second,3×107 meters/second,3×108 meters/second,d
"According to the text, what causes the sky to appear blue?",Absorption of light,Reflection of light,Refraction of light,Scattering of light,d
"Why does the sun appear red during sunrise and sunset, as per the provided text?",Because the scattering of red color is the most,Because the absorption of red color is the least,Because the scattering of red color is the least,Because the reflection of red color is the most,c
What type of mirror is used for shaving purposes?,Plane Mirror,Convex Mirror,Concave Mirror,Cylindrical Mirror,c
Sound waves are classified as which type of waves?,Transverse electromagnetic waves,Longitudinal mechanical waves,Transverse mechanical waves,Longitudinal electromagnetic waves,b
In which of the following media does sound travel at the highest speed?,Air,Water,Steel,Vacuum,c
What decibel level is generally accepted as the standard sound level for human beings?,100 dB,80 dB,60 dB,120 dB,c
What is the frequency range characteristic of Ultrasonic Waves?,Less than 20 Hertz,"Between 20 and 20,000 Hertz","More than 20,000 Hertz",Exactly 20 Hertz,c
"Approximately, what is the minimum distance required between a listener and a reflecting surface for a distinct echo to be heard?",34 meters,10 meters,17 meters,5 meters,c
Light radiations exhibit which of the following properties?,Wave nature only,Particle nature only,Dual Nature (Wave and Particle),Neither Wave nor Particle,c
Which type of mirror is commonly used as a 'Rear view mirror' in automobiles?,Plane Mirror,Concave Mirror,Convex Mirror,Parabolic Mirror,c
What type of mirror is typically used for shaving purposes?,Convex Mirror,Plane Mirror,Concave Mirror,Cylindrical Mirror,c
Which type of lens is utilized to correct Hypermetropia?,Concave Lens,Cylindrical Lens,Convex Lens,Plano-Convex Lens,c
The phenomenon of mirage formation is primarily attributed to:,Refraction of Light,Diffraction of Light,Total Internal Reflection of Light,Dispersion of Light,c
Optical Fiber technology operates on the principle of:,Refraction,Diffraction,Total Internal Reflection,Polarization,c
The primary reason for the brilliance and shine of a diamond is:,Refraction of light,Dispersion of light,Total Internal Reflection,High refractive index,c
An air bubble submerged in water behaves optically like a:,Convex Lens,Prism,Concave Lens,Convex Mirror,c
The image formed on the retina of the human eye is characterized as:,Virtual and Erect,Real and Erect,Virtual and Inverted,Real and Inverted,d
Rainbow formation is a result of which combination of optical phenomena?,Reflection and Diffraction,Refraction and Interference,"Reflection, Refraction, and Dispersion","Diffraction, Interference and Polarization",c
Red light is commonly used for danger signals because:,Its wavelength is the shortest,It is easily diffracted,Its scattering is the least,It is the most intense,c
Which of the following sets constitutes the primary colors?,"Red, Yellow, Blue","Cyan, Magenta, Yellow","Red, Green, Blue","Red, Yellow, Green",c
The color of a star is indicative of its:,Size,Distance from Earth,Temperature,Mass,c
Which modulation technique is employed for transmitting audio signals in television broadcasting?,Amplitude Modulation (AM),Phase Modulation (PM),Frequency Modulation (FM),Pulse Code Modulation (PCM),c
The filament of an electric bulb is typically made of:,Copper,Aluminum,Tungsten,Nichrome,c
What type of gas is commonly used to fill electric bulbs?,Oxygen,Carbon Dioxide,Argon,Hydrogen,c
"In artificial satellites, electrical energy is primarily derived from:",Batteries,Fuel Cells,Nuclear Reactors,Solar Cells,d
A transformer is principally used to:,Convert AC to DC voltage,Convert DC to AC voltage,Step up or step down AC voltage,Regulate DC voltage,c
Which type of lens is employed to rectify Hypermetropia (Farsightedness)?,Concave Lens,Cylindrical Lens,Convex Lens,Bifocal Lens,c
What phenomenon underlies the creation of a Mirage?,Refraction of light,Diffraction of light,Total Internal Reflection of light,Scattering of light,c
On what principle does the functionality of Optical Fiber depend?,Refraction,Dispersion,Interference,Total Internal Reflection,d
What causes a diamond to exhibit its characteristic shine?,Refraction of light,Reflection of light,Dispersion of light,Total Internal Reflection,d
An air bubble submerged in water behaves similarly to which type of lens?,Convex Lens,Plano-convex Lens,Concave Lens,Cylindrical Lens,c
What kind of image is projected onto the retina of the human eye?,Virtual and Erect,Real and Erect,Virtual and Inverted,Real and Inverted,d
Which combination of phenomena results in the formation of a Rainbow?,Interference and Diffraction,Polarization and Diffraction,"Reflection, Refraction, and Dispersion of light",Only Refraction and Reflection,c
Why is red light commonly used for danger signals?,It is the most vibrant color,It has the highest frequency,Its scattering is the least,It is easily absorbed by the atmosphere,c
Identify the primary colors.,"Red, Yellow, Blue","Cyan, Magenta, Yellow","Red, Green, Blue","Red, Yellow, Green",c
What property of a star does its color indicate?,Its Size,Its Distance,Its Temperature,Its Density,c
Which technology facilitates the transmission of audio signals in Television (TV) broadcasting?,Amplitude Modulation (AM),Pulse Code Modulation (PCM),Frequency Modulation (FM),Phase Modulation (PM),c
What material is used to create the filament of an electric bulb?,Copper,Aluminum,Silver,Tungsten,d
Which gas is typically used to fill the inside of an electric bulb?,Oxygen,Carbon Dioxide,Hydrogen,Argon (or Nitrogen),d
What serves as the power source for electrical energy in an artificial satellite?,Batteries,Nuclear Reactors,Solar Cells,Fuel Cells,c
What is the fundamental purpose of a Transformer?,To convert AC to DC voltage,To amplify AC current,To step up or step down AC voltage,To regulate frequency of AC voltage,c
The formation of a Mirage is attributed to which phenomenon?,Refraction of light,Diffraction of light,Total Internal Reflection of light,Dispersion of light,c
The apparent shininess of a diamond is primarily due to:,Refraction,Reflection,Dispersion,Total Internal Reflection,d
What type of image is projected onto the retina of the human eye?,Virtual and Erect,Real and Erect,Virtual and Inverted,Real and Inverted,d
The formation of a rainbow is a result of which optical phenomena?,Interference and Diffraction,Polarization and Scattering,"Reflection, Refraction, and Dispersion",Only Reflection,c
Red light is used as a danger signal because:,It is easily diffracted,Its scattering is the least,It is easily absorbed,It is the most intense color,b
Which of the following are considered Primary Colors?,"Red, Yellow, Blue","Red, Yellow, Green","Red, Green, Blue","Yellow, Green, Blue",c
The color of a star provides information about its:,Size,Distance from Earth,Temperature,Density,c
Which technology is employed for transmitting audio signals in Television (TV) broadcasting?,Amplitude Modulation (AM),Pulse Code Modulation (PCM),Frequency Modulation (FM),Phase Modulation (PM),c
Which gas is commonly used to fill the inside of an electric bulb?,Oxygen,Carbon Dioxide,Hydrogen,Argon (or Nitrogen),d
What serves as the source of electrical energy in an artificial satellite?,Nuclear Reactor,Fuel Cells,Solar Cells,Batteries,c
A Transformer is primarily utilized for:,Converting AC to DC voltage,Converting DC to AC voltage,Stepping up or stepping down AC voltage,Regulating DC voltage,c
Which type of lens is utilized to rectify Hypermetropia (Farsightedness)?,Concave Lens,Cylindrical Lens,Convex Lens,Plano-Convex Lens,c
The formation of a mirage is primarily attributed to which phenomenon?,Refraction of light,Diffraction of light,Total Internal Reflection of light,Dispersion of light,c
Optical Fiber operates based on which principal property of light?,Refraction,Diffraction,Polarization,Total Internal Reflection,d
What causes a diamond to exhibit a shiny appearance?,Refraction of Light,Diffraction of Light,Total Internal Reflection,Polarization of Light,c
The formation of a rainbow is due to which combination of light phenomena?,Interference and Diffraction,Polarization and Scattering,"Reflection, Refraction, and Dispersion",Diffraction and Reflection,c
Why is red light commonly employed for danger signals?,It is the most refracted color,It has the highest velocity,Its scattering is the least,It is the easiest color to produce,c
Identify the primary colors from the options below:,"Red, Yellow, Blue","Cyan, Magenta, Yellow","Red, Green, Blue","Red, Yellow, Green",c
What characteristic of a star is indicated by its color?,Its Density,Its Temperature,Its Size,Its Distance from Earth,b
The filament of an electric bulb is manufactured using which material?,Copper,Aluminum,Silver,Tungsten,d
Which gas is commonly used to fill the interior of an electric bulb?,Oxygen,Carbon Dioxide,Hydrogen,Argon (or Nitrogen),d
"In an artificial satellite, what serves as the primary source of electrical energy?",Batteries,Nuclear Reactor,Solar Cells,Fuel Cells,c
What is the primary function of a Transformer?,To convert DC voltage to AC voltage,To rectify AC voltage to DC voltage,To regulate current in a circuit,To step up or step down (Up or Down) AC voltage,d
Fuse wires used in homes are typically composed of an alloy of which two metals?,Copper and Zinc,Iron and Carbon,Tin and Lead,Aluminum and Silver,c
Which of the following devices is designed to convert electrical energy into mechanical energy?,Dynamo,Transformer,Electric Motor,Rectifier,c
A dynamo is responsible for converting which form of energy into electrical energy?,Chemical energy,Nuclear energy,Mechanical energy,Light energy,c
The filament in a 'Halogen Lamp' is made of which alloy?,Copper and Aluminum,Tungsten and Sodium,Silver and Gold,Nickel and Chromium,b
What does the acronym CFL stand for?,Charged Fluorescent Light,Compact Filament Lamp,Compact Fluorescent Lamp,Conductor Fluorescent Light,c
"In physics, what quantity does the unit 'Ohm' measure?",Electric Current,Electric Potential,Electrical Resistance,Electric Power,c
What is considered the primary cause of Earth's magnetic field?,Solar winds,Gravitational forces,Circulating currents inside the Core,Atmospheric pressure,c
What type of device is a typical mobile charger?,A Step-up Transformer,An Inverter,A Step-down Transformer,A Rectifier,c
On which fundamental principle is the Atom Bomb based?,Nuclear Fusion,Chemical Reaction,Nuclear Fission,Chain Reaction,c
The Hydrogen Bomb operates based on which principle?,Nuclear Decay,Nuclear Fission,Nuclear Fusion,Chemical Explosion,c
What process primarily generates the Sun's energy?,Chemical Combustion,Nuclear Fission,Nuclear Fusion,Gravitational Collapse,c
Which nuclear fuel is abundantly available in India?,Uranium,Plutonium,Thorium,Radium,c
Which of the following materials are used as a Moderator in a nuclear reactor?,Aluminum and Zinc,Heavy Water (D2O) and Graphite,Copper and Iron,Lead and Tin,b
What quantity is measured by the unit 'Curie'?,Electric Current,Radioactivity,Voltage,Resistance,b
What is the primary function of RADAR?,To measure atmospheric pressure,To detect the presence and position of objects using radio waves,To amplify audio signals,To generate electrical power,b
Fuse wires used in homes are typically made of an alloy of which elements?,Copper and Zinc,Iron and Carbon,Tin and Lead,Aluminum and Silver,c
Which device is responsible for converting electrical energy into mechanical energy?,Dynamo,Electric Motor,Transformer,Generator,b
A dynamo performs which of the following energy conversions?,Chemical to Electrical,Electrical to Mechanical,Mechanical to Electrical,Heat to Electrical,c
The filament of a Halogen Lamp is composed of which alloy?,Copper and Aluminum,Tungsten and Sodium,Iron and Nickel,Silver and Gold,b
What does the abbreviation CFL stand for?,Charged Fluorescent Light,Compact Filament Lamp,Compact Fluorescent Lamp,Circular Fluorescent Light,c
In what unit is Electrical Resistance measured?,Ampere,Volt,Ohm,Watt,c
What is considered to be the primary cause of Earth's magnetic field?,Solar Winds,Gravitational Forces,Circulating currents inside the Core,Atmospheric Pressure,c
What type of device is a mobile charger?,Step-up Transformer,Step-down Transformer,Inverter,Rectifier,b
On what principle does the Atom Bomb operate?,Nuclear Fusion,Chemical Reaction,Nuclear Fission,Chain Reaction,c
The Hydrogen Bomb is based on which of the following principles?,Nuclear Fission,Chemical Reaction,Nuclear Fusion,Radioactive Decay,c
What is the primary source of the Sun's energy?,Chemical Reactions,Nuclear Fission,Nuclear Fusion,Gravitational Collapse,c
Which nuclear fuel is found abundantly in India?,Uranium,Plutonium,Thorium,Radium,c
Which materials are commonly used as a Moderator in a nuclear reactor?,Heavy Water (D2O) and Graphite,Light Water (H2O) and Boron,Helium and Lithium,Sodium and Potassium,a
What is the unit of measurement for Radioactivity?,Pascal,Curie,Hertz,Joule,b
Fuse wires used in homes are composed of an alloy of:,Copper and Zinc,Iron and Carbon,Tin and Lead,Aluminum and Silver,c
Which device transforms electrical energy into mechanical energy?,Dynamo,Electric Motor,Transformer,Generator,b
A dynamo is a device that converts:,Electrical energy into chemical energy,Chemical energy into electrical energy,Mechanical energy into electrical energy,Electrical energy into mechanical energy,c
The filament of a Halogen Lamp is primarily composed of which alloy?,Copper and Aluminum,Tungsten and Sodium,Silver and Gold,Lead and Tin,b
The abbreviation CFL stands for:,Charged Fluorescent Light,Compact Fluorescent Lamp,Combined Filament Lamp,Capacitive Fluorescent Light,b
The unit of Electrical Resistance is:,Watt,Ampere,Volt,Ohm,d
The Earth's magnetic field is attributed to:,Solar flares,Gravitational pull of the moon,Circulating currents inside the Core,Atmospheric pressure,c
A mobile charger is best described as a:,Step-up Transformer,Rectifier,Step-down Transformer,Amplifier,c
An Atom Bomb is based on the principle of:,Nuclear Fusion,Chemical Reaction,Electromagnetic Induction,Nuclear Fission,d
The Hydrogen Bomb operates on the principle of:,Nuclear Fission,Chemical Reaction,Nuclear Fusion,Chain Reaction,c
