Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
Who among the following founded the 'Forward Bloc' after resigning from the Indian National Congress?,Subhas Chandra Bose,Jawaharlal Nehru,Sardar Vallabhbhai Patel,Rajendra Prasad,a,Indian National Movement,1
Which of the following events is considered the immediate cause for the launch of the Non-Cooperation Movement?,The Rowlatt Act,The Jallianwala Bagh Massacre,The Khilafat Movement,The Simon Commission,b,Indian National Movement,1
The 'Poorna Swaraj' resolution was passed in which session of the Indian National Congress?,Belgaum,Lahore,Karachi,Tripuri,b,Indian National Movement,1
Who among the following was the president of the Indian National Congress during the Quit India Movement?,Jawaharlal Nehru,Abul Kalam Azad,Sardar Vallabhbhai Patel,Rajendra Prasad,b,Indian National Movement,1
"Consider the following statements regarding the 'Pradhan Mantri Kisan Sampada Yojana' (PMKSY):
1. It is a comprehensive package aimed at creating modern infrastructure with efficient supply chain management from farm gate to retail outlet.
2. It focuses exclusively on horticulture crops.
3. It aims to reduce post-harvest losses and increase the value of agricultural produce.

Which of the statements given above is/are correct?",1 and 3 only,2 and 3 only,1 and 2 only,"1, 2 and 3",a,"Indian Agriculture, Commerce & Trade",1
"Arrange the following events related to the evolution of agricultural policy in India in chronological order:
1. Establishment of the Commission for Agricultural Costs and Prices (CACP).
2. Launch of the Green Revolution.
3. Introduction of National Agricultural Insurance Scheme (NAIS).
4. Enactment of the Essential Commodities Act.","4, 2, 1, 3","2, 4, 1, 3","4, 1, 2, 3","1, 2, 3, 4",a,"Indian Agriculture, Commerce & Trade",1
Which of the following committees/commissions is specifically associated with recommending reforms in agricultural marketing in India?,Shanta Kumar Committee,Rangarajan Committee,Kelkar Committee,Hanumantha Rao Committee,d,"Indian Agriculture, Commerce & Trade",1
"Assertion (A): The share of agriculture in India's GDP has been steadily declining over the past decades.
Reason (R): The growth rate of the industrial and service sectors has been significantly higher than that of the agricultural sector.

In the context of the above, which of the following is correct?",Both A and R are true and R is the correct explanation of A.,Both A and R are true but R is NOT the correct explanation of A.,A is true but R is false.,A is false but R is true.,a,"Indian Agriculture, Commerce & Trade",1
The 'Agricultural Produce Market Committee' (APMC) Act is enacted by which entity?,Central Government,State Government,NABARD,NITI Aayog,b,"Indian Agriculture, Commerce & Trade",1
"Match List I (Agricultural Revolutions) with List II (Associated Products) and select the correct answer using the codes given below:
List I:
(A) Yellow Revolution
(B) Blue Revolution
(C) Grey Revolution
(D) Golden Revolution

List II:
1. Fertilizers
2. Honey and Horticulture
3. Oilseeds
4. Fisheries

Codes:
","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4","A-2, B-1, C-4, D-3",a,"Indian Agriculture, Commerce & Trade",1
Which of the following is NOT a function of the 'Export Inspection Council (EIC)' of India?,Quality control and inspection of exportable commodities,Certification of food safety management systems,Administering the Merchandise Exports from India Scheme (MEIS),Providing training and technical assistance to exporters,c,"Indian Agriculture, Commerce & Trade",1
What is the primary objective of the 'Trade Infrastructure for Export Scheme (TIES)' launched by the Government of India?,Providing financial assistance to exporters,Creating and improving export infrastructure,Promoting foreign investment in India,Facilitating technology transfer to domestic industries,b,"Indian Agriculture, Commerce & Trade",1
Which Article of the Indian Constitution empowers the Parliament to legislate on matters related to inter-state trade and commerce?,Article 301,Article 302,Article 303,Article 307,b,"Indian Agriculture, Commerce & Trade",1
The concept of 'Producer Company' in Indian agriculture was introduced based on the recommendations of which committee?,Y.K. Alagh Committee,S.S. Tarapore Committee,Vijay Kelkar Committee,None of the above,a,"Indian Agriculture, Commerce & Trade",1
"Consider the following statements regarding the 'Digital India Act' (DIA), a proposed replacement for the IT Act, 2000:

1.  The DIA aims to regulate emerging technologies such as AI and blockchain.
2.  The DIA proposes a statutory framework for addressing online harms, including misinformation and illegal content.
3.  The DIA will establish a new adjudicatory body, the 'Digital India Authority,' to oversee its implementation.

Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,Current National & International Events,1
"Which country recently (2024) passed a law criminalizing same-sex sexual activity, further exacerbating concerns from human rights organizations?",Ghana,Uganda,Nigeria,Kenya,b,Current National & International Events,1
"Arrange the following international events in chronological order, from earliest to latest:

1.  Establishment of the International Criminal Court (ICC)
2.  Fall of the Berlin Wall
3.  Dissolution of the Soviet Union
4.  Entry into force of the Kyoto Protocol","2, 3, 1, 4","3, 2, 4, 1","4, 1, 3, 2","1, 4, 2, 3",a,Current National & International Events,1
"Assertion (A): The Arctic Council's activities are increasingly important due to climate change.
Reason (R): Melting ice in the Arctic opens up new shipping routes and access to natural resources, leading to increased geopolitical interest and potential conflicts.

In the context of the above, which of the following is correct?","Both A and R are true, and R is the correct explanation of A.","Both A and R are true, but R is not the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",a,Current National & International Events,1
"The 'Three Seas Initiative' (3SI), aimed at developing infrastructure in Central and Eastern Europe, primarily focuses on which three areas?","Energy, Transportation, and Digital Infrastructure","Defense, Security, and Economic Integration","Cultural Exchange, Education, and Environmental Protection","Healthcare, Agriculture, and Tourism",a,Current National & International Events,1
Which Indian city recently hosted the 'Global Buddhist Summit' with the theme “Responses to Contemporary Challenges: Philosophy to Praxis”?,Bodh Gaya,New Delhi,Varanasi,Sarnath,b,Current National & International Events,1
"Match List I (International Organization) with List II (Primary Function):

List I:
(A)  World Bank
(B)  International Monetary Fund (IMF)
(C)  World Trade Organization (WTO)
(D)  International Atomic Energy Agency (IAEA)

List II:
(1)  Ensuring the stability of the international monetary system
(2)  Promoting peaceful use of nuclear energy and preventing its weaponization
(3)  Providing financial assistance to developing countries
(4)  Regulating international trade

Choose the correct answer from the options given below:","(A)-(3), (B)-(1), (C)-(4), (D)-(2)","(A)-(1), (B)-(3), (C)-(2), (D)-(4)","(A)-(4), (B)-(2), (C)-(1), (D)-(3)","(A)-(2), (B)-(4), (C)-(3), (D)-(1)",a,Current National & International Events,1
"What is the primary objective of the 'Chip4 Alliance', a proposed collaboration between the United States, Taiwan, South Korea, and Japan?",To promote free trade in agricultural products,To enhance cooperation on semiconductor supply chains,To establish a joint military defense pact,To coordinate efforts on climate change mitigation,b,Current National & International Events,1
"Which country recently declared a national emergency due to an unprecedented outbreak of Dengue fever, straining its healthcare system?",Bangladesh,Sri Lanka,Philippines,Brazil,a,Current National & International Events,1
"The 'Loss and Damage Fund', established at COP27, is primarily intended to provide financial assistance to which category of nations?",Developed countries investing in renewable energy,Developing countries vulnerable to climate change impacts,Countries with significant carbon emissions reductions,Nations contributing the most to climate research,b,Current National & International Events,1
"Consider the following statements regarding the Finance Commission in India:
1.  The recommendations made by the Finance Commission are only advisory in nature and not binding on the government.
2.  The Finance Commission is constituted every five years or earlier.
3.  The Chairman of the Finance Commission must be a retired judge of the Supreme Court.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a,"Indian Polity, Economy & Culture",1
"Which of the following committees/commissions is/are related to Centre-State relations?
1. Sarkaria Commission
2. Punchhi Commission
3. Rajamannar Committee
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,"Indian Polity, Economy & Culture",1
"With reference to the Essential Commodities Act, 1955, consider the following statements:
1. The Act empowers the Central Government to control the production, supply, and distribution of certain commodities.
2.  State Governments have no power to add or remove any commodity from the schedule under the Act.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a,"Indian Polity, Economy & Culture",1
"Arrange the following events in Indian economic history in chronological order, from earliest to latest:
1. Nationalization of Banks
2. Introduction of LPG reforms
3. Establishment of Planning Commission
4. Enactment of MRTP Act",3-1-4-2,1-3-2-4,3-4-1-2,4-3-2-1,a,"Indian Polity, Economy & Culture",1
"Assertion (A): The Constitution of India establishes a secular state.
Reason (R): Article 25 guarantees religious freedom as a fundamental right.
In the context of the above two statements, which one of the following is correct?",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is NOT the correct explanation of A,A is true but R is false,A is false but R is true,b,"Indian Polity, Economy & Culture",1
Which of the following best describes the term 'Devaluation' of a currency?,A reduction in the external value of a currency by official action.,A decrease in the domestic purchasing power of a currency.,An increase in the exchange rate of a currency.,The conversion of currency into gold.,a,"Indian Polity, Economy & Culture",1
The term 'Hindu rate of growth' is often used in Indian economics. Who coined this term?,Amartya Sen,Jagdish Bhagwati,Raj Krishna,Montek Singh Ahluwalia,c,"Indian Polity, Economy & Culture",1
Which of the following schedules of the Indian Constitution deals with the allocation of seats in the Council of States (Rajya Sabha)?,Fourth Schedule,Fifth Schedule,Sixth Schedule,Third Schedule,a,"Indian Polity, Economy & Culture",1
"Which of the following is NOT a feature of the Indian Constitution borrowed from the Government of India Act, 1935?",Office of Governor,Federal Scheme,Parliamentary System,Public Service Commissions,c,"Indian Polity, Economy & Culture",1
"Match List I (Constitutional Amendment) with List II (Subject Matter) and select the correct answer using the codes given below the lists:
List I
(A) 52nd Amendment Act
(B) 73rd Amendment Act
(C) 86th Amendment Act
(D) 91st Amendment Act

List II
1. Elementary Education as Fundamental Right
2. Anti-Defection Law
3. Panchayats
4. Limit on size of Council of Ministers

Codes:
","A-2, B-3, C-1, D-4","A-3, B-2, C-4, D-1","A-1, B-4, C-2, D-3","A-4, B-1, C-3, D-2",a,"Indian Polity, Economy & Culture",1
The 'Ganga Kalyan Yojana' is associated with which of the following?,Providing irrigation facilities to farmers,Cleaning of the Ganga river,Providing healthcare to people living near the Ganga,Promoting tourism along the Ganga,a,"Indian Polity, Economy & Culture",1
The 'Mudra' scheme primarily aims at:,Providing financial assistance to large industries,Providing loans to small entrepreneurs,Promoting exports,Developing infrastructure,b,"Indian Polity, Economy & Culture",1
Which of the following classical dances is NOT traditionally associated with a specific state in India?,Kathak,Sattriya,Manipuri,Kuchipudi,a,"Indian Polity, Economy & Culture",1
The term 'Lothal' often appears in the context of Indian history. What was Lothal primarily known for?,A major Buddhist learning center,An important Indus Valley civilization port city,The capital of the Mauryan Empire,A site of early Vedic settlements,b,"Indian Polity, Economy & Culture",1
"Consider the following statements regarding the Goods and Services Tax (GST) in India:
1. GST is a destination-based tax.
2. GST Council is chaired by the Prime Minister of India.
3. All goods and services are taxed at the same rate under GST.
Which of the statements given above is/are correct?",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a,"Indian Polity, Economy & Culture",1
"Consider the following statements regarding the formation of the Himalayas:
1. The Tethys Sea was located where the Himalayas stand today.
2. The collision between the Indian and Eurasian plates caused the uplift.
3. The Himalayas are formed solely of sedimentary rocks.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a,World Geography & Geography of India,1
"Match List I (Geographical Feature) with List II (Location) and select the correct answer using the code given below the lists:
List I:
(A) Atacama Desert
(B) Great Barrier Reef
(C) Pampas
(D) Siberian Plains
List II:
(1) Australia
(2) South America
(3) Chile
(4) Russia","A-3, B-1, C-2, D-4","A-1, B-3, C-4, D-2","A-2, B-4, C-1, D-3","A-4, B-2, C-3, D-1",a,World Geography & Geography of India,1
"Arrange the following mountain ranges from North to South:
1. Karakoram
2. Zaskar
3. Pir Panjal
4. Shiwalik",1-2-3-4,4-3-2-1,2-1-4-3,3-4-1-2,a,World Geography & Geography of India,1
"Assertion (A): The western coast of India is more prone to erosion than the eastern coast.
Reason (R): The western coast experiences stronger wave action and lacks extensive deltas.
In the context of the above, which one of the following is correct?",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is NOT the correct explanation of A,A is true but R is false,A is false but R is true,a,World Geography & Geography of India,1
Which of the following straits connects the Andaman Sea and the South China Sea?,Strait of Malacca,Strait of Hormuz,Strait of Gibraltar,Bass Strait,a,World Geography & Geography of India,1
The 'Ring of Fire' is primarily associated with which of the following?,Frequent cyclones,Volcanic activity and earthquakes,High rainfall zones,Coral reef formation,b,World Geography & Geography of India,1
Which of the following rivers is NOT a tributary of the Indus River?,Beas,Sutlej,Chenab,Luni,d,World Geography & Geography of India,1
What is the primary cause of the formation of oxbow lakes?,Tectonic activity,Glacial erosion,River meandering,Wind action,c,World Geography & Geography of India,1
Which of the following is the largest producer of Mica in India?,Rajasthan,Andhra Pradesh,Jharkhand,Odisha,b,World Geography & Geography of India,1
"Consider the following statements regarding the monsoon in India:
1. The Arabian Sea branch of the monsoon arrives earlier than the Bay of Bengal branch.
2. The Himalayas play a crucial role in directing the monsoon winds.
3. The Intertropical Convergence Zone (ITCZ) is not related to monsoon patterns.
Which of the statements given above is/are correct?",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",b,World Geography & Geography of India,1
Which of the following cloud types is associated with thunderstorms?,Cirrus,Stratus,Cumulonimbus,Altostratus,c,World Geography & Geography of India,1
What is the approximate percentage of India's land area that is classified as forest cover according to the India State of Forest Report 2021?,18%,21%,24%,27%,c,World Geography & Geography of India,1
Which of the following is a warm ocean current?,Labrador Current,Canary Current,Gulf Stream,Benguela Current,c,World Geography & Geography of India,1
The 'Shiwalik' range is also known as:,Inner Himalayas,Lesser Himalayas,Outer Himalayas,Trans Himalayas,c,World Geography & Geography of India,1
Which Indian state has the largest coastline?,Tamil Nadu,Kerala,Andhra Pradesh,Gujarat,d,World Geography & Geography of India,1
"Consider the following statements regarding the National Population Register (NPR) in India:
1. It is prepared under the provisions of the Citizenship Act, 1955.
2. It is a register of usual residents of the country.
3. It is updated annually.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,"Population, Ecology & Urbanisation (India context)",1
"Which of the following committees/commissions is/are associated with the study of urban housing in India? 
1. National Commission on Urbanisation
2. Rangarajan Committee
3. NITI Aayog Expert Group on Urban Development
Select the correct answer using the code given below:",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",d,"Population, Ecology & Urbanisation (India context)",1
"Assertion (A): The ecological footprint of urban areas in India is significantly larger than that of rural areas.
Reason (R): Urban areas consume a disproportionately high amount of resources and generate more waste compared to rural areas.
In the context of the above, which one of the following is correct?",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,a,"Population, Ecology & Urbanisation (India context)",1
Which of the following is NOT a direct consequence of rapid urbanization in India?,Increased pressure on existing infrastructure,Decline in agricultural productivity in surrounding rural areas,Rise in the incidence of zoonotic diseases,Decreased water table levels due to over-extraction,c,"Population, Ecology & Urbanisation (India context)",1
"Arrange the following environmental legislations in India in chronological order of their enactment:
1. Environment (Protection) Act
2. Water (Prevention and Control of Pollution) Act
3. Air (Prevention and Control of Pollution) Act
4. Wildlife Protection Act
Select the correct answer using the code given below:",4-2-3-1,2-4-3-1,4-2-1-3,2-3-4-1,a,"Population, Ecology & Urbanisation (India context)",1
"Which of the following initiatives is specifically aimed at improving the quality of life in urban areas by focusing on water supply, sewerage, urban transport, parks, and green spaces?",Atal Mission for Rejuvenation and Urban Transformation (AMRUT),Smart Cities Mission,Swachh Bharat Mission (Urban),Pradhan Mantri Awas Yojana (Urban),a,"Population, Ecology & Urbanisation (India context)",1
"Match List I (Demographic Term) with List II (Definition) and select the correct answer using the code given below:
List I
(A) Crude Birth Rate
(B) Total Fertility Rate
(C) Infant Mortality Rate
(D) Replacement Level Fertility
List II
(1) Number of live births per 1,000 women of reproductive age
(2) Number of deaths of infants under one year of age per 1,000 live births
(3) Number of live births per 1,000 population
(4) The average number of children a woman would have during her reproductive years
(5) The level of fertility at which a population exactly replaces itself from one generation to the next","A-3, B-4, C-2, D-5","A-4, B-3, C-5, D-2","A-3, B-1, C-2, D-5","A-5, B-2, C-4, D-3",a,"Population, Ecology & Urbanisation (India context)",1
"Which of the following is a key characteristic of an 'Urban Heat Island' effect, commonly observed in densely populated cities in India?",Higher rainfall compared to surrounding rural areas,Lower average wind speeds compared to surrounding rural areas,Significantly lower temperatures compared to surrounding rural areas,Higher average temperatures compared to surrounding rural areas,d,"Population, Ecology & Urbanisation (India context)",1
The Gadgil Committee report and the Kasturirangan Committee report are related to which of the following?,Constitutional Reforms,Western Ghats Ecology,Agricultural Subsidies,Centre-State Relations,b,"Population, Ecology & Urbanisation (India context)",1
Which Article of the Indian Constitution makes provision for the protection and improvement of environment and safeguarding of forests and wildlife?,Article 48,Article 48 A,Article 51 A (g),Both Article 48 A and Article 51 A (g),d,"Population, Ecology & Urbanisation (India context)",1
"A, B, C, D, E, F, and G are sitting in a row facing north. D is immediate right to C. C is 4th to the left of B. F is immediate neighbor of C. G is neighbor of E, who is third to the left of D. Who are the neighbors of C?",F and D,F and G,A and F,D and E,a,Reasoning & General Aptitude,1
"Consider the following statements:
1. All poets are dreamers.
2. All painters are dreamers.
Conclusion: Some painters are poets.
Which of the following is/are correct deductions?",Only the conclusion follows.,Neither the conclusion nor the statement follows.,Only the statement follows.,The conclusion does not follow.,d,Reasoning & General Aptitude,1
"Choose the word which is least like the other words in the group:
 a) Bronze b) Graphite c) Brass d) Copper",Copper,Graphite,Bronze,Brass,b,Reasoning & General Aptitude,1
"Complete the series: 3, 10, 20, 33, 49, 68, ?",90,85,91,92,a,Reasoning & General Aptitude,1
"Assertion (A): The Himalayas are prone to frequent landslides.
Reason (R): The Himalayas are young fold mountains.
Choose the correct option:",Both A and R are true and R is the correct explanation of A.,A is true but R is false.,Both A and R are true but R is not the correct explanation of A.,A is false but R is true.,a,Reasoning & General Aptitude,1
"If 'SYSTEM' is coded as '131625' and 'NEARER' as '584847', then what is the code for 'SERMON'?",184365,187354,147365,147358,a,Reasoning & General Aptitude,1
Find the missing number: 4 : 17 :: 7 : ?,49,50,51,48,b,Reasoning & General Aptitude,1
"Arrange the following in a logical order:
1. Probation 2. Interview 3. Selection 4. Appointment 5. Advertisement","5, 2, 3, 4, 1","5, 3, 2, 4, 1","5, 2, 4, 3, 1","2, 5, 3, 4, 1",a,Reasoning & General Aptitude,1
A train 150 meters long is running with a speed of 68 kmph. In what time will it pass a man who is running at 8 kmph in the same direction?,8 sec,8.5 sec,9 sec,9.5 sec,c,Reasoning & General Aptitude,1
The average weight of 8 persons increases by 2.5 kg when a new person replaces one of them weighing 65 kg. The weight of the new person is:,76 kg,85 kg,67.5 kg,80 kg,b,Reasoning & General Aptitude,1
"If South-East becomes North, North-East becomes West and so on, what will West become?",South-West,North-East,South-East,North-West,c,Reasoning & General Aptitude,1
"If '+' means '-', '-' means '*', '*' means '/' and '/' means '+', then 15 / 10 * 130 + 10 - 5 = ?",170,21,195,200,d,Reasoning & General Aptitude,1
"Two numbers are in the ratio 3:5. If 9 is subtracted from each, the ratio becomes 12:23. Find the numbers.","36, 60","33, 55","30, 50","24, 40",b,Reasoning & General Aptitude,1
A container contains 40 litres of milk. From this container 4 litres of milk was taken out and replaced by water. This process was repeated further two times. How much milk is now contained by the container?,29.16 litres,28 litres,30 litres,27.36 litres,a,Reasoning & General Aptitude,1
What is the probability of getting a sum 9 from two throws of a dice?,1/6,1/9,1/12,2/9,b,Reasoning & General Aptitude,1
Which of the following sentences demonstrates the correct usage of the word 'disinterested'?,The judge remained disinterested throughout the emotionally charged trial.,"She was disinterested in the outcome of the election, as she felt all candidates were flawed.",A disinterested observer is crucial for fair arbitration.,He accepted the bribe without being disinterested in the consequences.,c,General English,1
Identify the sentence with the most appropriate use of a subjunctive mood:,"If I was you, I would accept the offer.",I wish I was taller.,It is important that he arrives on time.,"If he was to ask me, I would say no.",c,General English,1
Which of the following options best describes the literary device used in the phrase: 'A deafening silence'?,Synecdoche,Metonymy,Oxymoron,Hyperbole,c,General English,1
Choose the sentence that correctly uses the idiom 'to gild the lily':,He tried to gild the lily by adding more details to the already perfect painting.,She decided to gild the lily and simplify the complex algorithm.,They gilded the lily to hide the underlying flaws in their argument.,"To gild the lily, one must first understand the lily's inherent beauty.",a,General English,1
Identify the grammatically correct sentence:,Neither the students nor the teacher were present.,Neither the students nor the teacher was present.,Neither the students or the teacher was present.,Neither the students or the teacher were present.,b,General English,1
What is the meaning of the phrasal verb 'to knuckle down'?,To surrender,To avoid responsibility,To start working hard,To criticize harshly,c,General English,1
Which sentence contains a dangling modifier?,"Having finished the assignment, I went to bed.","Running quickly, the train was almost missed.","After eating dinner, we went for a walk.","To understand the problem, it requires careful analysis.",b,General English,1
Choose the option that best replaces the underlined word with a more formal synonym: The company decided to *scrap* the project.,Abolish,Jettison,Terminate,Eliminate,c,General English,1
Arrange the following words in the correct sequence to form a coherent and grammatically sound sentence: (1) the (2) success (3) to (4) key (5) is (6) hard (7) work,"1, 4, 5, 2, 3, 6, 7","1, 2, 5, 4, 3, 6, 7","4, 5, 1, 2, 3, 6, 7","4, 1, 5, 2, 3, 6, 7",b,General English,1
Assertion (A): The use of colloquial language can sometimes enhance the relatability of a literary work. Reason (R): Colloquialisms always detract from the overall quality and sophistication of writing.,"Both A and R are true, and R is the correct explanation of A.","Both A and R are true, but R is not the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",c,General English,1
"Consider the following statements regarding the Hindi word 'अन्त्याक्षरी':

1. It is a compound word formed by joining 'अन्त्य' and 'अक्षर'.
2. It refers to a game or activity where the last letter of a word is used to start the next word.
3. It is exclusively used in formal literary contexts.

Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a,General Hindi,1
