Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
Which of the following is a characteristic of a 'census household'?,A group of people owning separate houses,A group of unrelated individuals living together,A group of people who normally live together and take meals from a common kitchen,A group of people working in the same office,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
"According to Census terminology, what is a 'census house'?",A house owned by the government,A house used only for business purposes,A building or part of a building having a separate main entrance from the road or common courtyard,A temporary shelter used during disasters,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
What information does the Census collect about the housing stock?,Building materials of walls and roof,Number of rooms in the house,Availability of drinking water and toilet facilities,All of the above,d,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
What is the primary purpose of collecting language data in the Census?,To promote certain languages,To understand the linguistic diversity of the country,To make policies related to language education,To provide data for linguistic research,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
What is the official designation of the head of the Census organization in India?,Census Director,Chief Statistician,Registrar General and Census Commissioner,Director General of Census,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
When was the first complete Census conducted in India?,1872,1881,1951,1947,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which state has the highest population density according to the Census 2011?,West Bengal,Kerala,Uttar Pradesh,Bihar,d,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
"According to Census 2011, which state has the highest literacy rate?",Goa,Kerala,Mizoram,Tamil Nadu,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which state has the lowest literacy rate according to Census 2011?,Bihar,Jharkhand,Rajasthan,Arunachal Pradesh,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which Union Territory has the highest literacy rate according to Census 2011?,Lakshadweep,Delhi,Chandigarh,Daman and Diu,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
What is the slogan of Census 2011?,"Our Census, Our Future",People of India: United,"Our Nation, Our Census","My Census, My India",a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
The Census in India is conducted after every how many years?,12,5,10,8,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Who was the Registrar General and Census Commissioner of India during the 2011 Census?,Tapan Kumar Ghosh,Vivek Joshi,Dr. C. Chandramouli,Mrityunjay Kumar Narayan,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which of the following is NOT directly collected in the Census?,Household income,Age and sex,Marital status,Religion,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
"According to Census 2011, which state has the highest sex ratio?",Tamil Nadu,Karnataka,Kerala,Andhra Pradesh,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
"According to Census 2011, which state has the lowest sex ratio?",Haryana,Punjab,Bihar,Uttar Pradesh,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which Union Territory has the highest sex ratio according to Census 2011?,Puducherry,Lakshadweep,Andaman and Nicobar Islands,Chandigarh,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which Union Territory has the lowest sex ratio according to Census 2011?,Daman and Diu,Dadra and Nagar Haveli,Chandigarh,Delhi,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
What is the definition of 'Urban Agglomeration' in the context of Census?,A cluster of villages,A continuous urban spread constituting a town and its adjoining outgrowths,A group of farms,A collection of rural households,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which of the following schedules/forms is used for houselisting and housing census operations?,Schedule 1,Form A,Houselist,Form B,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
"In Census, a ‘literate’ person is defined as one who can...",Read and write his/her name.,Read and write with understanding in any language.,Only read in any language.,Has completed primary education,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which article of the Indian Constitution empowers the Union government to conduct the census?,Article 246,Article 368,Article 19,Article 300A,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which ministry is responsible for the census in India?,Ministry of Home Affairs,Ministry of Statistics and Programme Implementation,Ministry of Social Justice and Empowerment,Ministry of Rural Development,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which of the following features was used for the first time in Census 2011?,Use of paper questionnaires,Collection of data through computers,Aadhaar number capturing,Collection of biometrics,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
"What is the main objective of the 'National Population Register' (NPR), linked to the Census?",To conduct elections,To create a database of usual residents of the country,To distribute ration cards,To provide employment,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which of the following is NOT a characteristic of the Census?,Universality,Periodicity,Individual enumeration,Sample survey,d,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which of the following states has the highest percentage of urban population as per Census 2011?,Maharashtra,Goa,Tamil Nadu,Kerala,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which of the following states has the lowest percentage of urban population as per Census 2011?,Bihar,Odisha,Himachal Pradesh,Assam,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
"As per Census 2011, what percentage of the total population of India lives in rural areas?",68.84%,50.5%,75.0%,60.2%,a,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
What is the term used to describe the number of females per 1000 males in the population?,Birth rate,Mortality rate,Sex ratio,Fertility rate,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
"As per Census 2011, which of the following religions has the highest percentage share of the total population of India?",Islam,Christianity,Hinduism,Sikhism,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which of the following schedules focuses on economic questions?,Enterprise list,Household schedule,Individual slip,Enumerator block form,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which state has the highest negative growth rate of child population (0-6) according to Census 2011?,Kerala,Punjab,Haryana,Goa,d,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which of the following statements is true about the language data collected in Census?,It only considers languages listed in the Eighth Schedule of the Constitution.,It records the mother tongue as declared by the respondent.,It only considers languages spoken by more than 1 million people.,It uses a linguistic survey to identify languages.,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
"According to Census definition, a 'worker' is a person who...",Is employed in the organized sector.,Is engaged in any economically productive activity.,Draws a salary above a certain threshold.,Has completed a professional degree.,b,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
The concept of 'notified area' used in the Census refers to...,A new district,An area with a high crime rate,An area notified by the state government as urban,A tribal area,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which of the following is NOT a characteristic used to define a 'Scheduled Tribe' for Census purposes?,Primitive Traits,Distinct Culture,Geographical Isolation,Economic Status,d,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
Which state had the highest growth rate during 2001-2011?,Bihar,Gujarat,Meghalaya,Maharashtra,c,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
When was the Office of the Registrar General and Census Commissioner established?,1941,1949,1951,1961,d,Census,"Census of India years and history, Population growth trends India census wise, Literacy rate census data male female, Sex ratio census state wise facts, Population density census state wise, Urban rural population census data, Scheduled caste scheduled tribe census data, Migration data census internal migration, Census definitions workers non workers main marginal, Census household and housing data, Census religion wise population data, Census language data India, Decadal growth rate census facts, Most populated least populated states census, Census towns and statutory towns difference, Child population 0-6 age census data, Dependency ratio census concept, Census socio economic indicators, Registrar General of India census authority, Census 2011 key highlights and rankings",1
