Question,Option A,Option B,Option C,Option D,Correct Answer
At which site in India was the earliest evidence of iron discovered through excavation?,Damdama,Bhimbetka,Navdatoli,Atranjikhera,d
"In the Chalcolithic Age, in which direction were the dead buried by the people of Maharashtra?",East to West,South to North,West to East,North to South,d
"Who established the three-age system of Stone, Bronze, and Iron?",H.D. Sankalia,Robert Bruce Foote,Thomsen,None of these,c
"Robert Bruce Foote, the discoverer of the first Palaeolithic tool in India, was a:",Historian,Botanist,Geologist,Archaeologist,c
The Chalcolithic site of Navdatoli was excavated by:,Robert Bruce Foote,Thomsen,H.D. Sankalia,None of these,c
The caves of Bhimbetka are famous for what?,Iron tools,Burial sites,Clay pots,Rock paintings,d
The archaeological site of Damdama is related to which period?,Chalcolithic Age,Neolithic Age,Mesolithic Age,Palaeolithic Age,c
"Bhimbetka, a famous Palaeolithic site, is located in which state?",Maharashtra,Uttar Pradesh,Madhya Pradesh,None of these,c
In which period were clay pots discovered in ancient Indian history?,Mesolithic Age,Chalcolithic Age,Palaeolithic Age,Neolithic Age,d
At which site in India was the earliest evidence of iron found through excavation?,Navdatoli,Hastinapur,Bhimbetka,Atranjikhera,d
"In the Chalcolithic Age, the people of Maharashtra buried the dead in which direction?",East to West,South to North,North to South,West to East,c
"Who established the three-age system (Stone, Bronze, and Iron) based on materials from the Copenhagen Museum?",H.D. Sankalia,Robert Bruce Foote,Thomsen,None of the above,c
Who excavated the Chalcolithic site of Navdatoli?,Robert Bruce Foote,Thomsen,H.D. Sankalia,None of the above,c
"In which Indian state is Bhimbetka, a famous Palaeolithic site, located?",Maharashtra,Uttar Pradesh,Madhya Pradesh,None of the above,c
During which period of ancient Indian history were clay pots discovered?,Mesolithic Age,Chalcolithic Age,Palaeolithic Age,Neolithic Age,d
The earliest evidence of iron in India was found at which site?,Hastinapur,Navdatoli,Atranjikhera,Damdama,c
"Robert Bruce Foote, who discovered the first Palaeolithic tool in India, was primarily a:",Botanist,Geologist,Historian,Archaeologist,b
"The 'three-age system' of Stone, Bronze, and Iron was established by:",H.D. Sankalia,Robert Bruce Foote,Thomsen,None of the above,c
The archaeological site of Damdama is associated with which period?,Neolithic Age,Chalcolithic Age,Mesolithic Age,Palaeolithic Age,c
For what reason are the caves of Bhimbetka well-known?,For metal tools,For rock paintings,For pottery remains,For iron smelting sites,b
In which state is the Palaeolithic site of Bhimbetka located?,Maharashtra,Madhya Pradesh,Rajasthan,Gujarat,b
In which period were clay pots initially discovered in ancient Indian history?,Mesolithic Age,Chalcolithic Age,Neolithic Age,Palaeolithic Age,c
"During the Chalcolithic Age, the people of Maharashtra typically buried their dead in which direction?",East to West,South to North,North to South,West to East,c
The earliest evidence of iron in India was found at which excavated site?,Hastinapur,Navdatoli,Atranjikhera,Damdama,c
The 'Ochre-Coloured Pottery' name originated from which site?,Atranjikhera,Navdatoli,Hastinapur,Bhimbetka,c
"Robert Bruce Foote, who discovered the first Palaeolithic tool in India, was a:",Historian,Botanist,Geologist,Archaeologist,c
For what are the caves of Bhimbetka famous?,Metal tools,Rock paintings,Pottery,Burial sites,b
H.D. Sankalia excavated which Chalcolithic site?,Atranjikhera,Hastinapur,Navdatoli,Damdama,c
"In the Chalcolithic Age, how did people in Maharashtra bury the dead?",East to West,South to North,North to South,West to East,c
In which state is the archaeological site of Inamgaon located?,Uttar Pradesh,Balochistan,Maharashtra,Punjab,c
What is the Neolithic tool known as?,Hunsagi,Celt,Hathnora,Mahagara,b
Which of the following statements is INCORRECT regarding Dholavira?,It is a Harappan city.,It was divided into three parts.,It is a Palaeolithic site.,It is related to the Indus Valley Civilization.,c
Which archaeological site provides evidence of pit-dwellings?,Lothal,Burzahom,Mehrgarh,Hunsagi,b
What material was exported from the Indus Civilization?,Stone tools,Microliths,Cotton clothes,Neolithic tools,c
The skull of 'Homo erectus' was discovered at which prehistoric Indian site?,Koldihwa,Mehrgarh,Hathnora,Inamgaon,c
Which of the following was a port of the Harappan civilization?,Daderi,Hunsagi,Lothal,Burzahom,c
In which province of Pakistan is Mehrgarh located?,Punjab,Maharashtra,Uttar Pradesh,Balochistan,d
What is Hunsagi known for?,A Neolithic settlement,A Palaeolithic site of archaeological importance,A Harappan port,A site with evidence of pit-dwellings,b
The 'Dancing Girl' statue was created using which technique?,Microlith carving,Lost-wax casting,Celt shaping,Pit-dwelling construction,b
In which state is the late Harappan site of Daderi located?,Rajasthan,Punjab,Haryana,Gujarat,b
Which of the following archaeological sites is located in Uttar Pradesh?,Inamgaon,Burzahom,Koldihwa,Hunsagi,c
Which of the following was a key export from the Indus Civilization?,Spices,Gems,Cotton clothes,Metal Ores,c
The Harappan city known for being divided into three parts is:,Mohenjo-daro,Harappa,Dholavira,Lothal,c
Which province of Pakistan is home to the Neolithic settlement of Mehrgarh?,Sindh,Punjab,Balochistan,Khyber Pakhtunkhwa,c
At which site in India was the skull of 'Homo erectus' discovered?,Burzahom,Hathnora,Inamgaon,Mahagara,b
What is the name given to the first age of the prehistoric period?,Neolithic Age,Mesolithic Age,Palaeolithic Age,Chalcolithic Age,c
What type of tool is classified as a Celt?,Palaeolithic tool,Mesolithic tool,Neolithic tool,Harappan tool,c
Which of the following sites is identified as a Palaeolithic site of archaeological importance in India?,Burzahom,Hunsagi,Mehrgarh,Lothal,b
Which of the following was a port city of the Harappan civilization?,Harappa,Mohenjo-daro,Lothal,Dholavira,c
Evidence of pit-dwellings has been found at which archaeological site?,Inamgaon,Burzahom,Koldihwa,Hathnora,b
Where is the archaeological site of Inamgaon located?,Uttar Pradesh,Gujarat,Maharashtra,Rajasthan,c
In which Indian state is the archaeological site of Inamgaon situated?,Uttar Pradesh,Balochistan,Maharashtra,Punjab,c
Which of the following sites is recognized as a Palaeolithic site of archaeological significance in India?,Burzahom,Mehrgarh,Hunsagi,Koldihwa,c
What type of tools were known as microliths and utilized by early humans?,Stone tools,Neolithic tools,Iron tools,Copper tools,a
A 'Celt' is best described as which type of tool?,A Palaeolithic tool,A Mesolithic tool,A Neolithic tool,An Iron Age tool,c
Which age is designated as the initial period of the prehistoric era?,The Neolithic Age,The Mesolithic Age,The Chalcolithic Age,The Palaeolithic Age,d
In which present-day province is the Neolithic settlement of Mehrgarh situated?,Punjab,Balochistan,Maharashtra,Uttar Pradesh,b
At which archaeological site has evidence indicating the presence of pit-dwellings been unearthed?,Lothal,Burzahom,Dholavira,Hathnora,b
The Harappan city known for being divided into three distinct parts is:,Lothal,Dholavira,Mehrgarh,Inamgaon,b
The 'Dancing Girl' statue from the Indus Valley Civilization was created using which technique?,Stone carving,Lost-wax casting,Pottery,Wood carving,b
Which of the following sites served as a port during the Harappan civilization?,Dholavira,Lothal,Mehrgarh,Hathnora,b
Identify the INCORRECT statement regarding Daderi.,Daderi is a late Harappan site.,Daderi is located in Punjab.,Daderi is a Palaeolithic site.,Daderi is an archaeological site.,c
In which province of Pakistan is the Neolithic settlement of Mehrgarh situated?,Punjab,Sindh,Balochistan,Khyber Pakhtunkhwa,c
Which of the following is identified as a Neolithic tool?,Microlith,Celt,Acheulean,Hand axe,b
The Harappan city divided into three parts is:,Lothal,Dholavira,Mehrgarh,Inamgaon,b
What material was a major export from the Indus Civilization?,Metals,Grains,Cotton clothes,Spices,c
What technique was employed for creating the 'Dancing Girl' statue?,Stone carving,Terracotta molding,Lost-wax casting,Pottery glazing,c
Where is the archaeological site of Koldihwa located?,Maharashtra,Uttar Pradesh,Balochistan,Punjab,b
"Daderi, a late Harappan site, is located in which state?",Gujarat,Rajasthan,Punjab,Haryana,c
Which of the following sites is NOT associated with the Indus Valley Civilization?,Harappa,Mohenjo-daro,Pataliputra,Lothal,c
What does 'Mohenjo-daro' literally mean?,City of Gold,Great Granary,Mound of the Dead,Royal Palace,c
Which material were most standard Harappan seals made of?,Terracotta,Bronze,Steatite,Copper,c
The Harappan city of Harappa is situated on the bank of which river?,Indus,Ghaggar,Ravi,Beas,c
In which present-day province is Mohenjo-daro located?,Punjab,Sindh,Balochistan,Khyber Pakhtunkhwa,b
Which Harappan city was primarily dedicated to craft production?,Harappa,Mohenjo-daro,Chanhudaro,Lothal,c
In which Indian state is the Indus Valley site of Dholavira located?,Rajasthan,Gujarat,Haryana,Punjab,b
The evidence of reservoirs in Indus Valley Civilization has been found at which of the following sites?,Mohenjo-daro,Harappa,Dholavira,Lothal,c
Who took charge of Harappa excavation after becoming the Director General of ASI in 1944?,R.D. Banerji,S.R. Rao,Sir John Marshall,Sir Mortimer Wheeler,d
Who was the first to excavate Mohenjo-daro?,Sir John Marshall,Sir Mortimer Wheeler,R.D. Banerji,S.R. Rao,c
Around which year did the Harappan civilization develop in Western India and Pakistan?,3500 B.C.,2500 B.C.,1500 B.C.,500 B.C.,b
What was the most important feature of the Indus Valley Civilization?,Iron tools,Buildings made of bricks,Large scale agriculture,Horse-drawn chariots,b
What metal did the people of the Indus civilization create by mixing copper and tin?,Iron,Gold,Bronze,Silver,c
Which animal is frequently depicted on Harappan seals?,Lion,Tiger,Bull,Elephant,c
Where was the bronze statue of the 'Dancing Girl' discovered?,Harappa,Lothal,Mohenjo-daro,Dholavira,c
In which language does the name 'Mohenjo-daro' mean 'Mound of the Dead'?,Sanskrit,Hindi,Sindhi,Prakrit,c
Which deity was commonly worshipped by the people of the Indus Valley Civilization?,Indra,Varuna,Agni,Pashupati,d
In which state is the Harappan site 'Banawali' located?,Punjab,Haryana,Rajasthan,Gujarat,b
The Harappan site Mandi is located in which state?,Punjab,Haryana,Uttar Pradesh,Rajasthan,c
Which of the following statements is INCORRECT regarding the Indus Valley Civilization?,The Indus people were the first to produce cotton.,The Great Bath was a rectangular tank.,The society was Urban.,They used iron tools extensively.,d
What does 'Mohenjo-daro' signify?,City of Gold,Mound of the Dead,Great Granary,Sacred Place,b
The excavation of Lothal was discovered by whom?,R.D. Banerji,Sir Mortimer Wheeler,S.R. Rao,John Marshall,c
At which of the following sites were the remains of horse bones discovered?,Mohenjo-daro,Lothal,Surkotada,Harappa,c
Most standard Harappan seals were crafted from which material?,Bronze,Copper,Steatite,Terracotta,c
The city of Harappa is situated on the banks of which river?,Indus,Ghaggar-Hakra,Ravi,Beas,c
The Harappan city particularly known for its craft production was:,Mohenjo-daro,Harappa,Chanhudaro,Kalibangan,c
"Dholavira, an Indus Valley Civilization site, is located in which Indian state?",Rajasthan,Punjab,Haryana,Gujarat,d
"The Director General of ASI in 1944, who took charge of Harappa excavation was:",John Marshall,R.D. Banerji,S.R. Rao,Sir Mortimer Wheeler,d
Who was the first excavator of Mohenjo-daro?,Sir John Marshall,Sir Mortimer Wheeler,R.D. Banerji,Aurel Stein,c
The Harappan Civilization primarily developed around 2500 B.C. in:,Eastern India and Afghanistan,Northern India and China,Western India and Pakistan,Southern India and Iran,c
Which of the following was the most important feature of the Indus Valley Civilization?,Iron tools,Buildings made of bricks,Large scale agriculture,Domestication of horses,b
The people of the Indus civilization mixed copper and tin to produce:,Iron,Steel,Bronze,Brass,c
In what language does 'Mohenjo-daro' mean 'Mound of the Dead'?,Hindi,Sanskrit,Sindhi,Prakrit,c
The Harappan site 'Banawali' is currently located in which state?,Rajasthan,Punjab,Haryana,Gujarat,c
The nature of society in the Indus Valley Civilization was primarily:,Rural,Nomadic,Urban,Tribal,c
The Harappan site Mandi is located in which state of India?,Punjab,Haryana,Rajasthan,Uttar Pradesh,d
What is the meaning of 'Mohenjo-daro'?,City of Gold,Mound of the Dead,Great Granary,Sacred City,b
Who were the first to produce cotton?,The Egyptians,The Greeks,The Indus people,The Romans,c
At which site were the remains of horse bones found?,Mohenjo-daro,Harappa,Surkotada,Lothal,c
From where were shells obtained for craft production?,Harappa,Mohenjo-daro,Nageshwar,Banawali,c
Which of the following Indus Valley Civilization sites is located in Punjab (India)?,Mohenjo-daro,Harappa,Ropar,Lothal,c
Most standard Harappan seals were made of what material?,Terracotta,Bronze,Steatite,Copper,c
The Great Bath at Mohenjo-daro was a massive what?,Circular well,Rectangular tank,Triangular pool,Square room,b
The city of Harappa was found on the banks of which river?,Indus,Ghaggar-Hakra,Ravi,Beas,c
In which region is Mohenjo-daro located?,Punjab,Gujarat,Sindh,Haryana,c
In which state is Dholavira located?,Rajasthan,Punjab,Gujarat,Haryana,c
Dholavira is associated with which historical period?,Mauryan Empire,Gupta Empire,Indus Valley Civilization,Vedic Period,c
Evidence of reservoirs has been found at which site?,Harappa,Mohenjo-daro,Dholavira,Lothal,c
Who became the Director General of ASI in 1944 and took charge of Harappa excavation?,John Marshall,R.D. Banerji,S.R. Rao,Sir Mortimer Wheeler,d
Who first excavated Mohenjo-daro?,Sir John Marshall,R.D. Banerji,Sir Mortimer Wheeler,S.R. Rao,b
Around which region did the Harappan civilization develop around 2500 B.C.?,Eastern India and Burma,Southern India and Sri Lanka,Western India and Pakistan,Central India and Afghanistan,c
"Indian history begins with the Indus Valley Civilization, which came into existence around:",1500 BC,3000 BC,2500 BC,1000 BC,c
What did the people of the Indus civilization mix copper with to make bronze?,Iron,Gold,Tin,Silver,c
Which animal was often seen on Harappan seals?,Lion,Tiger,Horse,Bull,d
Where was the bronze statue of 'Dancing Girl' found?,Harappa,Mohenjo-daro,Lothal,Dholavira,b
In which language does 'Mohenjo-daro' mean 'Mound of the Dead'?,Sanskrit,Hindi,Sindhi,Urdu,c
Who did the people of the Indus Valley Civilization worship?,Indra,Varuna,Pashupati,Agni,c
The Harappan site 'Banawali' is located in which state?,Rajasthan,Gujarat,Haryana,Punjab,c
Which of the following is NOT a Harappan site located in Pakistan?,Harappa,Mohenjo-daro,Ropar,None of the above,c
What was the nature of society in the Indus Valley Civilization?,Rural,Tribal,Urban,Pastoral,c
At which Harappan site has evidence of water conservation been found?,Harappa,Mohenjo-daro,Dholavira,Lothal,c
At which sites have models of boats been found?,Harappa and Kalibangan,Mohenjo-daro and Lothal,Dholavira and Surkotada,Banawali and Rakhigarhi,b
Which of the following sites is NOT related to the Indus Valley Civilization?,Harappa,Mohenjo-daro,Pataliputra,Lothal,c
What does 'Mohenjo-daro' mean?,City of Gold,Mound of the Dead,Great Granary,Royal Palace,b
At which of the following sites were remains of horse bones found?,Mohenjo-daro,Harappa,Surkotada,Lothal,c
From which location were shells obtained for craft production?,Ropar,Harappa,Nageshwar,Banawali,c
Which of the following is an Indus Valley Civilization site located in Punjab (India)?,Mohenjo-daro,Harappa,Ropar,Surkotada,c
Most standard Harappan seals were made of:,Clay,Bronze,Steatite,Copper,c
The Great Bath at Mohenjo-daro was a massive:,Circular well,Rectangular tank,Triangular pond,Square enclosure,b
In which province is Mohenjo-daro located?,Punjab,Gujarat,Sindh,Balochistan,c
Dholavira is located in which state?,Rajasthan,Punjab,Gujarat,Haryana,c
Dholavira is associated with which period?,Mauryan Empire,Gupta Empire,Indus Valley Civilization,Vedic Period,c
Evidence of reservoirs has been found at which Indus Valley site?,Harappa,Mohenjo-daro,Lothal,Dholavira,d
"Around 2500 B.C., the Harappan civilization developed in:",Eastern India,Southern India,Western India and Pakistan,Central India,c
The people of the Indus civilization mixed which metals to make bronze?,Iron and Copper,Silver and Gold,Copper and Tin,Lead and Zinc,c
The bronze statue of 'Dancing Girl' was found at:,Harappa,Lothal,Dholavira,Mohenjo-daro,d
Whom did the people of the Indus Valley Civilization worship?,Indra,Agni,Pashupati,Varuna,c
Which of the following Harappan sites are located in Pakistan?,Harappa and Lothal,Mohenjo-daro and Ropar,Harappa and Mohenjo-daro,Lothal and Ropar,c
At which site has evidence of water conservation been found?,Harappa,Mohenjo-daro,Lothal,Dholavira,d
Which animal is NOT depicted on the 'Pashupati Shiva' seal from Mohenjo-daro?,Bull,Tiger,Elephant,Rhinoceros,a
The easternmost boundary of the Harappan culture is marked by which site?,Kalibangan,Lothal,Alamgirpur,Harappa,c
At which site was the figure of a horned deity found on a terracotta plaque?,Lothal,Kalibangan,Dholavira,Harappa,b
An ivory scale was discovered at which Harappan site?,Kalibangan,Harappa,Lothal,Mohenjo-daro,c
Who was the first archaeologist to excavate Harappa and understand its significance?,Sir Mortimer Wheeler,Sir John Marshall,Alexander Cunningham, दयाराम साहनी (Daya Ram Sahni),b
Who first used the term 'Indus Civilization'?,Alexander Cunningham,Sir Mortimer Wheeler,Sir John Marshall, दयाराम साहनी (Daya Ram Sahni),c
What provides the most significant insight into the Indus Valley Civilization?,Literary texts,Royal decrees,Archaeological excavations,Religious scriptures,c
Which of the following are Indus Civilization sites located in Uttar Pradesh?,Lothal and Kalibangan,Alamgirpur and Hulas,Harappa and Mohenjo-daro,Dholavira and Rakhigarhi,b
The Harappan site Sopal is located in which Indian state?,Rajasthan,Haryana,Gujarat,Punjab,c
Evidence of rock-cut architecture has been discovered at which Harappan site?,Lothal,Kalibangan,Dholavira,Harappa,c
At which site was a ploughed field discovered?,Harappa,Mohenjo-daro,Kalibangan,Lothal,c
Which is the largest Harappan site located in India?,Harappa,Mohenjo-daro,Rakhigarhi,Dholavira,c
Where are most of the Harappan sites located?,Ganga Valley,Indus Valley,Brahmaputra Valley,Narmada Valley,b
The beginning of idol worship is believed to be from which period?,Vedic period,Mauryan period,Pre-Aryan period,Gupta period,c
What is the main source of information about the Harappan culture?,Vedic texts,Archaeological excavations,Puranas,Travelogues of foreign travelers,b
Avesta is related to which region?,India,Egypt,Iran,Mesopotamia,c
The earliest evidence of cotton cultivation in India was found at which site?,Harappa,Mohenjo-daro,Mehrgarh,Lothal,c
A clay model of a plough was discovered at which site?,Kalibangan,Banawali,Harappa,Mohenjo-daro,b
Evidence of a coffin burial has been found at which site?,Mohenjo-daro,Harappa,Lothal,Kalibangan,b
In which state were the maximum number of Harappan sites discovered in India after independence?,Punjab,Haryana,Rajasthan,Gujarat,d
Archaeologists found the remains of five wild dogs and antlers of a stag at:,Mehrgarh,Burzahom,Daimabad,Inamgaon,b
'Jorwe Culture' was a Chalcolithic site located in the state of:,Gujarat,Maharashtra,Madhya Pradesh,Rajasthan,b
The site of archaeological importance Burzahom is located in:,Punjab,Jammu & Kashmir,Himachal Pradesh,Uttarakhand,b
A port has been found in the city of the Indus Valley Civilization at:,Harappa,Mohenjo-daro,Lothal,Dholavira,c
The 'Great Bath' was found at the site of:,Harappa,Mohenjo-daro,Lothal,Kalibangan,b
The Harappan site located in Afghanistan is:,Dholavira,Shortughai,Mehrgarh,Sopal,b
The 'Mahasnangara' at Mohenjo-daro was made waterproof by applying a layer of:,Bitumen,Natural charcoal,Lime plaster,Mud plaster,b
"About 2500 years ago, what was the Indus River called by the Iranians?",Sapta Sindhu,Hindos,Indica,Meluhha,b
The prehistoric site Daimabad is located in the state of:,Gujarat,Maharashtra,Rajasthan,Haryana,b
Which city is directly related to the Harappan civilization?,Pataliputra,Dholavira,Taxila,Kushinagar,b
At which site was the figure of a horned deity on a terracotta plaque discovered?,Lothal,Kalibangan,Harappa,Mohenjo-daro,b
Which of the following sheds light on the Indus Valley Civilization?,Literary Sources,Archaeological excavations,Religious Texts,Vedic Literature,b
In which state is the Harappan site Sopal located?,Rajasthan,Punjab,Gujarat,Haryana,c
Evidence of rock-cut architecture has been found at which Harappan site?,Kalibangan,Harappa,Dholavira,Mohenjo-daro,c
Which is the largest Harappan site in India?,Lothal,Kalibangan,Rakhigarhi,Dholavira,c
Most of the Harappan sites are located in which region?,Ganga Valley,Indus Valley,Brahmaputra Valley,Deccan Plateau,b
A clay model of a plough was found at which site?,Harappa,Mohenjo-daro,Banawali,Kalibangan,c
The maximum number of Harappan sites were discovered in India after independence in which state?,Rajasthan,Haryana,Punjab,Gujarat,d
Archaeologists found the remains of five wild dogs and antlers of a stag at which site?,Mehrgarh,Burzahom,Daimabad,Inamgaon,b
'Jorwe Culture' was a Chalcolithic site located in which state?,Gujarat,Madhya Pradesh,Maharashtra,Rajasthan,c
Which site of archaeological importance is located in Jammu & Kashmir?,Daimabad,Burzahom,Mehrgarh,Inamgaon,b
A port has been found in which city of the Indus Valley Civilization?,Harappa,Mohenjo-daro,Lothal,Kalibangan,c
The 'Great Bath' was found at which site?,Harappa,Mohenjo-daro,Lothal,Kalibangan,b
Which Harappan site is located in Afghanistan?,Dholavira,Shortughai,Sopal,Alamgirpur,b
"About 2500 years ago, what did the Iranians call the Indus River?",Sindhu,Hindos,Sapta Sindhu,Indika,b
In which state is the prehistoric site Daimabad located?,Gujarat,Rajasthan,Maharashtra,Haryana,c
Which city is related to the Harappan civilization?,Pataliputra,Dholavira,Taxila,Kushinagar,b
At which Harappan site was the figure of a horned deity on a terracotta plaque found?,Lothal,Kalibangan,Dholavira,Harappa,b
An ivory scale was discovered at which of the following sites?,Harappa,Mohenjo-daro,Lothal,Kalibangan,c
The term 'Indus Civilization' was first used by whom?,Alexander Cunningham,Sir Mortimer Wheeler, दयाराम साहनी (Daya Ram Sahni),Sir John Marshall,d
Evidence of rock-cut architecture has been discovered at which site?,Kalibangan,Harappa,Dholavira,Mohenjo-daro,c
A ploughed field was discovered at which Harappan site?,Lothal,Kalibangan,Dholavira,Banawali,b
Most of the Harappan sites are situated in which geographical area?,Ganga Valley,Indus Valley,Brahmaputra Valley,Narmada Valley,b
