Question,Option A,Option B,Option C,Option D,Correct Answer
"Match the following:
Column I (Ruler)       Column II (Dynasty)
A. Bimbisara          1. Nanda dynasty
B. Dhanananda       2. Haryanka dynasty","A-2, B-1","A-1, B-2","A-2, B-2","A-1, B-1",a
Which of the following statements is INCORRECT regarding Jainism?,Ahimsa is the most important fundamental principle.,Shvetambara and Digambara are sects of Jainism.,Mahavira was the 24th Tirthankara.,The Soniji Ki Nasian temple is dedicated to Lord Mahavira.,d
The capital of Vajji Mahajanapada was:,Rajgir,Vaishali,Pataliputra,Champa,b
What is a Tirthankara called in Jainism?,The destroyer of evil and a religious reformer,The creator of universe and a cosmic being,The protector of religion and a spiritual teacher,The ultimate reality and a philosophical guide,c
"Arrange the following Tirthankaras in chronological order according to their appearance in Jainism:
1. Parshvanatha
2. Rishabhanatha
3. Mahavira","3, 1, 2","2, 3, 1","2, 1, 3","1, 2, 3",c
"Match the following:
Column I
(A) Mahavira's Birthplace
(B) Jain Pilgrimage Site
Column II
(1) Palitana Temple
(2) Kundagrama","A-1, B-2","A-2, B-1","A-2, B-2","A-1, B-1",b
The 'Agama' that describes non-violence in Jainism is known as:,Tripitaka Sutra,Sutrakritanga Sutra,Anguttara Nikaya,Dhammapada Sutra,b
Who among the following was the first follower of Mahavira?,Virochana,Atisha,Jamali,Bhadrabahu,c
In which language was early Jain literature written?,Sanskrit,Pali,Ardha-Magadhi,Brahmi,c
The Shvetambara Agama was finally compiled at which Jain council?,Vallabhi,Ayodhya,Pataliputra,Kapilavastu,c
Which of the following religions does NOT believe in the concept of 'world-destroying deluge'?,Buddhism,Hinduism,Jainism,Charvaka,c
"Match the following birthplaces with the corresponding Jain Tirthankaras:

Column I (Tirthankara)         Column II (Birthplace)
A. Rishabhanatha               1. Kakandi
B. Sambhavanatha              2. Ayodhya
C. Suvidhinatha                  3. Shravasti
D. Padmaprabhu                4. Pabhosa

Choose the correct sequence:","A-2, B-3, C-1, D-4","A-3, B-2, C-4, D-1","A-4, B-1, C-3, D-2","A-1, B-4, C-2, D-3",a
Which of the following statements about Lord Mahavira is INCORRECT?,He attained Moksha at Pawapuri.,He was the last Tirthankara of the Jains.,He was born in the present-day state of Bihar.,He attained knowledge on the banks of the river Niranjana.,d
"Arrange the following events in chronological order related to Buddhism:
 A. Ashoka propagated Buddhism abroad
 B. Gautama Buddha attained knowledge on the banks of the river Niranjana
 C. The third Buddhist council was held in Pataliputra","A, B, C","B, A, C","B, C, A","C, B, A",c
Gautama Buddha delivered his inaugural sermon at which location?,Bodh Gaya,Rajgir,Kushinagar,Sarnath,d
In which city did Gautama Buddha achieve enlightenment?,Sarnath,Kushinagar,Bodh Gaya,Vaishali,c
"The second Buddhist council, according to the provided text, was conducted in Vaishali by whom?",Nagarjuna,Kalasoka,Buddha,Shakya,b
Which of the following is NOT classified as a Tipitaka according to the text?,Sutta Pitaka,Abhidhamma Pitaka,Upasaka Pitaka,Tripitaka,c
The Simhachaturmukha pillar is located at which of the following places?,Kushinagar,Vaishali,Sarnath,Bodh Gaya,c
The first sermon of Buddha at Sarnath is known as:,Mahaparinirvana,Therigatha,Abhidhamma Pitaka,Dhamma-Chakra-Pravartana Mudra,d
Which of the following Buddhist texts outlines the rules specifically for monks?,Sutta Pitaka,Abhidhamma Pitaka,Vinaya Pitaka,Adittapariyaya Sutta,c
"Arrange the following events related to Buddha's life in chronological order:
 I. Death
 II. Birth
 III. First Sermon
 IV. Great Renunciation","II, IV, III, I","IV, II, I, III","II, III, IV, I","I, II, III, IV",a
"Match the following:
Column I
(A) Ashvaghosha
(B) Lumbini
Column II
(1) Birthplace of Gautama Buddha
(2) Author of Buddhacharita","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b
"The 'Temple of the Tooth', a significant Buddhist pilgrimage site, is located in which country?",India,Indonesia,Nepal,Sri Lanka,d
Which of the following statements is INCORRECT regarding Gautama Buddha?,He attained knowledge in Bodh Gaya.,He was born in Lumbini.,He delivered most of his sermons in Shravasti.,He died in Sri Lanka.,d
In which language did Gautama Buddha deliver his sermons to reach the common people?,Sanskrit,Pali,Magadhi,Braj,b
Who was the last person to be converted by Buddha?,Devadatta,Subhadda,Mallika,Tapassu,b
During whose reign was the first Buddhist council held?,Udayana,Bimbisara,Ajatashatru,Dharmapala,c
"Match the following:
Column I: Text
(A) Tripitaka
(B) Vinaya Pitaka
Column II: Description
(1) Rules of Sangha life
(2) Buddha's Teachings

Choose the correct option:","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b
Which of the following is NOT a Triratna in Buddhism?,Buddha,Dhamma,Karma,Sangha,c
Which Buddhist philosopher first propounded the theory of Shunyata?,Atisha,Nagarjuna,Dharmapala,Devadatta,b
The Sarnath Buddha statue in Bhumi Sparsha Mudra is related to which period?,Kushana period,Mauryan period,Gupta period,Sunga period,c
"In Indian art, the ""wheel with a deer"" represents which event in Buddha's life?",Birth,Death,First Sermon,Enlightenment,c
Which of the following statements about Buddhist councils is INCORRECT?,The first Buddhist council was held immediately after Gautama Buddha's death.,The first Buddhist council was patronized by Ajatashatru.,The third Buddhist council was held in Pataliputra.,The fourth Buddhist council was held in Vaishali.,d
"Match the following:

   I. Vinaya Pitaka    A. Sermons of Gautama Buddha
   II. Sutta Pitaka    B. Rules for Buddhist monks
   III. Tripitaka      C. Related to Buddhism

Choose the correct sequence:","I-A, II-B, III-C","I-B, II-A, III-C","I-C, II-B, III-A","I-B, II-C, III-A",b
"Arrange the following events in chronological order related to Buddha's life:
I. First Sermon
II. Mahaparinirvana (Death)
III. Meditation under the peepal tree","I, II, III","III, I, II","II, III, I","III, II, I",b
"The Mauryan dynasty was founded in Magadha, which is currently known as:",Punjab,Bihar,Odisha,Bengal,b
"Who authored 'Indica', a text detailing Mauryan-era India?",Chanakya,Bindusara,Megasthenes,Ashoka,c
The Lauriya Nandangarh pillar is located in which of the following districts?,Sarnath,Champaran,Girnar,Taxila,b
"Arrange the following rulers in chronological order: 1. Chandragupta Maurya, 2. Bindusara, 3. Ashoka.","3, 2, 1","2, 3, 1","1, 2, 3","3, 1, 2",c
Which of the following statements is INCORRECT regarding Ashoka's empire?,He led a military campaign to conquer Kalinga in approximately 260 BCE,Most of his inscriptions were in the Prakrit language,Kamarupa was a part of his empire,The Thirteenth Rock Edict mentions his victory over Kalinga,c
Match the following:  A. Chandragupta Maurya   B. Ashoka   C. Chanakya   D. Megasthenes   with   1. Indica 2. Kalinga War 3. Municipal Administration 4. Political Advisor.  Choose the correct sequence.,"A-3, B-2, C-4, D-1","A-2, B-3, C-1, D-4","A-4, B-1, C-2, D-3","A-1, B-4, C-3, D-2",a
Which of the following rivers was Taxila located between?,Ganga and Yamuna,Indus and Jhelum,Ganga and Brahmaputra,Jhelum and Beas,b
Megasthenes was sent to the court of Chandragupta Maurya by which Greek ruler?,Alexander,Antigonus,Seleucus Nicator,Philip II,c
"In which year did Alexander invade India, crossing the Indus River?",323 BCE,326 BCE,330 BCE,332 BCE,b
Which of the following statements about Ashoka is INCORRECT?,Ashoka built the Sanchi Stupa.,Ashoka organized the third Buddhist council.,Ashoka was the son of Chandragupta Maurya.,Ashoka appointed special officers called Rajjuka.,c
"Match the following:

Column I
(A) Megasthenes
(B) Kautilya

Column II
(1) Indica
(2) Adhyakshas

Choose the correct option:","A-1, B-2","A-2, B-1","A-1, B-3","A-2, B-3",a
"During the Mauryan dynasty, what was the historic Grand Trunk Road called?",Dakshinapatha,Silk Route,Uttarapatha,Rajpath,c
The Sarnath lion capital built by Ashoka was made of what material?,Granite,Marble,Sandstone,Limestone,c
Which of the following rulers paid attention to the water resource system in the Girnar region?,"Bindusara, Kanishka","Chandragupta Maurya, Ashoka","Samudragupta, Harsha","Bimbisara, Ajatashatru",b
The Nigali Sagar pillar inscription authenticates the existence of which Buddha?,Gautama Buddha,Dipankara Buddha,Kanakamuni Buddha,Amitabha Buddha,c
Arrange the following scripts used by Ashoka in the north-western part of his empire in alphabetical order:,"Greek, Aramaic, Kharoshthi","Aramaic, Kharoshthi, Greek","Kharoshthi, Greek, Aramaic","Aramaic, Greek, Devanagari",a
Match the following:,"A-2, B-3, C-1, D-4","A-3, B-1, C-4, D-2","A-4, B-2, C-1, D-3","A-1, B-4, C-2, D-3",b
Which of the following statements is INCORRECT regarding Ashoka?,Ashoka's contemporary king Turmaya was the ruler of Egypt.,The stupa of Sanchi was built by Ashoka.,The Sarnath pillar was built by Chandragupta Maurya.,"The Gurjara Minor Rock Edict, mentioning Ashoka's name, is in Madhya Pradesh.",c
Who first deciphered the Brahmi script?,Alexander Cunningham,John Marshall,James Prinsep,Max Muller,c
Where did Chandragupta Maurya spend his last days?,Pataliputra,Taxila,Shravanabelagola,Ujjain,c
Which Ashokan inscription elucidates the principle of religious tolerance?,Rock Edict VIII,Rock Edict X,Rock Edict XII,Rock Edict XIII,c
"Arrange the following events in chronological order:
  1. Chandragupta Maurya's death
  2. Kalinga War
  3. Assassination of the last Mauryan emperor
  4. Seleucid-Mauryan war","1, 4, 2, 3","4, 1, 2, 3","4, 2, 1, 3","2, 4, 1, 3",a
"Which of the following was NOT a provincial center in the Magadha Empire, according to Ashoka's inscriptions?",Tosali,Ujjain,Suvarnagiri,Indraprastha,d
"Match the following:
   Column I (Officer)   Column II (Function)
   A. Samaharta         1. Ministers and officials
   B. Amatya           2. Tax assessment","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b
Which of the following statements is INCORRECT regarding the Mauryan Empire?,The last ruler of the Mauryan dynasty was Brihadratha.,James Prinsep deciphered the Brahmi script in 1837.,Ashoka adopted Buddhism before the Kalinga War.,Pushyamitra Shunga assassinated the last Mauryan emperor.,c
The artificial reservoir Sudarshana in Gujarat was built during the reign of which dynasty?,Kushanas,Mauryas,Satavahanas,Shakas,b
Which of the following is INCORRECTLY matched?,Kanishka : Charaka,Ashoka : Kalinga,Vikramaditya : Varahamihira,Kushanas : Vikram Samvat,d
"Arrange the following in chronological order based on the starting year:
I. Vikram Samvat
II. Shaka Era","I, II","II, I",I only,II only,a
Who was the founder of 'Yoga-Darshana'?,Charaka,Kanishka,Maharishi Patanjali,Varahamihira,c
"The Hathigumpha inscription, a key source of information about Kharavela, is located in:",Kathiawar,Amaravati,Udayagiri in Odisha,Sarnath,c
"Arrange the following rulers/dynasties in chronological order based on their emergence as per the provided text: 
(I) Kushanas 
(II) Mauryas 
(III) Shungas 
(IV) Satavahanas","II, III, IV, I","I, II, III, IV","IV, I, II, III","III, IV, I, II",a
"Match the following:
Column I (Dynasty)
(A) Satavahana
(B) Shunga
Column II (Founder/Related Figure)
(1) Simuka
(2) Pushyamitra

Which of the following is the correct match?","A-2, B-1","A-1, B-2","A-1, B-1","A-2, B-2",b
Which of the following statements is NOT correct regarding the Kushanas?,They issued the largest number of copper coins in Northern and North-Western India.,They regularly issued gold coins.,They established their rule over the north-western border of India in the first century BCE.,They are not related to any dynasty.,d
The Vikram Samvat commenced in:,78 AD,81 CE,58 BCE,135 years,c
Kanishka is known for which of the following?,Writing the Hathigumpha inscription,Being the hero of Kalidasa's Malavikagnimitram,Organizing the Fourth Buddhist Council,Founding the Shunga Dynasty,c
The Shaka era began in which year?,58 BCE,81 CE,78 AD,135 years,c
The Hathigumpha inscription was inscribed by whom?,Pushyamitra,Kharavela,Gautamiputra Satakarni,Heliodorus,b
Which of the following pairings is INCORRECT?,Demetrius : Indo-Greek,Rudradaman : Shaka,Gondophernes : Kushana,Vima : Kushana,c
Who is credited with first issuing gold coins?,Strato II,Alexander,Vima Kadphises,Seleucus Nicator,c
"Arrange the following events in chronological order:
I. Start of Vikram Samvat
II. Shaka ruler Rudradaman I in India
III. First Huna invasion","I, II, III","III, II, I","II, I, III","I, III, II",a
"According to Chola inscriptions, what was the land donated to Jain assemblies known as?",Shalabhoga,Brahmadeya,Pallichchhandam,Velanvagai,c
Arrange the following Sangams in chronological order based on the text:,"First, Second, Third","Third, Second, First","Second, First, Third",The text mentions only the Third Sangam,d
Which of the following statements is INCORRECT regarding the Chola dynasty?,The Chola kingdom was located in the Coromandel Coast and parts of the Deccan.,The dynasty declared its successor during its own reign.,"The Gondeshwar Temple, Sinnar was built under the patronage of Chola rulers.",The Cholas were famous for their naval power in South India.,c
Who is credited with the construction of the sixteen-mile-long 'Chola lake' for irrigation?,Karikala,Rajaraja I,Pulakeshin II,Rajendra I,d
The 'Battle of Takkolam' took place between which of the following?,The Cholas and the Pandyas,The Cholas and the Rashtrakutas,The Cholas and the Chalukyas,The Cholas and the Cheras,b
Which Chola king gave complete independence to Sri Lanka and married his daughter to a Sinhala prince?,Rajaraja I,Rajendra Chola III,Kulottunga I,Rajaraja,c
"Match the following:
Column I
(A) Vatapi
(B) Xuanzang
Column II
(1) Capital of Chalukyas
(2) Chinese traveler","A-2, B-1","A-1, B-2","A-1, B-1","A-2, B-2",b
"In the Chola administration, the assembly of villages mainly settled by Brahmins was known as:",Ur,Nagram,Sabha,Variyam,c
During whose reign were 72 traders sent to China?,Rajaraja I,Rajendra Chola III,Pulakeshin II,Kulottunga-I,d
Who was the author of 'Mattavilasa Prahasana'?,Narasimhavarman II,Simha Vishnu,Dantidurga,Mahendravarman,d
Which of the following dynasties had Kanchipuram as their capital during the seventh and eighth centuries?,The Rashtrakutas,The Chalukyas,The Pallavas,The Cholas,c
"Match the following dynasties with their respective capitals:

I. Pallavas         A. Dwarasamudra
II. Hoysalas        B. Madurai
III. Pandyas         C. Kanchipuram

Choose the correct sequence:","I-A, II-B, III-C","I-C, II-A, III-B","I-B, II-C, III-A","I-A, II-C, III-B",b
Which of the following statements is INCORRECT regarding Dantidurga?,He was a Rashtrakuta chief.,He performed the Hiranya Garbha ritual.,He overthrew his Chalukya overlord.,He was a subordinate of the Pallavas of Kanchi.,d
In which year did Rajaraja I ascend the throne as the Chola king?,885 AD,1085 AD,985 AD,785 AD,c
Who was the court poet of the Chalukya ruler Pulakeshin II?,Vijayalaya,Bilhana,Rajaraja,Ravikirti,d
"Arrange the following Chola rulers' reigns in chronological order:
I. Rajaraja
II. Rajadhiraja I
III. Kulottunga I
IV. Vikram Chola","I, II, III, IV","II, I, IV, III","IV, III, II, I","III, IV, I, II",a
"Match the following dynasties with their capitals:
I. Pallava dynasty  A. Madura
II. Pandya dynasty   B. Kanchi
III. Yadava dynasty   C. Warangal
IV. Kakatiya dynasty  D. Devagiri","I-B, II-A, III-D, IV-C","I-A, II-B, III-C, IV-D","I-D, II-C, III-B, IV-A","I-C, II-D, III-A, IV-B",a
Which of the following statements is NOT correct regarding the Chalukya dynasty?,Vikramaditya VI was a ruler of the Chalukya dynasty.,"The Chalukya dynasty ruled in Vatapi, which is in Karnataka.",The capital of Aihole was the Chalukyas.,The first king of the Chalukya dynasty conquered Sri Lanka.,d
Who among the following rulers had many scholars in his court known as 'Navaratnas'?,Samudragupta,Kumargupta I,Chandragupta II,Sri Gupta,c
Which of the following best describes Dhanvantari in Indian history?,A famous poet in the court of Samudragupta,A renowned physician in Chandragupta Vikramaditya's court,The founder of Nalanda University,A Chinese traveler who visited India,b
Which of the following statements is INCORRECT regarding the Gupta period?,Samudragupta was known as the 'Indian Napoleon'.,The capital of the Gupta dynasty was Pataliputra.,Fa Hien visited India during the reign of Chandragupta II.,Kumargupta I founded Takshashila University.,d
"Match the following rulers with their associated facts:

Column I
(A) Chandragupta II
(B) Samudragupta

Column II
(1) 'Indian Napoleon'
(2) Issued first silver coins

Choose the correct option:","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b
"Arrange the following rulers in the order of their reign in the Gupta dynasty:
(A) Chandragupta I
(B) Sri Gupta
(C) Samudragupta

Choose the correct sequence:","A, B, C","B, A, C","C, A, B","B, C, A",b
In which year did Chandragupta II expand the Gupta empire up to Gujarat?,320 AD,390 AD,415 AD,455 AD,b
Which ruler in the Gupta Empire was known to be a good Veena player?,Kumargupta I,Chandragupta II,Samudragupta,Skandagupta,c
Which Gupta ruler is known as 'Shak-vijeta'?,Skandagupta,Chandragupta II,Samudragupta,Kumaragupta I,b
"Match the following:

   I. Bhaga             A. Gold coin
   II. Dinara            B. Administrative Unit
   III. Vidhi             C. Source of Revenue

Choose the correct sequence:","I-A, II-B, III-C","I-C, II-A, III-B","I-B, II-C, III-A","I-C, II-B, III-A",b
Which Gupta ruler won a victory over the Hunas?,Chandragupta II,Kumaragupta I,Skandagupta,Samudragupta,c
The propounder of Yoga philosophy is:,Gautama,Shankardeva,Patanjali,Bhaskara,c
Which of the following dynasties' reign is referred to as the 'Golden Age' in ancient India?,Vakataka,Gupta,Pushyabhuti,Lichchhavi,b
"Match the following: 
Column I (Philosopher)  Column II (Philosophy)
A. Patanjali              1. Nyaya
B. Gautama               2. Yoga

Choose the correct option:","A-1, B-2","A-2, B-1","A-2, B-2","A-1, B-1",b
Which of the following statements is INCORRECT regarding Harshavardhana?,Harshavardhana's capital was Kannauj.,Harshavardhana shifted his capital from Thanesar to Kannauj.,"Harshavardhana controlled 5 Indies: Punjab, Kannauj, Bengal, Bihar, and Orissa.",Harshavardhana's capital was Thanesar.,d
In which century was Nalanda University founded?,6th century,3rd century,5th century,4th century,c
The Buddhist Maha-Sammelan was organized by Harshavardhana at which of the following places?,Kannauj,Thanesar,Prayag,Nalanda,c
Which of the following is INCORRECT regarding Harshavardhana?,He declared war against King Shashanka of Gauda.,He was related to the Pushyabhuti dynasty.,Banabhatta was his court poet.,He came to India during Xuanzang's reign.,d
"Arrange the following events related to Harshavardhana in chronological order:
  I. Victory of Pulakeshin II over Harshavardhana
  II. Xuanzang's arrival in India
  III. Harshavardhana's dominance over Thanesar and Kannauj after Rajyavardhan's death","I, II, III","III, I, II","II, III, I","I, III, II",d
"Match the following:
   A. Gopala           1. Aihole Inscription
   B. Ravikirti        2. First king of the Pala dynasty
   C. Dharmapala   3. Vikramshila University

Choose the correct sequence:","A-1, B-2, C-3","A-2, B-1, C-3","A-3, B-2, C-1","A-2, B-3, C-1",b
After whose death did Harshavardhana establish his dominance on the thrones of Thanesar and Kannauj?,Shashanka,Pulakeshin,Banabhatta,Rajyavardhan,d
