Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
Which of the following is a type of RAM?,PROM,EPROM,SRAM,EEPROM,c,Elementary Knowledge of Computers,1
Which of the following is NOT a programming language?,Java,Python,MS Word,C#,c,Elementary Knowledge of Computers,1
"In Microsoft Windows, what is the function of the 'Ctrl + Z' shortcut?",Copy,Paste,Undo,Cut,c,Elementary Knowledge of Computers,1
What does the abbreviation 'GUI' stand for?,Global User Interface,Graphical Unit Interface,Graphical User Interface,General User Instruction,c,Elementary Knowledge of Computers,1
Which part of the Indian Constitution deals with Citizenship?,Part IV,Part III,Part II,Part V,c,Indian Polity,1
What is the maximum number of members that can be elected to the Lok Sabha?,545,530,552,543,c,Indian Polity,1
Who is the ex-officio Chairman of the Rajya Sabha?,Speaker of the Lok Sabha,Prime Minister,Vice-President,President,c,Indian Polity,1
Under which article of the Indian Constitution does the Supreme Court have the power to issue writs?,Article 32,Article 124,Article 226,Article 143,a,Indian Polity,1
Which article of the Constitution declares Hindi in Devanagari script as the official language of the Union?,Article 343,Article 351,Article 348,Article 350,a,Indian Polity,1
What is the term of office for a member of the Rajya Sabha?,4 years,5 years,6 years,7 years,c,Indian Polity,1
Which vitamin is also known as ascorbic acid?,Vitamin K,Vitamin D,Vitamin C,Vitamin B12,c,General Science,1
Which of the following is a fat-soluble vitamin?,Vitamin C,Vitamin B,Vitamin A,Vitamin B2,c,General Science,1
What is the scientific name of the common earthworm?,Periplaneta americana,Pheretima posthuma,Apis mellifera,Musca domestica,b,General Science,1
Which plant hormone is responsible for cell elongation and plant growth?,Cytokinin,Abscisic acid,Ethylene,Auxin,d,General Science,1
The loss of water in the form of vapour from the aerial parts of the plant is called?,Photosynthesis,Respiration,Transpiration,Guttation,c,General Science,1
Boyle's Law describes the relationship between pressure and volume at constant?,Density,Temperature,Mass,Moles,b,General Science,1
Which of the following animals belongs to the phylum 'Porifera'?,Hydra,Jellyfish,Sponge,Earthworm,c,General Science,1
Which of the following cities is known as the 'Leather City' of Uttar Pradesh?,Agra,Kanpur,Lucknow,Varanasi,b,Uttar Pradesh Special GK,1
The Gomti River originates from which district in Uttar Pradesh?,Pilibhit,Lakhimpur Kheri,Sitapur,Basti,a,Uttar Pradesh Special GK,1
Which of the following crops is predominantly grown in the Bundelkhand region of Uttar Pradesh?,Rice,Wheat,Pulses,Sugarcane,c,Uttar Pradesh Special GK,1
Who was the first Chief Minister of Uttar Pradesh?,Govind Ballabh Pant,Sampurnanand,Sucheta Kriplani,Chandra Bhanu Gupta,a,Uttar Pradesh Special GK,1
What is the state animal of Uttar Pradesh?,Swamp Deer,Lion,Tiger,Elephant,a,Uttar Pradesh Special GK,1
The historic city of Ayodhya is situated on the banks of which river?,Ganga,Yamuna,Saryu,Gomti,c,Uttar Pradesh Special GK,1
Which of the following is a major soil type found in Uttar Pradesh?,Red Soil,Black Soil,Alluvial Soil,Laterite Soil,c,Uttar Pradesh Special GK,1
Which country is set to host the 2025 FIFA Confederations Cup?,Qatar,United States,Not Scheduled for 2025,Mexico,c,Current Affairs 2025,1
What major sporting event is scheduled to take place in Japan in 2025?,Summer Olympics,Rugby World Cup,World Athletics Championships,FIFA Club World Cup,c,Current Affairs 2025,1
Which major international climate summit is planned for 2025?,COP30,G7 Summit,World Economic Forum,UN General Assembly,a,Current Affairs 2025,1
The World Expo 2025 is scheduled to be held in which city?,Dubai,Osaka,Paris,Milan,b,Current Affairs 2025,1
Which country is expected to hold general elections in 2025?,Canada,Australia,United Kingdom,All of the above,d,Current Affairs 2025,1
What is the expected theme for International Women's Day in 2025?,Gender equality today for a sustainable tomorrow,DigitALL: Innovation and technology for gender equality,Theme determined annually,Inspire Inclusion,c,Current Affairs 2025,1
Which of these space missions is projected to reach its destination in 2025?,JUICE (Jupiter Icy Moons Explorer),Europa Clipper,"VERITAS (Venus Emissivity, Radio Science, InSAR, Topography, and Spectroscopy)",Dragonfly,a,Current Affairs 2025,1
Which major film franchise is expected to release a new installment in 2025?,The Lord of the Rings,Harry Potter,Avatar,Shrek,c,Current Affairs 2025,1
Which global organization is celebrating its 80th anniversary in 2025?,United Nations,World Health Organization,UNESCO,NATO,a,Current Affairs 2025,1
What is the projected global population in 2025?,8.1 Billion,8.5 Billion,9 Billion,7.8 Billion,a,Current Affairs 2025,1
A train travels at a speed of 60 km/h. How much distance will it cover in 3 hours?,120 km,240 km,180 km,90 km,c,Reasoning,1
How many meaningful words can be formed from the letters 'ORE' using each letter only once?,One,Two,Three,Four,c,Reasoning,1
"If A can do a piece of work in 10 days and B can do it in 15 days, how many days will they take to complete the work together?",6 days,8 days,12 days,5 days,a,Reasoning,1
"A father is currently three times as old as his son. If the son is 10 years old, how old is the father?",20 years,40 years,30 years,50 years,c,Reasoning,1
"A container has 20 liters of milk. If 5 liters of water is added, what is the ratio of milk to water?",1:4,4:1,2:3,3:2,b,Reasoning,1
"If a car travels 200 km in 4 hours, what is its average speed?",60 km/h,40 km/h,50 km/h,70 km/h,c,Reasoning,1
Which of the following words cannot be formed from the letters in 'IMMEDIATELY'?,DIET,LIME,DELAY,TIDE,c,Reasoning,1
"If 5 men can complete a work in 10 days, how many days will 2 men take to complete the same work?",15 days,20 days,25 days,30 days,c,Reasoning,1
"Ram is 12 years older than Shyam. If Shyam is 15 years old, how old is Ram?",25 years,27 years,30 years,22 years,b,Reasoning,1
"A mixture contains milk and water in the ratio 3:1. If the quantity of milk is 15 liters, what is the quantity of water?",3 liters,4 liters,5 liters,6 liters,c,Reasoning,1
The concept of 'primary sector' typically includes which of the following economic activities?,Manufacturing,Agriculture,Banking,Information Technology,b,Economics,1
Who among the following founded the Asiatic Society?,William Jones,Warren Hastings,Lord Cornwallis,James Mill,a,Economics,1
Which Delhi Durbar was held in 1911?,The first Durbar,The third Durbar,The second Durbar,The fourth Durbar,b,Economics,1
Which international agreement aimed to reduce greenhouse gas emissions was adopted in 1997?,Montreal Protocol,Kyoto Protocol,Paris Agreement,Vienna Convention,b,Environment & Ecology,1
What is the primary function of the ozone layer in the Earth's atmosphere?,Absorbing ultraviolet radiation,Reflecting infrared radiation,Producing oxygen,Generating heat,a,Environment & Ecology,1
Which of the following is an example of an 'abiotic' component of an ecosystem?,Bacteria,Fungi,Water,Plants,c,Environment & Ecology,1
Which of these is a major greenhouse gas contributing to global warming?,Nitrogen,Oxygen,Carbon Dioxide,Argon,c,Environment & Ecology,1
Which type of soil is best suited for cotton cultivation in India?,Alluvial Soil,Red Soil,Black Soil,Laterite Soil,c,Agriculture,1
What is the name given to the artificial application of water to the soil for crop production?,Fertigation,Irrigation,Hydroponics,Dry Farming,b,Agriculture,1
Which of the following is an example of a Kharif crop in India?,Wheat,Barley,Rice,Mustard,c,Agriculture,1
Who was the first Indian to win a Pulitzer Prize?,Jhumpa Lahiri,Gobind Behari Lal,Vijay Seshadri,Geeta Anand,b,Art & Culture,1
In which city is the 'Gateway of India' located?,Kolkata,Chennai,Mumbai,Delhi,c,Art & Culture,1
What is the name of the largest canyon system on Mars?,Babarossa Chasma,Valles Marineris,Ganges Chasma,Olympus Chasma,b,World Geography,1
