Question,Option A,Option B,Option C,Option D,Correct Answer
Which Viceroy was in power during the Revolution of 1857?,Lord William Bentinck,Lord Dalhousie,Lord Canning,Lord Mountbatten,c
"Match the following Viceroys with their associated events:

   I. Lord Curzon         A. Partition and Independence of India
   II. Lord Mountbatten   B. Partition of Bengal

Which of the following is the correct match?","I-A, II-B","I-B, II-A","I-A, II-A","I-B, II-B",b
Which of the following events is NOT part of the Gandhi Era (1915-1947) as mentioned in the text?,Champaran,Kheda,Surat Split,Quit India Movement,c
"Arrange the following events in chronological order:
 I. Formation of Muslim League
 II. Establishment of Congress
 III. Partition of Bengal
 IV. Surat Split","II, III, I, IV","II, I, III, IV","III, II, I, IV","I, II, III, IV",a
Who is associated with the abolition of Sati practice?,Lord Dalhousie,Lord Curzon,Lord William Bentinck,Lord Canning,c
Which of the following is NOT a revolutionary activity mentioned in the text?,Kakori incident,Chittagong armoury raid,Civil Disobedience Movement,Subhash Chandra Bose and the Indian National Army (INA),c
Who led the revolt of 1857 from Lucknow?,Rani Lakshmibai,Kunwar Singh,Begum Hazrat Mahal,Mangal Pandey,c
The Act of 1858 is most directly related to:,Constitutional Development,Administrative changes after the revolt of 1857,Introduction of Communal Electorate,Establishment of the Supreme Court,b
Which Act established the Supreme Court?,Government of India Act of 1935,Regulating Act of 1773,Montagu-Chelmsford Reforms of 1919,Morley-Minto Reforms of 1909,b
Morley-Minto Reforms of 1909 are associated with which of the following?,Diarchy,Communal Electorate,Provincial Autonomy,Establishment of the Supreme Court,b
Which of the following introduced Diarchy?,Regulating Act of 1773,Government of India Act of 1935,Morley-Minto Reforms of 1909,Montagu-Chelmsford Reforms of 1919,d
The Government of India Act of 1935 provided for:,Communal Electorate,Diarchy,Provincial Autonomy,Establishment of the Supreme Court,c
Which plan is related to the year 1946?,Government of India Act of 1935,Cabinet Mission Plan,Montagu-Chelmsford Reforms of 1919,Morley-Minto Reforms of 1909,b
Gandhiji returned to India from South Africa on which date?,"March 12, 1930","January 9, 1915","April 13, 1919","August 1, 1920",b
The Champaran Satyagraha took place in which year?,1920,1930,1917,1922,c
When did the Jallianwala Bagh massacre occur?,"August 1, 1920","March 5, 1931","February 4, 1922","April 13, 1919",d
Which event led Gandhiji to renounce the title of 'Kesar-e-Hind'?,Chauri-Chaura incident,Dandi March,Jallianwala Bagh massacre,Champaran Satyagraha,c
The Non-Cooperation Movement started on:,"March 12, 1930","April 13, 1919","August 1, 1920","February 4, 1922",c
"The Chauri-Chaura incident, which led to the withdrawal of the Non-Cooperation Movement, took place on:","August 1, 1920","March 12, 1930","February 4, 1922","March 5, 1931",c
Who among the following founded the Swaraj Party?,Motilal Nehru and Mahatma Gandhi,Jawaharlal Nehru and Mahatma Gandhi,Chittaranjan Das and Motilal Nehru,Mahatma Gandhi and Sardar Patel,c
The Dandi March started on:,"February 4, 1922","March 5, 1931","August 1, 1920","March 12, 1930",d
The Gandhi-Irwin Pact took place on:,"March 12, 1930","August 1, 1920","March 5, 1931","February 4, 1922",c
"Match the following newspapers with their respective founders:

Column I
(A) Kesari
(B) Young India

Column II
(1) Mahatma Gandhi
(2) Tilak

Choose the correct option:","A-1, B-2","A-2, B-1","A-2, B-2","A-1, B-1",b
Who led the revolt of 1857 in Lucknow?,Rani Lakshmibai,Begum Hazrat Mahal,Kunwar Singh,Mangal Pandey,b
The Act of 1858 primarily relates to what?,Constitutional Development,Administrative changes after the 1857 rebellion,Introduction of Communal Electorate,Provincial Autonomy,b
Which of the following reforms is associated with the Communal Electorate?,Montagu-Chelmsford Reforms of 1919,Regulating Act of 1773,Morley-Minto Reforms of 1909,Government of India Act of 1935,c
Which Act served as the basis for the Constitution of India?,Morley-Minto Reforms of 1909,Montagu-Chelmsford Reforms of 1919,Regulating Act of 1773,Government of India Act of 1935,d
The Montagu-Chelmsford Reforms of 1919 introduced which system?,Communal Electorate,Provincial Autonomy,Diarchy,Supreme Court,c
In which year was the Cabinet Mission Plan?,1935,1919,1946,1909,c
Which of the following is NOT a newspaper or book associated with the given personalities?,Kesari (Tilak),Young India (Gandhi),Common Wheel (Annie Besant),Amrit Bazar Patrika (Gandhi),d
When did Gandhiji return to India from South Africa?,"August 1, 1920","March 12, 1930","January 9, 1915","April 13, 1919",c
What was Gandhiji's first Satyagraha in India?,Dandi March,Non-Cooperation Movement,Champaran Satyagraha,Gandhi-Irwin Pact,c
In which year did the Jallianwala Bagh massacre occur?,1922,1917,1930,1919,d
What prompted Gandhiji to renounce the title of 'Kesar-e-Hind'?,Chauri-Chaura incident,Dandi March,Gandhi-Irwin Pact,Jallianwala Bagh massacre,d
In which year did the Non-Cooperation Movement begin?,1930,1919,1920,1922,c
The Chauri-Chaura incident led to the withdrawal of which movement?,Civil Disobedience Movement,Champaran Satyagraha,Non-Cooperation Movement,Dandi March,c
Who were the founders of the Swaraj Party?,Mahatma Gandhi and Jawaharlal Nehru,Chittaranjan Das and Motilal Nehru,Jawaharlal Nehru and Subhas Chandra Bose,Mahatma Gandhi and Sardar Patel,b
In which year did the Dandi March commence?,1922,1923,1930,1931,c
When was the Gandhi-Irwin Pact signed?,"March 12, 1930","April 13, 1919","February 4, 1922","March 5, 1931",d
"Arrange the following events in chronological order:
1. Jallianwala Bagh massacre
2. Chauri-Chaura incident
3. Dandi March
4. Gandhiji's return from South Africa","4, 1, 2, 3","1, 2, 3, 4","4, 1, 3, 2","1, 4, 2, 3",a
"Match the following:
Column I
(A) Regulating Act
(B) Morley-Minto Reforms
(C) Montagu-Chelmsford Reforms
(D) Government of India Act

Column II
(1) Diarchy
(2) Communal Electorate
(3) Supreme Court
(4) Provincial Autonomy","A-3, B-2, C-1, D-4","A-1, B-2, C-3, D-4","A-4, B-3, C-2, D-1","A-2, B-1, C-4, D-3",a
Who was a leader of the Revolt of 1857 from Bihar?,Begum Hazrat Mahal,Rani Lakshmibai,Kunwar Singh,Mangal Pandey,c
"Which Act followed the Revolt of 1857, bringing about administrative changes?",Regulating Act of 1773,Government of India Act of 1935,Act of 1858,Morley-Minto Reforms of 1909,c
The Morley-Minto Reforms of 1909 are associated with which of the following?,Diarchy,Provincial Autonomy,Communal Electorate,Establishment of Supreme Court,c
Which of the following is associated with the Montagu-Chelmsford Reforms of 1919?,Communal Electorate,Diarchy,Provincial Autonomy,Establishment of Supreme Court,b
Which Act is considered the basis of the Constitution and introduced Provincial Autonomy?,Regulating Act of 1773,Morley-Minto Reforms of 1909,Montagu-Chelmsford Reforms of 1919,Government of India Act of 1935,d
In which year did the Cabinet Mission Plan take place?,1909,1919,1935,1946,d
Which of the following is an example of a Tribal or Peasant Revolt?,Regulating Act,Morley-Minto Reforms,Santhal Revolt,Cabinet Mission Plan,c
Which of the following is related to the development of Education and Press?,Government of India Act,Macaulay's Minute,Cabinet Mission Plan,Morley-Minto Reforms,b
"Match the following newspapers with their respective authors:

Column I
(A) Kesari
(B) Young India

Column II
(1) Gandhi
(2) Tilak

Choose the correct option:","A-1, B-2","A-2, B-1","A-2, B-2","A-1, B-1",b
Gandhiji's first Satyagraha in India was the?,Dandi March,Non-Cooperation Movement,Champaran Satyagraha,Civil Disobedience Movement,c
In which year did the Jallianwala Bagh massacre take place?,1917,1920,1919,1930,c
Gandhiji renounced the title of 'Kesar-e-Hind' in protest against which incident?,Chauri-Chaura incident,Dandi March,Jallianwala Bagh massacre,Non-Cooperation Movement,c
When did the Non-Cooperation Movement start?,"February 4, 1922","August 1, 1920","March 12, 1930","March 5, 1931",b
Who founded the Swaraj Party in 1923?,Mahatma Gandhi,Jawaharlal Nehru,Chittaranjan Das and Motilal Nehru,Subhas Chandra Bose,c
When did the Dandi March (Civil Disobedience Movement) start?,"August 1, 1920","February 4, 1922","March 12, 1930","March 5, 1931",c
Who was a leader of the Revolt of 1857 from Lucknow?,Kunwar Singh,Rani Lakshmibai,Begum Hazrat Mahal,Mangal Pandey,c
The Act of 1858 is associated with which of the following?,Regulating trade,Administrative changes after the Revolt of 1857,Introduction of communal electorate,Establishment of provincial autonomy,b
Morley-Minto Reforms of 1909 is associated with:,Diarchy,Provincial Autonomy,Communal Electorate,Establishment of the Supreme Court,c
Which of the following introduced the concept of 'Diarchy'?,Government of India Act of 1935,Regulating Act of 1773,Montagu-Chelmsford Reforms of 1919,Morley-Minto Reforms of 1909,c
Which Act served as the basis of the Constitution and introduced Provincial Autonomy?,Morley-Minto Reforms of 1909,Cabinet Mission Plan (1946),Montagu-Chelmsford Reforms of 1919,Government of India Act of 1935,d
The Cabinet Mission Plan was introduced in which year?,1919,1935,1909,1946,d
Which of the following is NOT a tribal or peasant revolt mentioned?,Santhal Revolt,Indigo Revolt,Sepoy Mutiny,Moplah Revolt,c
Which of the following is associated with the development of education and the press?,Cabinet Mission Plan,Macaulay's Minute,Government of India Act 1935,Morley-Minto Reforms,b
"Match the following newspapers with their respective founders:

Column I
(A) Kesari
(B) Young India

Column II
(1) Gandhi
(2) Tilak

","A-1, B-2","A-2, B-1","A-2, B-2","A-1, B-1",b
Gandhiji renounced the title of 'Kesar-e-Hind' in protest against:,Chauri-Chaura incident,Dandi March,Simon Commission,Jallianwala Bagh massacre,d
When did the Chauri-Chaura incident take place?,"August 1, 1920","February 4, 1922","March 5, 1931","March 12, 1930",b
In which year did Mahatma Gandhi participate in the Second Round Table Conference?,1929,1932,1931,1930,c
The Poona Pact was signed between whom?,Mahatma Gandhi and Jawaharlal Nehru,Mahatma Gandhi and Sardar Vallabhbhai Patel,Mahatma Gandhi and Dr. B.R. Ambedkar,Jawaharlal Nehru and Dr. B.R. Ambedkar,c
During which movement was the slogan 'Do or Die' given?,Swadeshi Movement,Non-Cooperation Movement,Civil Disobedience Movement,Quit India Movement,d
Who founded the Indian National Congress and in which year?,"A.O. Hume, 1886","W.C. Bannerjee, 1885","A.O. Hume, 1885","W.C. Bannerjee, 1886",c
Who was the First President of the Congress?,A.O. Hume,Mahatma Gandhi,Vyomesh Chandra Banerjee,Surendranath Banerjee,c
When was the Partition of Bengal implemented?,"October 16, 1906","October 16, 1904","October 16, 1905","October 16, 1907",c
The Swadeshi movement started in protest against which incident?,Jallianwala Bagh Massacre,Partition of India,Partition of Bengal,Simon Commission,c
In which city was the Muslim League established?,Calcutta,Delhi,Lucknow,Dhaka,d
In which session did the Congress split into extremist and moderate groups?,Lahore Session,Surat Session,Lucknow Session,Karachi Session,b
In which year did the Lucknow Pact between Congress and Muslim League occur?,1917,1915,1914,1916,d
Who among the following founded the Home Rule League?,Bal Gangadhar Tilak and Mahatma Gandhi,Annie Besant and Jawaharlal Nehru,Bal Gangadhar Tilak and Annie Besant,Mahatma Gandhi and Jawaharlal Nehru,c
When did the Kakori Train Action take place?,"August 9, 1924","August 9, 1926","August 9, 1925","August 9, 1923",c
Who founded the 'Naujavan Bharat Sabha'?,Subhash Chandra Bose,Bhagat Singh, सुखदेव,राजगुरु,b
Who killed Saunders and threw a bomb in the Central Assembly?, सुखदेव and राजगुरु,Bhagat Singh and सुखदेव,Bhagat Singh and Batukeshwar Dutt,राजगुरु and Batukeshwar Dutt,c
Who actually formed the Azad Hind Fauj (INA)?,Subhash Chandra Bose,Jawaharlal Nehru,Captain Mohan Singh,Rash Behari Bose,c
"Who gave the slogan 'Give me blood, I will give you freedom'?",Mahatma Gandhi,Jawaharlal Nehru,Sardar Vallabhbhai Patel,Subhash Chandra Bose,d
Who founded the Brahmo Samaj?,Swami Vivekananda,Raja Rammohan Roy,Dayananda Saraswati,Ramakrishna Paramahamsa,b
"Match the following:
Column I (Event)  Column II (Year)
A. Partition of Bengal  1. 1925
B. Lucknow Pact   2. 1906
C. Kakori Train Action  3. 1916
D. Muslim League established 4. 1905
","A-4, B-3, C-1, D-2","A-3, B-4, C-2, D-1","A-2, B-1, C-4, D-3","A-1, B-2, C-3, D-4",a
Which of the following statements is INCORRECT regarding the events mentioned in the text?,The Partition of Bengal was implemented during the time of Lord Curzon.,The Lucknow Pact took place in 1916 with Ambika Charan Mazumdar as President.,"The Kakori Train Action took place on August 9, 1926.",The Muslim League was established in Dhaka by Salimullah and Aga Khan.,c
The Poona Pact was signed between Mahatma Gandhi and whom in 1932?,Jawaharlal Nehru,Sardar Vallabhbhai Patel,Dr. B.R. Ambedkar,Subhash Chandra Bose,c
In which year was the Indian National Congress founded?,1906,1857,1885,1916,c
Who was the first president of the Indian National Congress?,A.O. Hume,Mahatma Gandhi,Vyomesh Chandra Banerjee,Surendranath Banerjee,c
The Swadeshi movement was started in protest against which incident?,Jallianwala Bagh Massacre,Partition of India,Partition of Bengal,Simon Commission,c
In which year was the Muslim League established?,1905,1916,1907,1906,d
In which year did the Lucknow Pact between the Congress and the Muslim League take place?,1925,1907,1916,1932,c
Who were the founders of the Home Rule League?,Mahatma Gandhi and Jawaharlal Nehru,Bal Gangadhar Tilak and Annie Besant,Subhash Chandra Bose and Sardar Patel,A.O. Hume and W.C. Bannerjee,b
Which of the following statements is INCORRECT regarding the Partition of Bengal?,It was implemented during the time of Lord Curzon,"It was implemented on October 16, 1905",It led to the Swadeshi Movement,It was implemented in 1916,d
The Poona Pact of 1932 was signed between whom?,Jawaharlal Nehru and Mahatma Gandhi,Mahatma Gandhi and Sardar Vallabhbhai Patel,Mahatma Gandhi and Dr. B.R. Ambedkar,Subhash Chandra Bose and Dr. B.R. Ambedkar,c
"In what year was the Indian National Congress founded, and by whom?","1892, Mahatma Gandhi","1885, A.O. Hume","1906, Aga Khan","1916, Annie Besant",b
Where was the Muslim League established in 1906?,Aligarh,Lahore,Delhi,Dhaka,d
When did the Lucknow Pact between the Congress and the Muslim League take place?,1907,1916,1925,1932,b
Who were the revolutionaries who killed Saunders?,Mahatma Gandhi and Jawaharlal Nehru,Bhagat Singh and Batukeshwar Dutt, सुखदेव and Rajguru,Chandrasekhar Azad and Ram Prasad Bismil,b
"Arrange the following events in chronological order:
1. Partition of Bengal
2. Kakori Train Action
3. Lucknow Pact
4. Founding of the Indian National Congress",4-1-3-2,1-4-3-2,4-1-2-3,1-3-4-2,a
Which of the following statements is INCORRECT?,The Second Round Table Conference took place in 1931.,The Poona Pact was signed between Mahatma Gandhi and Dr. B.R. Ambedkar.,The slogan 'Do or Die' was given during the Non-Cooperation Movement.,The Partition of Bengal was implemented in 1905.,c
"Match the following:
Column I
(A) Partition of Bengal
(B) Lucknow Pact
Column II
(1) 1916
(2) 1905","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",b
In which year did Gandhiji participate in the Second Round Table Conference?,1932,1930,1931,1929,c
Where was the Muslim League established?,Lucknow,Delhi,Calcutta,Dhaka,d
In which year did the Lucknow Pact between Congress and Muslim League take place?,1907,1925,1916,1926,c
Who founded the Home Rule League?,Mahatma Gandhi and Jawaharlal Nehru,Sardar Patel and Rajendra Prasad,Bal Gangadhar Tilak and Annie Besant,C.R. Das and Motilal Nehru,c
Who initially formed the Azad Hind Fauj (INA)?,Subhash Chandra Bose,Rash Behari Bose,Captain Mohan Singh,Jawaharlal Nehru,c
"Arrange the following events in chronological order:
1. Partition of Bengal
2. Kakori Train Action
3. Lucknow Pact
4. Second Round Table Conference","1, 3, 2, 4","3, 1, 4, 2","1, 2, 3, 4","4, 2, 3, 1",a
Which of the following statements is INCORRECT regarding the Lucknow Pact?,It took place in 1916.,Ambika Charan Mazumdar was the President of the session.,It was between the Congress and the Muslim League.,It resulted in the immediate independence of India.,d
"Match the following:
Column I
(a) Indian National Congress
(b) Muslim League
Column II
(i) 1906
(ii) 1885","(a)-(i), (b)-(ii)","(a)-(ii), (b)-(i)","(a)-(i), (b)-(i)","(a)-(ii), (b)-(ii)",b
In which year was the practice of Sati abolished?,1875,1856,1829,1897,c
Who founded the Arya Samaj?,Swami Vivekananda,Jyotirao Phule,Dayanand Saraswati,Raja Rammohan Roy,c
"The slogan ""Back to Vedas"" was given by whom?",Swami Vivekananda,Raja Rammohan Roy,Ishwar Chandra Vidyasagar,Dayanand Saraswati,d
Who founded the Ramakrishna Mission?,Dayanand Saraswati,Jyotirao Phule,Swami Vivekananda,Raja Rammohan Roy,c
In which year did Swami Vivekananda deliver a speech at the World Parliament of Religions in Chicago?,1875,1856,1893,1897,c
Who was instrumental in the passing of the Widow Remarriage Act?,Dayanand Saraswati,Swami Vivekananda,Ishwar Chandra Vidyasagar,Jyotirao Phule,c
Where was the headquarters of the Theosophical Society in India?,Kanpur,Lucknow,Meerut,Adyar (Madras),d
Who was the Governor-General of India at the time of the Revolt of 1857?,Lord Dalhousie,Lord Wellesley,Lord Canning,Lord Cornwallis,c
What was the symbol of the revolt of 1857?,Sword and Shield,Wheel and Plough,Lotus and bread,Flag and Trumpet,c
In which city did the rebellion of 1857 begin?,Lucknow,Kanpur,Jhansi,Meerut,d
Who led the rebellion in Jhansi during the Revolt of 1857?,Begum Hazrat Mahal,Kunwar Singh,Rani Lakshmibai,Nana Saheb,c
Who led the rebellion in Lucknow during the Revolt of 1857?,Nana Saheb,Kunwar Singh,Rani Lakshmibai,Begum Hazrat Mahal,d
Who led the revolt in Bihar (Jagdishpur) during the 1857 rebellion?,Nana Saheb,Kunwar Singh,Begum Hazrat Mahal,Tatya Tope,b
Who was exiled to Rangoon after the revolt of 1857?,Nana Saheb,Kunwar Singh,Tatya Tope,Bahadur Shah Zafar (II),d
Under which law did the rule of India pass from the East India Company to the British Crown?,"Indian Councils Act, 1861","Regulating Act, 1773","Government of India Act, 1858","Pitt's India Act, 1784",c
"Match the following: 
Column I (Event/Policy)  Column II (Governor General/Viceroy)
A. Permanent Settlement    1. Lord Dalhousie
B. Subsidiary Alliance     2. Lord Cornwallis
C. Lapse/Introduction of Railways   3. Lord Wellesley

Choose the correct sequence:","A-2, B-3, C-1","A-3, B-1, C-2","A-1, B-2, C-3","A-2, B-1, C-3",a
"Which of the following is NOT correctly matched?
",Permanent Settlement - Lord Cornwallis,Abolition of Sati - Lord William Bentinck,Subsidiary Alliance - Lord Wellesley,Introduction of Railways - Lord Canning,d
The practice of Sati was abolished in 1829 due to the efforts of whom?,Swami Vivekananda,Dayanand Saraswati,Raja Rammohan Roy (with Lord William Bentinck),Jyotirao Phule,c
Who is credited with founding the Arya Samaj in 1875?,Swami Vivekananda,Dayanand Saraswati,Raja Rammohan Roy,Ishwar Chandra Vidyasagar,b
Which of the following slogans was given by Dayanand Saraswati?,"Arise, Awake, and stop not till the goal is reached",Back to Vedas,Inquilab Zindabad,"Give me blood, and I shall give you freedom",b
In what year did Swami Vivekananda establish the Ramakrishna Mission?,1856,1875,1893,1897,d
In which city did Swami Vivekananda deliver a speech at the World Parliament of Religions?,Adyar,Madras,Calcutta,Chicago,d
Who founded the Satyashodhak Samaj and authored the book 'Gulamgiri'?,Dayanand Saraswati,Swami Vivekananda,Jyotirao Phule,Ishwar Chandra Vidyasagar,c
Who was instrumental in the passage of the Widow Remarriage Act in 1856?,Raja Rammohan Roy,Dayanand Saraswati,Swami Vivekananda,Ishwar Chandra Vidyasagar,d
Where was the headquarters of the Theosophical Society in India located?,Kanpur,Lucknow,Adyar (Madras),Meerut,c
Who was the Governor-General of India during the Revolt of 1857?,Lord Dalhousie,Lord Wellesley,Lord Canning,Lord Cornwallis,c
Which of the following symbolized the revolt of 1857?,Sword and Shield,Charkha and Salt,Lotus and bread,Flag and Book,c
Who led the rebellion in Bihar (Jagdishpur) during the revolt of 1857?,Nana Saheb,Begum Hazrat Mahal,Rani Lakshmibai,Kunwar Singh,d
Who among the following were the leaders of the rebellion in Kanpur?,Nana Saheb and Tatya Tope,Rani Lakshmibai and Kunwar Singh,Begum Hazrat Mahal and Bahadur Shah Zafar (II),Mangal Pandey and Tantia Tope,a
"Match the following Governor-Generals/Viceroys with the corresponding event/policy:

Column I
(A) Permanent Settlement
(B) Subsidiary Alliance
(C) Abolition of Sati
(D) Introduction of Railways

Column II
(1) Lord Dalhousie
(2) Lord Cornwallis
(3) Lord Wellesley
(4) Lord William Bentinck

","A-2, B-3, C-4, D-1","A-3, B-2, C-1, D-4","A-4, B-1, C-2, D-3","A-1, B-4, C-3, D-2",a
Which of the following statements is INCORRECT regarding the Revolt of 1857?,"The revolt began in Meerut on May 10, 1857.",Rani Lakshmibai led the rebellion in Jhansi.,The symbol of the revolt was lotus and bread.,Lord Dalhousie was the Governor-General during the revolt.,d
In which year did Swami Vivekananda found the Ramakrishna Mission?,1875,1893,1856,1897,d
Where did Swami Vivekananda deliver a speech at the World Parliament of Religions?,Adyar,Meerut,Chicago,Lucknow,c
Who was the author of the book 'Gulamgiri'?,Ishwar Chandra Vidyasagar,Dayanand Saraswati,Jyotirao Phule,Swami Vivekananda,c
In which year was the Widow Remarriage Act passed?,1897,1875,1829,1856,d
What were the symbols of the Revolt of 1857?,Sword and Shield,Lotus and bread,Charkha and Salt,Pen and Paper,b
Where did the Revolt of 1857 begin?,Lucknow,Jhansi,Meerut,Kanpur,c
"Match the following: 
I. Permanent Settlement 
II. Subsidiary Alliance 
III. Abolition of Sati 
IV. Introduction of Railways

A. Lord Dalhousie 
B. Lord Cornwallis 
C. Lord Wellesley 
D. Lord William Bentinck","I-B, II-C, III-D, IV-A","I-A, II-B, III-C, IV-D","I-D, II-A, III-B, IV-C","I-C, II-D, III-A, IV-B",a
"Arrange the following events in chronological order:
I. Revolt of 1857
II. Abolition of Sati
III. Permanent Settlement
IV. Widow Remarriage Act","I, II, III, IV","III, II, IV, I","II, III, I, IV","III, II, I, IV",b
Who was instrumental in passing the Widow Remarriage Act of 1856?,Dayanand Saraswati,Swami Vivekananda,Jyotirao Phule,Ishwar Chandra Vidyasagar,d
Where did the rebellion of 1857 begin?,Lucknow,Jhansi,Meerut,Kanpur,c
"Match the following: 
 I. Permanent Settlement 
 II. Subsidiary Alliance 
 III. Abolition of Sati 
 IV. Introduction of Railways 

 a. Lord Dalhousie 
 b. Lord Cornwallis 
 c. Lord William Bentinck 
 d. Lord Wellesley","I-b, II-d, III-c, IV-a","I-a, II-b, III-c, IV-d","I-d, II-c, III-b, IV-a","I-c, II-a, III-d, IV-b",a
"Arrange the following events in chronological order:
 I. Abolition of Sati
 II. Revolt of 1857
 III. Widow Remarriage Act
 IV. Swami Vivekananda's speech at the World Parliament of Religions","I, III, II, IV","II, I, IV, III","IV, III, II, I","III, II, I, IV",a
Who was the first Viceroy of India?,Lord Ripon,Lord Curzon,Lord Canning,Lord Mountbatten,c
The Vernacular Press Act was enacted in which year?,1905,1878,1919,1935,b
Who is known as the 'Father of Local Self Government'?,Lord Lytton,Lord Curzon,Lord Ripon,Lord Mountbatten,c
In which year did the Partition of Bengal take place?,1857,1878,1905,1919,c
Who was the first Governor General of independent India?,C. Rajagopalachari,Lord Curzon,Lord Lytton,Lord Mountbatten,d
Who was the first and last Indian Governor General of independent India?,Lord Mountbatten,Lord Canning,C. Rajagopalachari,Lord Ripon,c
