Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
What is the SI unit of heat?,Watt,Joule,Calorie,Newton,b,General Science,1
From which part of the plant is turpentine obtained?,Leaves,Root,Wood,Resin,d,General Science,1
What percentage of the Earth's atmosphere is nitrogen?,21%,78%,50%,30%,b,General Science,1
What is the focal length of a plane lens?,Zero,Infinity,One,Between zero and infinity,b,General Science,1
Who was the first Governor-General of Bengal under the British?,Lord Dalhousie,Warren Hastings,Lord Cornwallis,Robert Clive,b,Indian National Movement,1
"In which year did Vasco da Gama arrive in India, marking the beginning of Portuguese influence?",1600,1498,1502,1757,b,Indian National Movement,1
Who founded the independent state of Hyderabad?,Saadat Ali Khan,Murshid Quli Khan,Asaf Jah I,Shivaji,c,Indian National Movement,1
The Treaty of Salbai was signed between the British and which power?,The Mughals,The Sikhs,The Maratha Empire,The French,c,Indian National Movement,1
"Which battle is considered the decisive victory for the British, establishing their dominance in India?",Battle of Buxar,Battle of Plassey,Battle of Panipat,Battle of Wandiwash,a,Indian National Movement,1
The Carnatic Wars were fought between the British and which European power?,The Spanish,The Dutch,The French,The Portuguese,c,Indian National Movement,1
Who was the founder of the Maratha Empire?,Baji Rao I,Shivaji,Balaji Vishwanath,Shahuji,b,Indian National Movement,1
In which year was the Battle of Plassey fought?,1857,1764,1757,1805,c,Indian National Movement,1
"Which Portuguese colony in India remained under Portuguese control the longest, finally being annexed by India in 1961?",Daman and Diu,Goa,Calicut,Cochin,b,Indian National Movement,1
Which British policy aimed to annex Indian states if they did not have a natural heir?,Doctrine of Lapse,Subsidiary Alliance,Permanent Settlement,Divide and Rule,a,Indian National Movement,1
What is the scientific name of the Indian domestic cow?,Bos taurus,Bubalus bubalis,Bos indicus,Capra aegagrus hircus,c,"Indian Agriculture, Commerce & Trade",1
Which state is the largest producer of milk in India?,Punjab,Uttar Pradesh,Rajasthan,Gujarat,b,"Indian Agriculture, Commerce & Trade",1
The 'Operation Flood' program is related to which of the following?,Poultry Development,Milk Production,Fisheries Development,Flood Control,b,"Indian Agriculture, Commerce & Trade",1
What type of industry is the 'Maruti Udyog Limited'?,Fertilizer Industry,Automobile Industry,Textile Industry,Petroleum Industry,b,"Indian Agriculture, Commerce & Trade",1
Which city is known as the 'Textile City of India'?,Mumbai,Kanpur,Surat,Coimbatore,a,"Indian Agriculture, Commerce & Trade",1
What is the primary objective of the 'Make in India' program?,Promoting exports,Encouraging foreign investment,Transforming India into a global manufacturing hub,Improving agricultural productivity,c,"Indian Agriculture, Commerce & Trade",1
Which of the following is a tertiary sector activity?,Agriculture,Manufacturing,Banking,Mining,c,"Indian Agriculture, Commerce & Trade",1
What is the term for the cultivation of fruits and vegetables?,Sericulture,Horticulture,Apiculture,Floriculture,b,"Indian Agriculture, Commerce & Trade",1
Which state is the largest producer of rice in India?,Uttar Pradesh,Punjab,West Bengal,Andhra Pradesh,c,"Indian Agriculture, Commerce & Trade",1
What is the 'Green Revolution' primarily associated with?,Increase in milk production,Increase in food grain production,Increase in fish production,Increase in forest cover,b,"Indian Agriculture, Commerce & Trade",1
Which country hosted the 2023 G20 Summit?,India,Indonesia,Brazil,Italy,a,Current National & International Events,1
Who is the current Secretary-General of the United Nations?,António Guterres,Ban Ki-moon,Kofi Annan,Boutros Boutros-Ghali,a,Current National & International Events,1
In which state is India's first carbon-neutral village being developed?,Maharashtra,Kerala,Tamil Nadu,Gujarat,a,Current National & International Events,1
Which country recently suspended its participation in the New START treaty?,Russia,China,United States,France,a,Current National & International Events,1
What is the name of the mission launched by ISRO to study the Sun?,Aditya-L1,Chandrayaan-3,Mangalyaan-2,Gaganyaan,a,Current National & International Events,1
Which city hosted the 2023 FIFA Women's World Cup final?,Sydney,Paris,London,New York,a,Current National & International Events,1
Which country assumed the presidency of the Shanghai Cooperation Organisation (SCO) in 2023?,India,China,Russia,Pakistan,a,Current National & International Events,1
Which Indian city hosted the first Formula E race in February 2023?,Hyderabad,Bangalore,Chennai,Mumbai,a,Current National & International Events,1
Which institution released the 'World Economic Outlook' report?,IMF,World Bank,WEF,ADB,a,Current National & International Events,1
Which country won the ICC Men's Cricket World Cup 2023?,Australia,India,England,New Zealand,a,Current National & International Events,1
Which Indian newspaper was the first to be printed in an Indian language?,Amrita Bazar Patrika,Digdarshan,Samachar Darpan,Bombay Samachar,c,"Indian Polity, Economy & Culture",1
"In which year were the first Asian Games held in New Delhi, India?",1951,1962,1970,1982,a,"Indian Polity, Economy & Culture",1
Who is the author of the book 'Poverty and Un-British Rule in India'?,Mahatma Gandhi,Jawaharlal Nehru,Dadabhai Naoroji,Sardar Vallabhbhai Patel,c,"Indian Polity, Economy & Culture",1
Which of the following festivals is primarily celebrated in Tamil Nadu?,Baisakhi,Onam,Pongal,Lohri,c,"Indian Polity, Economy & Culture",1
Which Indian state is known for the Hornbill Festival?,Assam,Meghalaya,Nagaland,Manipur,c,"Indian Polity, Economy & Culture",1
Who was the first Indian Grandmaster in chess?,Dibyendu Barua,Viswanathan Anand,Pendyala Harikrishna,Koneru Humpy,b,"Indian Polity, Economy & Culture",1
The Chipko movement was primarily associated with:,Wildlife conservation,Forest conservation,River cleaning,Land rights,b,"Indian Polity, Economy & Culture",1
In which year was the Reserve Bank of India (RBI) nationalized?,1935,1947,1949,1969,c,"Indian Polity, Economy & Culture",1
Who started the 'Self-Respect Movement' in India?,B.R. Ambedkar,E.V. Ramasamy,Jyotirao Phule,Mahatma Gandhi,b,"Indian Polity, Economy & Culture",1
Which of the following is a classical dance form of Andhra Pradesh?,Kathak,Bharatnatyam,Kuchipudi,Odissi,c,"Indian Polity, Economy & Culture",1
What does the term 'Fiscal Deficit' refer to?,Excess of government expenditure over revenue,Excess of government revenue over expenditure,Total public debt,Deficit in trade balance,a,"Indian Polity, Economy & Culture",1
Who was the first woman chess Grandmaster from India?,Subbaraman Vijayalakshmi,Koneru Humpy,Dronavalli Harika,Tania Sachdev,a,"Indian Polity, Economy & Culture",1
In which state is the 'Bihu' festival celebrated?,Bihar,Assam,Odisha,West Bengal,b,"Indian Polity, Economy & Culture",1
The Swadeshi Movement was launched during:,The Non-Cooperation Movement,The Quit India Movement,The Partition of Bengal,The Civil Disobedience Movement,c,"Indian Polity, Economy & Culture",1
Who is known as the 'Father of Indian Economics'?,Amartya Sen,C. Rangarajan,M. Visvesvaraya,Mahatma Gandhi,c,"Indian Polity, Economy & Culture",1
The Konkan Railway connects which of the following states?,"Maharashtra, Goa, Karnataka","Tamil Nadu, Kerala, Karnataka","Andhra Pradesh, Telangana, Odisha","West Bengal, Bihar, Jharkhand",a,World Geography & Geography of India,1
What is the average wind speed in the eye of a tropical cyclone?,Less than 63 km/h,Greater than 119 km/h,Between 64 and 118 km/h,Equal to 100 km/h,a,World Geography & Geography of India,1
Which plateau in India is rich in mineral resources?,Malwa Plateau,Deccan Plateau,Chota Nagpur Plateau,Meghalaya Plateau,c,World Geography & Geography of India,1
Which type of forest is commercially most exploited in India?,Evergreen forests,Deciduous forests,Montane forests,Tidal forests,b,World Geography & Geography of India,1
Which of the following is the longest National Highway in India?,NH 44,NH 1,NH 48,NH 27,a,World Geography & Geography of India,1
What is the direction of wind circulation in an anticyclone in the Northern Hemisphere?,Clockwise,Anticlockwise,Variable,Stationary,a,World Geography & Geography of India,1
The Deccan Plateau is primarily made up of which type of rock?,Sedimentary,Metamorphic,Basaltic,Granite,c,World Geography & Geography of India,1
Which state in India has the largest area under forest cover?,Arunachal Pradesh,Madhya Pradesh,Chhattisgarh,Odisha,b,World Geography & Geography of India,1
Which breed of goat is known for its fine wool?,Jamnapari,Barbari,Angora,Beetal,c,World Geography & Geography of India,1
The 'Golden Quadrilateral' project is related to which type of transportation?,Railways,Waterways,Roadways,Airways,c,World Geography & Geography of India,1
What is the name given to cyclones in the Northwest Pacific Ocean?,Hurricanes,Typhoons,Cyclones,Tornadoes,b,World Geography & Geography of India,1
The Potwar Plateau is located in which country?,India,Pakistan,Nepal,Bangladesh,b,World Geography & Geography of India,1
Which state is known as the 'Spice Garden of India' due to its forest products?,Kerala,Karnataka,Tamil Nadu,Andhra Pradesh,a,World Geography & Geography of India,1
Which act was enacted by the Indian Parliament for the protection of wild animals?,"Environment (Protection) Act, 1986","Wildlife Protection Act, 1972","Forest Conservation Act, 1980","Water (Prevention and Control of Pollution) Act, 1974",b,"Population, Ecology & Urbanisation (India context)",1
"What is the primary objective of the National Forest Policy of India, 1988?",Exploitation of forest resources,Conservation of biodiversity and ecological balance,Promotion of industrial growth,Clearance of forests for agriculture,b,"Population, Ecology & Urbanisation (India context)",1
"The Silent Valley National Park, known for its biodiversity, is located in which Indian state?",Tamil Nadu,Karnataka,Kerala,Andhra Pradesh,c,"Population, Ecology & Urbanisation (India context)",1
Which city was the first in India to be declared a 'Slum-Free City'?,Mumbai,Indore,Chennai,Bhopal,b,"Population, Ecology & Urbanisation (India context)",1
The Central Pollution Control Board (CPCB) in India operates under which ministry?,Ministry of Agriculture and Farmers Welfare,"Ministry of Environment, Forest and Climate Change",Ministry of Science and Technology,Ministry of Earth Sciences,b,"Population, Ecology & Urbanisation (India context)",1
What does the term 'urban sprawl' primarily refer to?,Planned urban development,Rapid and uncontrolled expansion of urban areas,Sustainable urban planning,Development of green spaces in cities,b,"Population, Ecology & Urbanisation (India context)",1
Which of the following is a major cause of air pollution in Indian cities?,Hydroelectric power generation,Industrial emissions and vehicular traffic,Wind energy production,Solar power plants,b,"Population, Ecology & Urbanisation (India context)",1
What is the name of the project launched by the Indian government to promote cleanliness and improve sanitation in urban and rural areas?,Clean India Mission,Green India Mission,Digital India,Skill India,a,"Population, Ecology & Urbanisation (India context)",1
Which gas is primarily responsible for acid rain?,Methane,Carbon dioxide,Sulphur dioxide,Nitrogen,c,"Population, Ecology & Urbanisation (India context)",1
In which year was the Environment (Protection) Act enacted in India?,1972,1980,1986,1992,c,"Population, Ecology & Urbanisation (India context)",1
"If 'PAPER' is coded as 'RCTCR', how is 'PENCIL' coded?",TGPEKR,RGPEKR,RGPCRN,TGFCRN,b,Reasoning & General Aptitude,1
Choose the alternative which is closely resembles the mirror image of the given combination. RAJ59N207,702И5JAЯ,Γ02N5JAЯ,70SNARJA,ЯAJ2ИS07,a,Reasoning & General Aptitude,1
"What number should come next in the series: 2, 6, 12, 20, 30, ?",36,42,44,40,b,Reasoning & General Aptitude,1
"A dice has numbers 1 to 6 on its faces. If the number 4 is on the bottom, what number is on the top?",3,2,1,6,a,Reasoning & General Aptitude,1
"If 'A' is coded as 1, 'B' is coded as 2, and so on, what is the code for 'CAT'?",3120,3110,321,123,a,Reasoning & General Aptitude,1
How many dots are there on the face opposite to the face with 2 dots on a standard dice?,3,4,5,6,c,Reasoning & General Aptitude,1
Choose the alternative which is closely resembles the water image of the given combination. A4B5C6,∀4q2ɔ9,∀4ᗺƼC6,VAb5C6,∀4B2C9,a,Reasoning & General Aptitude,1
"Complete the series: ACE, GIK, MOQ, ?",SUV,SUW,TVW,SVW,b,Reasoning & General Aptitude,1
"If in a certain code, EDITION is written as 38418965, then how will TIDE be written in that code?",8345,8435,8965,3845,b,Reasoning & General Aptitude,1
How many cubes are required to make a solid cube of length 4 units?,16,64,24,4,b,Reasoning & General Aptitude,1
"If 'APPLE' is coded as '25513', how is 'ORANGE' coded?",1521475,6821475,791575,7415265,c,Reasoning & General Aptitude,1
Choose the alternative which is closely resembles the mirror image of the given combination. 6AT9WZ,ZWT9TA6,SWTA69,ZWTA6,2MTAG,a,Reasoning & General Aptitude,1
"What comes next in the series: 1, 4, 9, 16, 25, ?",35,36,48,49,b,Reasoning & General Aptitude,1
A cube is painted red on all faces and then cut into 64 smaller cubes. How many smaller cubes have no face painted?,8,16,24,32,a,Reasoning & General Aptitude,1
"If 'SUN' is coded as 'RUS', then 'TOP' is coded as?",POT,SNO,PSO,UOP,a,Reasoning & General Aptitude,1
Which of the following words is correctly spelt?,Accomodate,Accommodate,Acomodate,Acommodate,b,General English,1
Choose the word that is most similar in meaning to 'Ephemeral'.,Eternal,Transient,Permanent,Lasting,b,General English,1
Which of the following words is misspelt?,Bureaucracy,Lieutenant,Exaggerate,Adress,d,General English,1
The synonym of 'Affluent' is:,Poor,Needy,Rich,Destitute,c,General English,1
"Which of the following is the indirect form of: He said, 'I am going to the market'?",He said that he is going to the market.,He said that I was going to the market.,He said that he was going to the market.,He says that he is going to the market.,c,General English,1
Choose the word that best fits the blank: The company is _____ a new product next month.,launch,launching,launched,launchment,b,General English,1
The synonym of 'Meticulous' is:,Careless,Sloppy,Haphazard,Thorough,d,General English,1
Which of the following is the direct form of: She told me that she had finished her work?,"She said, 'I have finished my work.'","She said, 'I had finished my work.'","She said, 'I has finished my work.'","She says, 'I have finished my work.'",a,General English,1
Choose the word that best fits the blank: The teacher gave us a _____ to complete over the weekend.,home work,homework,housework,home-work,b,General English,1
'यथाशक्ति' में कौन सा समास है?,तत्पुरुष,अव्ययीभाव,द्वंद्व,बहुव्रीहि,b,General Hindi,1
निम्नलिखित में से कौन सा शब्द अव्यय है?,पहाड़,नदी,और,पेड़,c,General Hindi,1
निम्नलिखित में से शुद्ध वर्तनी वाला शब्द कौन सा है?,आर्शीवाद,आशीर्वाद,आर्शिवाद,आशिर्वाद,b,General Hindi,1
निम्नलिखित में से शुद्ध वाक्य कौन सा है?,मैंने खाना खा लिया है।,मैंने खाना खा लिया हूँ।,मैंने खाना खा लिया था।,मैंने खाना खा लिया जाएगा।,a,General Hindi,1
Which of the following districts of Uttar Pradesh has the highest population according to the 2011 census?,Prayagraj,Moradabad,Ghaziabad,Azamgarh,a,Uttar Pradesh Special Knowledge,1
The Buksa tribe is primarily found in which district of Uttar Pradesh?,Bijnor,Lucknow,Ballia,Kanpur,a,Uttar Pradesh Special Knowledge,1
Which of the following cities is known as the 'Leather City' of Uttar Pradesh?,Kanpur,Agra,Lucknow,Meerut,a,Uttar Pradesh Special Knowledge,1
The Vindhya Range primarily lies in which part of Uttar Pradesh?,Southern,Eastern,Northern,Western,a,Uttar Pradesh Special Knowledge,1
Uttar Pradesh Tourism Department's tagline is?,Uttar Pradesh: The Heart of India,Uttar Pradesh: Tourism for All,Uttar Pradesh: Incredible India,Uttar Pradesh: Naturally Amazing,a,Uttar Pradesh Special Knowledge,1
"According to the 2011 census, what is the sex ratio of Uttar Pradesh?",912,908,898,920,a,Uttar Pradesh Special Knowledge,1
Which district in Uttar Pradesh has the lowest literacy rate according to the 2011 census?,Shrawasti,Bahraich,Balrampur,Budaun,a,Uttar Pradesh Special Knowledge,1
The Dudhwa National Park is located in which district of Uttar Pradesh?,Lakhimpur Kheri,Pilibhit,Bahraich,Gonda,a,Uttar Pradesh Special Knowledge,1
Which river does NOT flow through Uttar Pradesh?,Ganga,Yamuna,Godavari,Ghaghara,c,Uttar Pradesh Special Knowledge,1
Uttar Pradesh shares its border with how many states/UTs?,9,7,8,6,a,Uttar Pradesh Special Knowledge,1
What is the binary equivalent of the decimal number 10?,1011,1010,1100,1001,b,Elementary Knowledge of Computers,1
Which logic gate is represented by the Boolean expression Y = A.B?,OR,NOT,AND,XOR,c,Elementary Knowledge of Computers,1
"In Microsoft Word, what is the shortcut key to save a document?",Ctrl + S,Ctrl + V,Ctrl + C,Ctrl + X,a,Elementary Knowledge of Computers,1
Which of the following is a raster graphics editor?,Adobe Illustrator,CorelDRAW,GIMP,Inkscape,c,Elementary Knowledge of Computers,1
Which programming language is often used for web development and known for its dynamic typing?,Java,C++,Python,C#,c,Elementary Knowledge of Computers,1
"What is the latest version of Microsoft Windows as of October 26, 2023?",Windows 10,Windows 7,Windows 8,Windows 11,d,Elementary Knowledge of Computers,1
What does TCP/IP stand for?,Transmission Control Protocol/Internet Protocol,Transfer Control Program/Internet Program,Telecommunication Control Protocol/Internet Protocol,Transport Control Protocol/Interconnected Program,a,Elementary Knowledge of Computers,1
Which of the following is a valid IPv4 address?,2001:0db8:85a3:0000:0000:8a2e:0370:7334,256.256.256.256,192.168.1.1,10.0.257.1,c,Elementary Knowledge of Computers,1
"In Microsoft Excel, which function is used to calculate the sum of a range of cells?",AVERAGE(),COUNT(),SUM(),PRODUCT(),c,Elementary Knowledge of Computers,1
What is the function of the 'NOT' logic gate?,Inverts the input,Outputs 1 if both inputs are 1,Outputs 1 if either input is 1,Outputs 1 if inputs are different,a,Elementary Knowledge of Computers,1
Which file extension is associated with Microsoft PowerPoint presentations?,.docx,.xlsx,.pptx,.txt,c,Elementary Knowledge of Computers,1
What does HTML stand for?,Hyper Text Markup Language,High Text Machine Language,Hyper Transfer Markup Language,High Transfer Machine Language,a,Elementary Knowledge of Computers,1
Which of the following is an example of a WAN (Wide Area Network)?,Bluetooth,Ethernet,The Internet,Wi-Fi,c,Elementary Knowledge of Computers,1
Which of the following is a high-level programming language?,Assembly Language,Machine Code,C,Binary Code,c,Elementary Knowledge of Computers,1
Which tool is commonly used for creating vector graphics?,Adobe Photoshop,GIMP,Adobe Illustrator,Paint,c,Elementary Knowledge of Computers,1
A train running at 60 km/hr covers a distance of 200 meters in how many seconds?,12,10,14,16,a,Reasoning & General Aptitude,1
"If the ratio of the ages of P and Q is 3:4 and P is 15 years old, what is Q's age?",20,18,22,24,a,Reasoning & General Aptitude,1
"Which diagram best represents the relationship between Musicians, Violinists, and Artists?",A circle inside a circle inside a circle,Three disjoint circles,Two overlapping circles inside a larger circle,Three fully overlapping circles,c,Reasoning & General Aptitude,1
A car travels 360 km in 6 hours. What is its average speed?,50 km/hr,60 km/hr,70 km/hr,80 km/hr,b,Reasoning & General Aptitude,1
"If 'A + B' means 'A is the father of B', which of the following shows 'P is the grandfather of R'?",P + Q + R,P + Q - R,P - Q + R,P + Q * R,a,Reasoning & General Aptitude,1
Two trains are moving in opposite directions at 60 km/hr and 90 km/hr respectively. What is the relative speed?,150 km/hr,30 km/hr,100 km/hr,120 km/hr,a,Reasoning & General Aptitude,1
The area of a circle is represented in a Venn diagram. What does the area represent?,Union of sets,Intersection of sets,Complement of a set,Elements of a set,d,Reasoning & General Aptitude,1
"A father is three times as old as his son. If the sum of their ages is 48 years, what is the son's age?",12 years,16 years,18 years,20 years,a,Reasoning & General Aptitude,1
"If a train 110 m long passes a telegraph pole in 3 seconds, then the speed of the train is:",132 km/hr,110 km/hr,90 km/hr,80 km/hr,a,Reasoning & General Aptitude,1
