Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
What is the role of bacteria in the nitrogen cycle?,Convert water to nitrogen,Convert nitrogen to water,Convert nitrogen into usable forms for plants,Remove nitrogen from the atmosphere,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which of the following is a characteristic feature of an estuary?,Freshwater environment,Mixing of fresh and saltwater,High altitude,Only saltwater environment,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Where is the Western Ghats biodiversity hotspot located in India?,Eastern India,Southern and Western India,Northern India,Central India,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which of the following is a non-renewable energy resource?,Hydropower,Solar power,Natural gas,Wind power,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
What is the primary component of coral reefs?,Sand,Algae,Coral polyps,Seagrass,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which process removes carbon dioxide from the atmosphere?,Respiration,Combustion,Photosynthesis,Decomposition,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
The 'Near Threatened' category in IUCN Red List means?,Species extinct in the wild,Species close to qualifying for a threatened category,Species with stable populations,Species facing no immediate threat,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which of the following is an important function of the water cycle?,Maintaining salinity in oceans,Distributing heat around the globe,Generating electricity,Creating new landforms,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which of the following is NOT a characteristic of biodiversity hotspots?,High endemism,Significant habitat loss,Low species diversity,High species richness,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
What is the main threat to mangrove ecosystems?,Afforestation,Deforestation,Reforestation,Sustainable harvesting,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
What is the source of energy for geothermal power?,Wind,Sun,Earth's internal heat,Ocean waves,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which of the following is a major cause of coral reef degradation?,Sustainable fishing,Climate change,Mangrove restoration,Beach nourishment,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
What is the role of decomposers in the carbon cycle?,Absorb carbon dioxide,Release carbon back into the environment,Store carbon in living organisms,Convert carbon into oxygen,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which IUCN category is assigned to species that are not currently threatened but could be in the future?,Least Concern,Data Deficient,Near Threatened,Vulnerable,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
What is the process by which water changes from liquid to gas?,Condensation,Precipitation,Evaporation,Transpiration,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
The Himalayas are part of which biodiversity hotspot?,Indo-Burma,Western Ghats,Sundaland,Caribbean Islands,a,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which of the following is a benefit of mangrove forests?,Increased soil erosion,Habitat for diverse species,Decreased water quality,Reduced coastal protection,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
What is the source of energy in a hydroelectric power plant?,Wind,Sun,Moving water,Geothermal heat,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
What is the term for the symbiotic relationship between coral polyps and algae?,Parasitism,Mutualism,Competition,Commensalism,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
What process converts atmospheric nitrogen into ammonia?,Denitrification,Nitrification,Nitrogen fixation,Ammonification,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which IUCN Red List category indicates that a species has been evaluated and found to be not at risk of extinction?,Vulnerable,Least Concern,Endangered,Critically Endangered,b,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
What drives the water cycle?,Tides,Wind,Gravity,Solar energy,d,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which of the following is considered a biodiversity hotspot?,Amazon rainforest,Sahara Desert,Antarctica,Arctic tundra,a,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
"Mangroves are salt-tolerant trees, also known as:",Halophytes,Xerophytes,Hydrophytes,Mesophytes,a,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
Which type of renewable energy uses heat from the Earth's interior?,Solar energy,Wind energy,Geothermal energy,Hydropower,c,Environment & Ecology,"Ecosystem structure and components facts, Food chain food web ecological pyramids, Biogeochemical cycles carbon nitrogen water cycle, Biodiversity hotspots in India and world, National parks wildlife sanctuaries biosphere reserves India, Endangered vulnerable endemic species India, IUCN red list categories facts, Environmental pollution types and control measures, Climate change greenhouse gases global warming facts, Ozone layer depletion Montreal protocol facts, Indian environmental acts and policies, Forest conservation act wildlife protection act environment protection act, Project tiger project elephant project rhino facts, Ramsar sites India wetland facts, Mangroves coral reefs estuaries facts India, Environmental impact assessment EIA basics, Renewable and non renewable energy sources facts, International environmental conventions and organizations, State wise forest cover and FSI report facts, Recent environmental reports indices and rankings, cover one liner facts PYQ based",1
